"targets","layer","dir_whence_2013a","whence_2013a"
"pressures","cc_acid",,
"pressures","cc_slr",,
"pressures","cc_sst",,
"pressures","cc_uv",,
"pressures","fp_art_hb",,
"pressures","fp_art_lb",,
"pressures","fp_com_hb",,
"pressures","fp_com_lb",,
"pressures","fp_targetharvest",,
"pressures","hd_intertidal",,
"pressures","hd_subtidal_hb",,
"pressures","hd_subtidal_sb",,
"pressures","po_chemicals_3nm",,
"pressures","po_nutrients_3nm",,
"pressures","sp_alien",,
"pressures","sp_genetic",,
"pressures","ss_wgi","neptune_data:model/GL-WorldBank-WGI_v2011/data","rgn_wb_wgi_2013a_whence.csv"
"pressures CW","po_chemicals",,
"pressures CW","po_nutrients",,
"pressures CW","po_pathogens",,
"pressures CW","po_trash","neptune_data:model/GL-OceanConserv-Trash_v2012/data","rgn_oc_trash_2013a_whence.csv"
"resilience","alien_species","neptune_data:model/GL-NCEAS-Resilience_v2013a/whence_2013a","CBDaliens_whence.csv"
"resilience","cites","neptune_data:model/GL-CITES-Signatories_v2013/data","rgn_cites_2013_all_whence.csv"
"resilience","fishing_v1",,
"resilience","fishing_v1_eez",,
"resilience","fishing_v2_eez","neptune_data:model/GL-WEF-Economics_v2013/data","rgn_wef_gci_2013a_whence.csv"
"resilience","fishing_v3",,
"resilience","fishing_v3_eez",,
"resilience","habitat",,
"resilience","habitat_combo",,
"resilience","habitat_combo_eez",,
"resilience","li_gci","ohiprep:Global/WEF-Economics_v2014/data","rgn_wef_gci_2014a.csv"
"resilience","li_sector_evenness",,
"resilience","mariculture",,
"resilience","msi_gov",,
"resilience","species_diversity",,
"resilience","species_diversity_3nm",,
"resilience","tourism","neptune_data:model/GL-NCEAS-Resilience_v2013a/whence_2013a","CBDtourism_whence.csv"
"resilience","water","neptune_data:model/GL-NCEAS-Resilience_v2013a/whence_2013a","CBDwater_whence.csv"
"resilience","wgi_all","neptune_data:model/GL-WorldBank-WGI_v2011/data","rgn_wb_wgi_2013a_whence.csv"
