"targets","layer","layer_old","name","description","fld_value","units","path_in","path_in_exists","filename","path_out"
"AO","ao_access","rn_ao_access","Fisheries management effectiveness and opportunity","The opportunity for artisanal and recreational fishing based on the quality of management of the small- scale fishing sector (Mora et al 2009).

Data sources:

- Mora, C., Myers, R.A., Coll, M., Libralato, S., Pitcher, T.J., Sumaila, R.U., Worm, B. (2009). **Management Effectiveness of the Worldï¿s Marine Fisheries**. _PLoS Biol_, 7(6), e1000131. [doi:10.1371/journal.pbio.1000131](http://dx.doi.org/10.1371/journal.pbio.1000131)","value","value","/var/data/ohi/model/GL-NCEAS-Resilience_v2013a/data/r_mora_s4_2013a.csv",TRUE,"ao_access.csv","eez2015/layers/ao_access.csv"
"AO","ao_need","rny_ao_need","Purchasing power parity as a proxy for subsistence fishing need, by region","The per capita purchasing power parity (PPP) adjusted gross domestic product (GDP): GDPpcPPP.

Data sources:

- The World Bank [GDP per capita, PPP (current international $)](http://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD)","value","value","../ohiprep/Global/WorldBank-Statistics_v2012/data/rgn_wb_gdppcppp_rescaled_2014a.csv",TRUE,"ao_need.csv","eez2015/layers/ao_need.csv"
"CW","cw_coastalpopn_trend","rn_cw_coastalpopn_trend","Coastal human population as a proxy for trend in trash","Coastal population, defined as the total population inland of 25 miles, extracted from Gridded Population of the World (GPW) Population Density Grid Future Estimates.

Data sources:

- Center for International Earth Science Information Network (CIESIN)/Columbia University 
- CIESIN & CIAT (Center for International Earth Science Information Network (CIESIN)/Columbia University, & Centro Internacional de Agricultura Tropical (CIAT)) (2005). **Gridded Population of the World, Version 3 (GPWv3): Population Density Grid, Future Estimates**. Palisades, NY. [NASA Socioeconomic Data and Applications Center (SEDAC)](http://sedac.ciesin.columbia.edu/data/set/gpw-v3-population-density-future-estimates)","trend","trend score","/var/data/ohi/model/GL-NCEAS-CoastalPopulation_v2013/data/rgn_popn5yrtrend_inland25mi_2008to2013.csv",TRUE,"cw_coastalpopn_trend.csv","eez2015/layers/cw_coastalpopn_trend.csv"
"CW","cw_fertilizer_trend","rn_cw_fertilizer_trend","Fertilizer consumption as a proxy for trend in nutrient pollution","Statistics on fertilizer consumption from the Food and Agricultural Organization (FAO). 

Data sources:

- [FAOâs statistical database FAOSTAT](http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E).","trend.score","trend score","../ohiprep/Global/FAO-CW-Trends_v2011/data/rgn_cw_fertilizers_trends_2014a.csv",TRUE,"cw_fertilizer_trend.csv","eez2015/layers/cw_fertilizer_trend.csv"
"CW","cw_pathogen_trend","rn_cw_pathogen_trend","Trends in access to improved sanitation as a proxy for pathogen pollution trend","Trends in percent of population with access to improved sanitation facilities.

Data sources:

- [World Health Organization and United Nations Children's Fund's Joint Monitoring Programme (WHO/UNICEF's JMP)](http://www.wssinfo.org/data-estimates/table)
","trend","trend score","../ohiprep/Global/WHOUNICEF-Sanitation_v2012/data/pathogens_popdensity25km_trend_2014a.csv",TRUE,"cw_pathogen_trend.csv","eez2015/layers/cw_pathogen_trend.csv"
"CW","cw_pesticide_trend","rn_cw_pesticide_trend","Pesticide consumption as a proxy for trend in chemical pollution","Statistics on pesticide consumption from the Food and Agricultural Organization (FAO). 

Data sources:

- [FAOâs statistical database FAOSTAT](http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E).
","trend.score","trend score","../ohiprep/Global/FAO-CW-Trends_v2011/data/rgn_cw_pesticides_trends_2014a.csv",TRUE,"cw_pesticide_trend.csv","eez2015/layers/cw_pesticide_trend.csv"
"FIS","fis_b_bmsy","fnk_fis_b_bmsy","B/Bmsy estimates obtained using the catch-MSY method","The ratio of population abundance compared to the abundance required to deliver maximum sustainable yield, obtained from the catch-MSY model (Martell & Froese, 2013).

Data sources:

- Martell, S., & Froese, R. (2013). **A simple method for estimating MSY from catch and resilience**. _Fish and Fisheries_ 14(4): 504-514. [doi:10.1111/j.1467-2979.2012.00485.x](https://dx/doi/org/10.1111/j.1467-2979.2012.00485.x)
","b_bmsy","B / B_msy","../ohiprep/Global/NCEAS-Fisheries_2014a/data/fnk_fis_b_bmsy_lyr.csv",TRUE,"fis_b_bmsy.csv","eez2015/layers/fis_b_bmsy.csv"
"FIS","fis_meancatch","snk_fis_meancatch","Catch data for each Taxon/FAO/SAUP region averaged across years (1980-2011)","Mean catch-per-taxon values within each FAO major fishing area.

Data sources:

- [FAO Major Fishing Areas](http://www.fao.org/fishery/area/search/en)","mean_catch","metric tons","../ohiprep/Global/NCEAS-Fisheries_2014a/data/fnk_fis_meancatch_lyr.csv",TRUE,"fis_meancatch.csv","eez2015/layers/fis_meancatch.csv"
"FIS","fis_proparea_saup2rgn","snk_fis_proparea_saup2rgn","area of each saup/total OHI reporting region","Lookup table of Sea Around Us Project regions to Ocean Health Index region identifiers.

Data sources:

- [Sea Around Us Project (SAUP)](http://www.seaaroundus.org)
","prop_area","proportion of area","../ohiprep/Global/NCEAS-Fisheries_2014a/data/snk_fis_proparea_saup2rgn_lyr.csv",TRUE,"fis_proparea_saup2rgn.csv","eez2015/layers/fis_proparea_saup2rgn.csv"
"FP","fp_wildcaught_weight","rn_fp_wildcaught_weight","Fisheries weighting factor","Proportion of wild caught fisheries yield to mariculture yield, based on FAO fisheries statistics.

Data sources:

- [FAO fisheries statistics](http://www.fao.org/fishery/statistics/global-capture-production/en)","w_fis","value","../ohiprep/Global/NCEAS-Fisheries_2014a/data/FP_mar_fis_weight_2014a.csv",TRUE,"fp_wildcaught_weight.csv","eez2015/layers/fp_wildcaught_weight.csv"
"HAB CS CP","hab_extent","rnk_hab_extent","Habitat extent","Modeled combined habitat extent","km2","km^2","../ohiprep/globalprep/hab_combined/v2015/data/habitat_extent_v2015.csv",TRUE,"hab_extent.csv","eez2015/layers/hab_extent.csv"
"HAB CS CP","hab_health","rnk_hab_health","Habitat health","Modeled combined habitat health condition trend","health","value","../ohiprep/globalprep/hab_combined/v2015/data/habitat_health_2015.csv",TRUE,"hab_health.csv","eez2015/layers/hab_health.csv"
"HAB CS CP","hab_trend","rnk_hab_trend","Habitat health trend","Modeled combined habitat health trend","trend","trend score","../ohiprep/globalprep/hab_combined/v2015/data/habitat_trend_2015.csv",TRUE,"hab_trend.csv","eez2015/layers/hab_trend.csv"
"ICO","ico_spp_extinction_status","rnk_ico_spp_extinction_status","IUCN extinction risk category for iconic species","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists 

Data sources:

- [International Union for Conservation of Nature (IUCN)](http://www.iucnredlist.org/technical-documents/classification-schemes/threats-classification-scheme)
","category","category","../ohiprep/globalprep/SpeciesDiversity/v2015/data/ico_status.csv",TRUE,"ico_spp_extinction_status.csv","eez2015/layers/ico_spp_extinction_status.csv"
"ICO","ico_spp_popn_trend","rnk_ico_spp_popn_trend","IUCN population trend as a proxy for iconic species trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists 

Data sources:

- [International Union for Conservation of Nature (IUCN)](http://www.iucnredlist.org/technical-documents/classification-schemes/threats-classification-scheme)
","popn_trend","trend score","../ohiprep/globalprep/SpeciesDiversity/v2015/data/ico_trend.csv",TRUE,"ico_spp_popn_trend.csv","eez2015/layers/ico_spp_popn_trend.csv"
"LE","le_gdp",,"GDP","Gross Domestic Product (GDP) data (reported in 2012 US dollars) from The World Bank.

Data sources:

- [The World Bank](data.worldbank.org/indicator/NY.GDP.MKTP.CD)
","usd","2010 USD","../ohiprep/Global/NCEAS-Livelihoods_v2013/data/le_gdp.csv",TRUE,"le_gdp.csv","eez2015/layers/le_gdp.csv"
"LE","le_gdp_pc_ppp","le_gdp_pc_ppp","Modeled Livelihoods & Economies data","gross domestic product per person at purchasing power parity","usd","USD","../ohiprep/Global/NCEAS-Livelihoods_v2013/data/le_cntry_gdp_pc_ppp_2013a.csv",TRUE,"le_gdp_pc_ppp.csv","eez2015/layers/le_gdp_pc_ppp.csv"
"LE","le_jobs_cur_adj_value","le_jobs_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","../ohiprep/Global/NCEAS-Livelihoods_v2013/data/le_2013_status_model_curref_jobs_cur_adj_value.csv",TRUE,"le_jobs_cur_adj_value.csv","eez2015/layers/le_jobs_cur_adj_value.csv"
"LE","le_jobs_cur_base_value","le_jobs_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","../ohiprep/Global/NCEAS-Livelihoods_v2013/data/le_2013_status_model_curref_jobs_cur_base_value.csv",TRUE,"le_jobs_cur_base_value.csv","eez2015/layers/le_jobs_cur_base_value.csv"
"LE","le_jobs_ref_adj_value","le_jobs_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","../ohiprep/Global/NCEAS-Livelihoods_v2013/data/le_2013_status_model_curref_jobs_ref_adj_value.csv",TRUE,"le_jobs_ref_adj_value.csv","eez2015/layers/le_jobs_ref_adj_value.csv"
"LE","le_jobs_ref_base_value","le_jobs_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","../ohiprep/Global/NCEAS-Livelihoods_v2013/data/le_2013_status_model_curref_jobs_ref_base_value.csv",TRUE,"le_jobs_ref_base_value.csv","eez2015/layers/le_jobs_ref_base_value.csv"
"LE","le_jobs_sector_year",,"Jobs","gapfilled","value","jobs","../ohiprep/Global/NCEAS-Livelihoods_v2013/data/le_eez2013_trend_jobs_sector-year.csv",TRUE,"le_jobs_sector_year.csv","eez2015/layers/le_jobs_sector_year.csv"
"LE","le_rev_cur_adj_value","le_rev_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","../ohiprep/Global/NCEAS-Livelihoods_v2013/data/le_2013_status_model_curref_rev_cur_adj_value.csv",TRUE,"le_rev_cur_adj_value.csv","eez2015/layers/le_rev_cur_adj_value.csv"
"LE","le_rev_cur_base_value","le_rev_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","../ohiprep/Global/NCEAS-Livelihoods_v2013/data/le_2013_status_model_curref_rev_cur_base_value.csv",TRUE,"le_rev_cur_base_value.csv","eez2015/layers/le_rev_cur_base_value.csv"
