"goal","dimension","region_id","score","year"
"AO","future",0,0,2019
"AO","score",0,0,2019
"AO","status",0,0,2019
"BD","future",0,0,2019
"BD","score",0,0,2019
"BD","status",0,0,2019
"CP","future",0,0,2019
"CP","score",0,0,2019
"CP","status",0,0,2019
"CS","future",0,0,2019
"CS","score",0,0,2019
"CS","status",0,0,2019
"CW","future",0,0,2019
"CW","score",0,0,2019
"CW","status",0,0,2019
"ECO","future",0,0,2019
"ECO","score",0,0,2019
"ECO","status",0,0,2019
"FIS","future",0,58.45,2019
"FIS","score",0,54.94,2019
"FIS","status",0,51.44,2019
"FP","future",0,0,2019
"FP","score",0,0,2019
"FP","status",0,0,2019
"HAB","future",0,93.55,2019
"HAB","score",0,91.21,2019
"HAB","status",0,88.87,2019
"ICO","future",0,0,2019
"ICO","score",0,0,2019
"ICO","status",0,0,2019
"Index","future",0,72.83,2019
"Index","score",0,70.58,2019
"LE","future",0,0,2019
"LE","score",0,0,2019
"LE","status",0,0,2019
"LIV","future",0,0,2019
"LIV","score",0,0,2019
"LIV","status",0,0,2019
"LSP","future",0,0,2019
"LSP","score",0,0,2019
"LSP","status",0,0,2019
"MAR","future",0,0,2019
"MAR","score",0,0,2019
"MAR","status",0,0,2019
"NP","future",0,0,2019
"NP","score",0,0,2019
"NP","status",0,0,2019
"SP","future",0,0,2019
"SP","score",0,0,2019
"SP","status",0,0,2019
"SPP","future",0,0,2019
"SPP","score",0,0,2019
"SPP","status",0,0,2019
"TR","future",0,0,2019
"TR","score",0,0,2019
"TR","status",0,0,2019
