"targets","layer","layer_old","name","description","fld_value","units","path_in","path_in_exists","filename","path_out"
"CW","cw_chemical_trend","rn_cw_chemical_trend","Pesticide consumption as a proxy for trend in chemical pollution","shipping as a proxy for oil pollution: trend assumed to be zero based on status of 0","trend","trend score","/var/data/ohi/model/GL-AQ-CleanWaters_v2013/data/cw_chem_trend.csv",TRUE,"cw_chemical_trend.csv","antarctica2014/layers/cw_chemical_trend.csv"
"CW","cw_trash_trend","rn_cw_trash_trend","Coastal human population as a proxy for trend in trash","trash: trend assumed to be zero based on status of 0","trend","trend score","/var/data/ohi/model/GL-AQ-CleanWaters_v2013/data/cw_trash_trend.csv",TRUE,"cw_trash_trend.csv","antarctica2014/layers/cw_trash_trend.csv"
"ECO","eco","rn_eco","crew data for tourism and fisheries",,"crew","crew","/var/data/ohi/model/GL-AQ-ECO_v2013/data/ECOdata.csv",TRUE,"eco.csv","antarctica2014/layers/eco.csv"
"FIS","fis_status","fis_status","Modeled fisheries status",,"status","status score","/var/data/ohi/model/GL-HS-AQ-Fisheries_v2013/Antarctica/data/FISstatus.csv",TRUE,"fis_status.csv","antarctica2014/layers/fis_status.csv"
"FIS","fis_trend","fis_trend","Modeled fisheries status",,"trend","trend score","/var/data/ohi/model/GL-HS-AQ-Fisheries_v2013/Antarctica/data/FIStrend.csv",TRUE,"fis_trend.csv","antarctica2014/layers/fis_trend.csv"
"HAB CS CP","hab_extent","rnk_hab_extent","Habitat extent","Modeled combined habitat extent (sea ice extent and shoreline)","km2","km^2","/var/data/ohi/model/GL-AQ-SeaIce_v2013/data/hab_habitat_extent_2013.csv",TRUE,"hab_extent.csv","antarctica2014/layers/hab_extent.csv"
"HAB CS CP","hab_health","rnk_hab_health","Habitat health","Modeled combined habitat health condition trend (sea ice extent and shoreline)","health","value","/var/data/ohi/model/GL-AQ-SeaIce_v2013/data/hab_habitat_health_2013.csv",TRUE,"hab_health.csv","antarctica2014/layers/hab_health.csv"
"HAB CS CP","hab_trend","rnk_hab_trend","Habitat health trend","Modeled combined habitat health trend (sea ice extent and shoreline)","trend","trend score","/var/data/ohi/model/GL-AQ-SeaIce_v2013/data/hab_habitat_trend_2013.csv",TRUE,"hab_trend.csv","antarctica2014/layers/hab_trend.csv"
"ICO","ico_status","rn_ico_status","Species lists and IUCN threat categories as a proxy for species richness status/trend","Calculated using methods/data of SPP analysis, but with a subset of taxa determined to be iconic species","score","status score","/var/data/ohi/model/GL-HS-AQ-Iconics_v2013/data/rgn_ico_score_2013_AQ.csv",TRUE,"ico_status.csv","antarctica2014/layers/ico_status.csv"
"ICO","ico_trend","rn_ico_trend","Species lists and IUCN threat categories as a proxy for species richness status/trend","Calculated using methods/data of SPP analysis, but with a subset of taxa determined to be iconic species","score","trend score","/var/data/ohi/model/GL-HS-AQ-Iconics_v2013/data/rgn_ico_trend_2013_AQ.csv",TRUE,"ico_trend.csv","antarctica2014/layers/ico_trend.csv"
"LSP","lsp_prot_area_status","rny_lsp_prot_area_status","Coastal marine protected areas throughout CCAMLR regions and coastal protected areas inland 1km","Proportion of protected areas relative to entire ocean ccamlr regions (mpa) and score of 1 for all 1 km inland areas, weighted by relative areas of ccamlr ocean and inland regions","status","status","/var/data/ohi/model/GL-AQ-LSP_v2013/data/status.csv",TRUE,"lsp_prot_area_status.csv","antarctica2014/layers/lsp_prot_area_status.csv"
"LSP","lsp_prot_area_trend","rny_lsp_prot_area_trend","Coastal marine protected areas throughout CCAMLR regions and coastal protected areas inland 1km","Proportion of protected areas relative to entire ocean ccamlr regions (mpa) and score of 1 for all 1 km inland areas, weighted by relative areas of ccamlr ocean and inland regions","trend","trend","/var/data/ohi/model/GL-AQ-LSP_v2013/data/trend.csv",TRUE,"lsp_prot_area_trend.csv","antarctica2014/layers/lsp_prot_area_trend.csv"
"NP","np_status","np_status","Status of krill fisheries (calculated using fisheries method)","Calculated using c_cmsy scores and catch data for Euphausia superba","status","value","/var/data/ohi/model/GL-AQ-NaturalProducts_v2013/data/np_status.csv",TRUE,"np_status.csv","antarctica2014/layers/np_status.csv"
"NP","np_trend","np_trend","Trend of krill fisheries (calculated using fisheries method)","Calculated using c_cmsy scores and catch data for Euphausia superba","trend","value","/var/data/ohi/model/GL-AQ-NaturalProducts_v2013/data/np_trend.csv",TRUE,"np_trend.csv","antarctica2014/layers/np_trend.csv"
"SPP","spp_status","rn_spp_status","Species lists and IUCN threat categories as a proxy for species richness status/trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","score","status score","/var/data/ohi/model/GL-HS-AQ-SpeciesRichness_v2013/data/rgn_spp_score_2013_AQ.csv",TRUE,"spp_status.csv","antarctica2014/layers/spp_status.csv"
"SPP","spp_trend","rn_spp_trend","Species lists and IUCN threat categories as a proxy for species richness status/trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","score","trend score","/var/data/ohi/model/GL-HS-AQ-SpeciesRichness_v2013/data/rgn_spp_trend_2013_AQ.csv",TRUE,"spp_trend.csv","antarctica2014/layers/spp_trend.csv"
