"goal","dimension","region_id","score","old_score","change"
"CP","future",258510,NA,NA,NA
"CP","future",258520,NA,NA,NA
"CP","future",258600,NA,NA,NA
"CP","future",258700,NA,NA,NA
"CP","future",288100,100,100,0
"CP","future",288200,100,100,0
"CP","future",288300,95.21,92.94,2.27
"CP","pressures",248100,13.33,26.44,-13.11
"CP","pressures",248200,13.52,16.65,-3.13
"CP","pressures",248300,19.87,6.43,13.44
"CP","pressures",248400,34.33,8.33,26
"CP","pressures",248500,7.6,19.79,-12.19
"CP","pressures",248600,18.41,22.3,-3.89
"CP","pressures",258410,27.63,39.62,-11.99
"CP","pressures",258420,10.71,24.87,-14.16
"CP","pressures",258431,8.29,0.13,8.16
"CP","pressures",258432,16.09,3.34,12.75
"CP","pressures",258441,11.96,4.9,7.06
"CP","pressures",258442,7.48,5.65,1.83
"CP","pressures",258510,22.36,2.07,20.29
"CP","pressures",258520,17.26,0.9,16.36
"CP","pressures",258600,9.12,1.87,7.25
"CP","pressures",258700,22.7,5.79,16.91
"CP","pressures",288100,8.69,27.38,-18.69
"CP","pressures",288200,6.57,9.74,-3.17
"CP","pressures",288300,7.44,15.1,-7.66
"CP","resilience",248100,62.58,62.58,0
"CP","resilience",248200,62.58,62.58,0
"CP","resilience",248300,62.58,62.58,0
"CP","resilience",248400,62.58,62.58,0
"CP","resilience",248500,62.58,62.58,0
"CP","resilience",248600,62.58,62.58,0
"CP","resilience",258410,62.58,62.58,0
"CP","resilience",258420,62.58,62.58,0
"CP","resilience",258431,62.58,62.58,0
"CP","resilience",258432,62.58,62.58,0
"CP","resilience",258441,62.58,62.58,0
"CP","resilience",258442,62.58,62.58,0
"CP","resilience",258510,62.58,62.58,0
"CP","resilience",258520,62.58,62.58,0
"CP","resilience",258600,62.58,62.58,0
"CP","resilience",258700,62.58,62.58,0
"CP","resilience",288100,62.58,62.58,0
"CP","resilience",288200,62.58,62.58,0
"CP","resilience",288300,62.58,62.58,0
"CP","score",0,98.71,98.56,0.149999999999991
"CP","score",248100,92.52,90.64,1.88
"CP","score",248200,NA,NA,NA
"CP","score",248300,NA,NA,NA
"CP","score",248400,NA,NA,NA
