"region_name","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"Global average",0,70.22,74.2,77.2,80.44,83.68,81.84,77.8,70.19,86.33,80.79,75.25,53.36,49.69,6.23,60.22,60.96,61.71,75.21,50.82
"Macquarie Island",4,93.99,,81.64,90.82,100,100,,97.67,,,,100,100,,62.92,81.46,100,,
"Howland Island and Baker Island",158,89.89,,72.52,85.22,97.92,99.18,,96.77,,,,89.3,89.3,,57.99,78.99,100,,
"Ile Europa",35,85.76,,75.64,85.65,95.67,88.22,100,84.41,,,,93.74,93.74,,50.81,75.41,100,72.88,
"Sint Maarten",220,85.37,92.46,85.49,92.33,99.17,100,100,67.14,80.07,88.22,96.36,74.05,74.05,0,64.5,54.13,43.76,,100
"Jarvis Island",149,83.94,,70.93,83.4,95.87,95.45,,99.23,,,,62.64,62.64,,57.99,78.99,100,,
"Seychelles",31,83.31,78.86,77.81,82.75,87.69,80.91,99.98,77.36,65.65,82.82,100,52.8,52.8,0,55.94,77.97,100,99.67,100
"Saba",248,81.89,88.22,86.14,93.04,99.94,100,100,69.28,75.24,68.81,62.37,36.34,36.34,0,62.72,81.36,100,,100
"New Zealand",162,81.78,76.58,77.46,85.56,93.67,99.89,83.86,78.64,100,100,100,56.63,45.93,2.5,52.97,56.06,59.14,91.31,100
"Turks and Caicos Islands",111,81.62,85.68,76.69,82.43,88.18,83.95,100,59.18,90.93,90.49,90.05,92,92,0,63.02,59.81,56.6,64.74,97.93
"Mayotte",29,81.45,94.43,79.16,88.42,97.68,95.68,100,74.59,100,100,100,68.28,67.87,0.03,56.86,78.43,100,64.8,50.33
"South Georgia and the South Sandwich Islands",89,81.12,,83.1,85.49,87.89,,,98.54,,,,57.73,57.73,,65.44,82.72,100,,
"Bonaire",245,80.36,79.38,78.61,82.5,86.4,98.87,74.39,80.08,75.24,68.81,62.37,57.32,57.32,,62.72,81.36,100,80.92,100
"Heard and McDonald Islands",94,80.28,,84.04,91.72,99.39,,,99.25,,,,42.01,42.01,,75.06,87.53,100,80.91,
"United Arab Emirates",54,79.9,99.23,84.49,86.29,88.09,81.5,74.31,71.35,99,99.5,100,73.06,70.36,1.21,57.97,68.19,78.41,93.76,54.49
"Prince Edward Islands",90,79.78,,80.5,80.44,80.39,63.68,,84.86,,,,88.51,88.51,,62.79,81.39,100,,
"Aruba",250,79.1,91.77,79.05,89.52,100,100,100,68.45,100,100,100,48.14,48.14,,67.64,39.36,11.07,53.73,100
"Northern Saint-Martin",221,79.04,73.43,87.75,89.81,91.87,92.18,100,65.71,80.34,88.35,96.36,48.34,48.34,0,64.03,82.01,100,56.2,94.4
"Sint Eustatius",249,78.86,88.22,86.75,73.5,60.25,100,100,68.17,75.24,68.81,62.37,36.34,36.34,0,62.72,74.74,86.76,,100
"Antigua and Barbuda",120,78.75,100,77.71,75.6,73.49,73.49,98.18,59.12,83.4,91.7,100,55.67,55.67,0,64.53,78.3,92.07,64.74,90.74
"Clipperton Island",107,78.71,,67.96,83.96,99.95,100,,82.73,,,,72.04,72.04,,59.63,54.81,50,,
"Estonia",70,78.05,90.96,84.74,80.26,75.77,62.67,74.62,72.75,100,73.81,47.62,90.58,90.58,0.72,91.85,95.92,100,99.69,39.29
"Qatar",190,77.96,97.36,84.13,88.93,93.74,98.63,99.98,73.58,77.8,65.21,52.61,65.29,65.29,0,54.87,60.68,66.5,78,51.92
"Latvia",69,77.9,90.21,84.24,81.41,78.58,62.27,74.62,63.33,100,89.5,79,89.51,89.51,0,91.85,95.92,100,99.49,32.72
