"country","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"eez_weighted_avg",0,0.02,-0.17,-0.28,-0.14,0.01,-0.12,0,0.23,0.38,0.21,0.04,-0.13,-0.17,0.09,-0.43,0.15,0.74,-0.2,0.36
"Pitcairn",146,1.13,2.82,-0.25,-0.13,0,0,,-0.22,1.02,0.52,0.02,-0.03,-0.03,0,-0.75,3.67,8.08,,2.39
"Norfolk Island",3,0.78,0.17,-0.1,-0.06,-0.01,0,,0.02,0.02,0.11,0.21,0.04,0.04,0,-0.6,5.8,12.19,-0.33,1.25
"Jamaica",166,0.74,4.72,-0.48,-0.24,0,0,0,0.33,0.27,0.11,-0.04,-0.13,-0.11,0,-0.7,-0.36,-0.02,-0.15,3.14
"Tokelau",156,0.72,3.46,-0.44,-0.22,0,0,,1.33,1.02,0.52,0.02,0,0,0,-1.18,-0.59,0,-0.34,2.3
"Tonga",155,0.66,5.25,-0.34,-0.14,0.05,0,0,0.06,1.52,0.76,0,0.02,0.11,-0.02,-0.87,-0.44,0,-1.39,2.37
"Papua New Guinea",17,0.65,0.03,-0.29,-0.11,0.08,0.03,0.03,-0.16,0.23,0.12,0,-0.01,-0.01,0,-0.91,-0.46,0,6.77,0.3
"South Georgia and the South Sandwich Islands",89,0.64,,0.15,0.28,0.42,,,0.04,,,,1.09,1.09,,0.71,0.36,0,1.14,
"Cook Islands",153,0.63,-0.01,-0.38,-0.01,0.35,0,0,1.65,0.68,0.37,0.06,-0.11,-0.11,0,-1.18,6.92,15.03,-4.93,2.46
"Iceland",143,0.6,0.21,-0.28,-0.43,-0.59,0,0,-0.18,0.18,-0.32,-0.82,-0.16,-0.25,0.2,0.02,-0.01,-0.04,1.95,5.01
"Indonesia",216,0.59,-0.14,-0.3,-0.15,-0.01,0,0,0.43,1.75,0.45,-0.84,-0.1,-0.65,0.32,-0.64,0.39,1.42,4.48,1.11
"Madagascar",42,0.56,-0.16,-0.24,-0.16,-0.08,0.01,0.01,-0.18,0,-0.49,-0.98,-0.15,-0.19,0,-0.46,0.75,1.96,5.7,0.3
"Barbados",124,0.55,0.44,-0.47,-0.07,0.32,0,0,0.78,-0.18,-0.09,0,0.08,0.08,0,-0.73,-0.36,0,,4.14
"Wallis and Futuna",161,0.55,3.58,-0.38,-0.19,0.01,0,,-0.33,1.02,0.52,0.02,0.03,0.03,0,-1.16,-0.58,0,-0.43,2.34
"South Korea",20,0.54,0.65,-0.35,-0.12,0.11,0,0,0.02,0,0.06,0.12,0.01,0.78,0,0.07,0.01,-0.06,3.5,0.51
"Clipperton Island",107,0.53,,-0.39,-0.2,-0.02,0,,-0.02,,,,-0.87,-0.87,,-0.62,3.73,8.08,,
"Mayotte",29,0.53,1.92,-0.27,0,0.26,0,0,3.86,0,0,0,-0.08,0.09,-0.01,-0.7,-0.35,0,-0.34,0.17
"Albania",82,0.52,3.12,-0.4,-0.14,0.12,0,0,1.58,0,0,0,-0.15,0.26,1.07,-0.76,-0.62,-0.48,-0.12,1.09
"Japan",210,0.52,3.5,-0.46,-0.19,0.08,0.09,0,0.09,0,0.3,0.6,0.76,0.6,-0.23,-0.4,-0.2,0,0.39,0.55
"Georgia",74,0.5,0.36,-0.15,-0.08,-0.02,0,0,0.11,2.06,1.03,0,0.02,0,0.04,-0.71,-0.35,0,0.01,3.92
"New Caledonia",5,0.47,0.03,-0.3,-0.14,0.03,0,0,-0.03,0.12,0.06,0,-0.17,0.09,0,-0.6,0.22,1.03,4.24,0.29
"Thailand",25,0.44,-0.43,-0.33,-0.07,0.2,0.06,0.05,0.47,0.07,0.72,1.37,-0.19,0.8,-0.13,-1,2.59,6.19,-0.89,1.12
"Iraq",192,0.42,3.15,-0.02,0.13,0.28,0.07,0.09,2.78,2.02,1.01,0,0.31,0.31,0,-1,-0.5,0,-2.09,-0.76
"Netherlands",177,0.42,3.3,-0.21,0.06,0.33,0,0,0.4,0.15,0.07,0,0.2,0.53,0,0.06,0.03,0,-0.18,0.01
"Venezuela",139,0.41,1.85,-0.45,-0.22,0.02,-0.01,-0.02,0.28,0.24,0.9,1.56,1.81,1.28,0.02,-0.58,-0.33,-0.09,0.29,0.07
"Pakistan",53,0.39,4.64,-0.4,-0.2,0,0.03,0.05,0.2,0.03,-0.19,-0.42,0.06,0.06,0,-0.84,-0.42,0,-0.37,0.08
"Croatia",187,0.37,-0.51,-0.37,-0.09,0.2,0,0,0.26,0,-0.01,-0.02,-0.18,0.66,2.19,-0.56,1.99,4.54,-0.11,1.46
"Uruguay",173,0.37,-1.69,-0.13,0.09,0.31,0,0,0.52,0,0,0,1.65,1.65,0,-0.31,0.92,2.14,-0.01,2.25
"Oecussi Ambeno",237,0.36,0.05,-0.17,0.03,0.24,0,0.03,0.32,0.78,0.36,-0.06,-0.11,-0.11,0,-0.93,1.61,4.15,,0.93
"Samoa",152,0.36,1.86,-0.35,-0.17,0,0,0,0.11,0.6,0.31,0.01,0.03,0.03,0,-1.04,-0.52,0,-0.35,2.37
"North Korea",21,0.35,1.02,-0.2,-0.04,0.13,-0.03,0.05,0.23,-0.24,0,0.23,0.01,1.14,1.61,0.01,0.01,0.01,0.92,0.21
"Portugal",183,0.35,-0.62,-0.56,-0.32,-0.07,0,0,0.48,0,0.02,0.04,-0.4,-0.42,0.82,-0.32,-0.16,0,1.65,2.9
"Bosnia and Herzegovina",232,0.34,-0.2,-0.33,1.02,2.37,,,0.8,0,0.05,0.1,-0.24,0.18,0,-0.69,-0.35,0,0.4,0.82
"Germany",176,0.34,0.46,-0.23,-0.14,-0.05,0,0,0.53,0,0.15,0.31,0.06,1.44,6.59,0.06,0.03,0,0.38,0.52
"United Arab Emirates",54,0.34,0.14,-0.3,-0.14,0.02,0,0,0.98,0.09,0.05,0,-0.21,-0.52,0.09,-0.76,0.14,1.05,1.33,1.38
"China",209,0.32,0.58,-0.36,-0.17,0.01,0.03,0,0.87,-0.04,0.02,0.09,0.21,0.46,0,-0.43,-0.19,0.05,1.48,0.1
"Saint Pierre and Miquelon",219,0.32,0.84,-0.31,-0.12,0.07,,,0.22,0,0,0,0.79,0.79,,0.11,0.06,0.01,0.41,0.35
"Malta",68,0.31,0.08,-0.57,-0.33,-0.1,0,0,0.66,0.33,0.13,-0.07,-0.29,2.52,6.21,-0.33,0.17,0.68,-0.09,0
"Egypt",214,0.3,-0.01,-0.49,-0.23,0.03,0,0,0.12,0.02,-0.11,-0.24,-0.25,1.4,2.25,-0.86,-0.5,-0.14,0.46,1.82
"Niue",154,0.3,0.04,-0.35,0.35,1.06,0,,0.69,0,0.02,0.03,0.15,0.15,0,-1.11,-0.55,0,-0.39,2.36
"Tuvalu",19,0.3,0.05,-0.41,-0.73,-1.04,0,,-0.07,3.92,1.96,0,0.02,0.02,0,-1.05,-0.53,0,-0.34,2.34
"Bonaire",245,0.29,-0.1,-0.48,-0.24,0,0,0,0.32,0.15,0.08,0,0.6,0.6,,-0.63,2.47,5.56,-0.43,0.21
"Bulgaria",71,0.28,0.13,-0.15,-0.07,0,0,0,0.62,0,0,0,-0.03,1.89,0,0.12,0.06,0,-0.13,0.36
"Guernsey",228,0.28,0.13,-0.39,0.11,0.61,0,0,0.23,0.33,0.06,-0.21,-0.55,-0.55,0,-0.57,0.42,1.41,1.68,0.71
"Romania",72,0.28,0.52,-0.15,0.06,0.26,0,0,0.62,0,-0.08,-0.17,0.09,0.08,0.01,0.12,0.06,0,1.1,0.42
"Gibraltar",60,0.26,0.34,-0.48,-0.12,0.23,,,0.91,0,0,0,-0.39,-0.39,0,-0.26,-0.13,0,,1.17
"R_union",32,0.25,1.74,-0.31,-0.2,-0.08,0,0,0.13,0.54,0.24,-0.06,-0.48,-0.38,-0.16,-0.73,-0.37,0,1.22,0.17
"Solomon Islands",7,0.25,0,-0.32,-0.2,-0.08,0,0,-0.15,0.04,0.02,0,-0.04,-0.05,0,-0.87,-0.44,0,1.48,1.87
"Spain",182,0.25,-0.33,-0.46,-0.29,-0.12,0,0,0.49,0,-0.03,-0.06,-0.44,0.3,0,-0.59,-0.08,0.42,1.51,0.9
"Djibouti",46,0.24,1.98,-0.19,0.03,0.25,0,0.03,0.03,0,-0.06,-0.11,0.02,0.02,0,-0.69,-0.34,0,28.23,0.17
"Jersey",227,0.24,0.13,-0.39,-0.03,0.32,0,0,-0.15,0.33,0.06,-0.21,-0.55,-0.55,0,-0.57,0.5,1.56,1.68,0.72
"Myanmar",205,0.24,1.26,-0.15,-0.01,0.13,0.19,0.2,-0.1,1.14,0.57,0,-0.13,-0.05,-0.05,-0.74,-0.08,0.58,0.34,0.07
"Qatar",190,0.24,0.22,-0.3,-0.14,0.02,0,0,0.35,2.17,1.09,0.02,-0.22,-0.22,0,-0.9,-0.45,0,0.38,1.12
"Turkey",76,0.24,-0.28,-0.35,-0.11,0.14,0,0,1.32,0,0,0,-0.17,1.92,5.83,-1.08,-0.54,0,-0.08,0.18
"Slovenia",188,0.23,0.01,-0.31,-0.3,-0.29,0,0,1.15,0,0,0,-0.03,1.7,0,-0.32,0.7,1.72,-1.24,0.3
"Bouvet Island",105,0.22,,0.16,-0.03,-0.23,,,0.04,,,,-0.05,-0.05,,1.83,0.92,0,,
"Denmark",175,0.2,0.85,-0.27,-0.07,0.14,0,0,0.26,0.28,0.26,0.25,0.32,0.44,1.25,0.06,0.03,0,-0.1,0.3
"Dominican Republic",115,0.2,-0.09,-0.46,-0.21,0.03,0,-0.01,0.31,0.47,0.24,0,0,0.03,-0.04,-0.45,-0.22,0,1.51,0.45
"Gabon",198,0.2,-0.03,-0.27,-0.62,-0.96,0,0,0.02,1.29,0.67,0.04,-0.16,-0.16,0,-0.48,1.53,3.55,0.37,0.24
"Mauritius",37,0.2,0.1,-0.32,-0.18,-0.05,0,0,0.64,0.17,0.15,0.14,-0.34,-0.73,0.02,0,-0.04,-0.08,0.54,1.57
"Suriname",168,0.2,-0.48,-0.42,-0.23,-0.04,-0.01,-0.01,0.44,0.93,0.38,-0.17,0.26,0.26,0,-0.76,-0.38,0,1.13,0.85
"Bassas da India",34,0.19,,-0.25,-0.22,-0.2,0,,-0.06,,,,1.06,1.06,,0.58,0.29,0,-0.62,
