region_name,region_id,Index,AO,SPP,BD,HAB,CP,CS,CW,ECO,LE,LIV,FIS,FP,MAR,ICO,SP,LSP,NP,TR
Global average,0,74.76,76.07,77.53,77.91,78.32,77.12,80.93,78.37,NA,84.62,84.62,54.53,49.67,6.35,66.55,64.85,63.16,76.54,92.41
Macquarie Island,4,93.14,NA,80.05,89.7,99.34,100,NA,98.69,NA,NA,NA,92.9,92.9,NA,68.85,84.42,100,NA,NA
Ile Europa,35,90.82,NA,76.97,88.49,100,91.19,100,98.72,NA,NA,NA,89.92,89.92,NA,53.13,76.57,100,NA,NA
Mayotte,29,90.72,95.58,80.24,89.74,99.25,95.16,100,96.61,NA,NA,NA,75.42,75.42,0.05,65.02,82.51,100,NA,NA
Seychelles,31,87.67,86.97,78.67,84.42,90.18,79.28,99.96,92,NA,91.89,91.89,67.19,67.19,0,60.18,80.09,100,100,94.9
Howland Island and Baker Island,158,86.86,NA,75.94,83.75,91.57,82.32,NA,98.13,NA,NA,NA,87.26,87.26,NA,65.64,82.82,100,NA,NA
Jarvis Island,149,86.23,NA,74.66,85.69,96.71,79.22,NA,97.31,NA,NA,NA,86.13,86.13,NA,65.64,82.82,100,NA,NA
Qatar,190,84.17,100,78.78,77.9,77.03,85.02,98.57,82.14,NA,91.59,91.59,68.96,68.78,0,65.03,72.05,79.06,NA,81.53
Clipperton Island,107,83.21,NA,70.65,85.32,100,87.17,NA,96.05,NA,NA,NA,65.98,65.98,NA,63.05,81.53,100,NA,NA
Tuvalu,19,82.74,100,76.15,87.71,99.27,84.33,100,74.72,NA,NA,NA,86.36,86.36,0,62.99,33.3,3.62,NA,95.46
R_union,32,82.68,100,74.89,87.11,99.32,86.46,100,80.76,NA,100,100,58.39,58.39,0.1,65.73,48.76,31.78,NA,NA
Madeira,57,81.85,86.04,74.28,86.97,99.66,NA,NA,80.2,NA,NA,NA,70,70,0,72.11,86.06,100,NA,NA
United Arab Emirates,54,81.71,96.49,79.15,77.93,76.71,81.56,87.61,81.34,NA,95.57,95.57,72.18,70.2,1.05,65.74,72.29,78.84,84.41,69.72
Estonia,70,81.62,91.2,87.79,71.84,55.89,62.83,55.88,78.78,NA,87.67,87.67,71.61,69.86,0,96.57,98.29,100,99.89,100
Saba,248,81.43,85.05,82.17,87.39,92.6,99.01,100,80.31,NA,NA,NA,37.45,37.45,0,61.56,80.78,100,NA,NA
Palmyra Atoll,150,81.38,NA,73.69,74.99,76.28,61.06,NA,97.04,NA,NA,NA,91,91,NA,65.64,82.82,100,NA,NA
Prince Edward Islands,90,81.34,NA,78.69,80.27,81.86,63.68,NA,90.26,NA,NA,NA,90.53,90.53,NA,63.89,81.94,100,NA,NA
Oman,48,81.22,91.25,80.48,72.77,65.06,82.39,99.53,87.12,NA,88.62,88.62,51.23,50.84,0.01,60.94,50.42,39.89,100,89.26
