region_name,region_id,Index,AO,SPP,BD,HAB,CP,CS,CW,ECO,LE,LIV,FIS,FP,MAR,ICO,SP,LSP,NP,TR
Global average,0,69.53,75.69,76.69,77.61,78.58,78.29,80.91,78.88,NA,83.42,83.42,53.89,49.19,7.01,64.01,63.66,63.32,80.47,17.18
Macquarie Island,4,94.11,NA,80.79,90.06,99.34,100,NA,98.69,NA,NA,NA,92.9,92.9,NA,65.98,82.99,100,100,NA
Ile Europa,35,91.6,NA,76.52,88.26,100,91.19,100,98.72,NA,NA,NA,86.32,86.32,NA,53.4,76.7,100,100,NA
Madeira,57,86.38,97.28,73.51,86.59,99.66,NA,NA,79.4,NA,NA,NA,71.76,71.76,0,71.99,86,100,97.23,NA
Howland Island and Baker Island,158,86.11,NA,74.8,83.18,91.57,82.32,NA,98.13,NA,NA,NA,87.3,87.3,NA,59.25,79.63,100,NA,NA
Mayotte,29,85.91,71.56,79.52,89.38,99.25,95.16,100,91.52,NA,NA,NA,74.76,74.76,0.01,58.01,79,100,NA,NA
Jarvis Island,149,85.7,NA,73.3,85.01,96.71,79.22,NA,97.31,NA,NA,NA,87.36,87.36,NA,59.25,79.63,100,NA,NA
Prince Edward Islands,90,84.64,NA,79.05,80.46,81.86,63.68,NA,90.26,NA,NA,NA,91.42,91.42,NA,64.03,82.02,100,100,NA
Greenland,145,81.39,88.5,79.12,76.57,74.02,88.05,74.92,95.57,NA,100,100,54.02,54.02,0.01,68.87,83.82,98.77,71.08,NA
United Arab Emirates,54,81.31,97.7,76.29,76.5,76.71,81.56,87.61,81.72,NA,100,100,72.34,70.61,0.89,59.92,69.14,78.36,99.11,49.18
Saba,248,80.76,82.67,81.13,86.86,92.6,99.01,100,80.14,NA,NA,NA,37.52,37.52,0,58.31,79.15,100,NA,NA
Palmyra Atoll,150,80.62,NA,72.5,74.39,76.28,61.06,NA,97.04,NA,NA,NA,91,91,NA,59.25,79.63,100,NA,NA
R_union,32,80.46,75.29,74.13,86.72,99.32,86.46,100,81.12,NA,90.82,90.82,58.06,58.06,0,59.51,45.65,31.78,100,NA
Seychelles,31,80.41,98.53,77.58,83.88,90.18,79.28,99.96,97.38,NA,67.45,67.45,66.04,65.93,0,57.06,78.53,100,100,33.18
Azores,55,80.16,85.74,69.92,82.41,94.91,100,NA,82,NA,NA,NA,63.03,63.03,0,71.99,67.14,62.29,80.77,NA
Clipperton Island,107,80.1,NA,69.3,84.65,100,87.17,NA,96.05,NA,NA,NA,54.48,54.48,NA,60.65,80.33,100,77.93,NA
Ascension,85,79.85,79.24,75.66,87.77,99.88,NA,NA,89.09,NA,NA,NA,62.53,62.53,0,61.22,80.61,100,NA,NA
Northern Saint-Martin,221,79.3,73.43,81.48,89.3,97.11,83.32,100,83.08,NA,NA,NA,45.48,45.48,0,61.04,80.52,100,NA,NA
Ile Tromelin,36,79.25,NA,74.19,74.19,NA,86.46,NA,98.62,NA,NA,NA,89.51,89.51,NA,53.4,26.7,0,100,NA
Ecuador,137,79.14,82.53,73.23,64.6,55.97,76.49,74.53,78.33,NA,99.71,99.71,52.68,61.81,63.55,58.76,79.38,100,94.84,NA
Cocos Islands,1,78.86,75.9,72.61,79.58,86.56,74.41,70.07,99.53,NA,NA,NA,75.19,75.19,0,57.97,77.33,96.69,NA,NA
Canary Islands,58,78.68,88.28,75.23,74.12,73.02,66.38,64.93,78.25,NA,NA,NA,71.9,71.9,0,71.99,86,100,99.61,NA
France,179,78.48,78.94,75.07,75.7,76.32,98.52,81.89,60.98,NA,98.7,98.7,60,60.01,60.01,73,86.5,100,87.49,56.03
Norfolk Island,3,78.37,97.65,76.79,88.32,99.86,100,NA,90.66,NA,NA,NA,9.17,9.17,0,68.85,84.43,100,NA,NA
Guadeloupe and Martinique,140,78.36,73.47,78.78,89,99.22,87.39,100,86.71,NA,88.97,88.97,21.14,20.88,0.16,60.86,80.43,100,NA,NA
Juan de Nova Island,33,78.19,NA,78.3,71.84,65.38,86.46,NA,97.8,NA,NA,NA,86.32,86.32,NA,53.4,26.7,0,100,NA
Bassas da India,34,78.18,NA,76.62,72.16,67.71,86.46,NA,97.44,NA,NA,NA,86.32,86.32,NA,53.4,26.7,0,100,NA
Sint Eustatius,249,77.84,82.67,81.67,87.76,93.86,99.04,100,65.33,NA,NA,NA,37.52,37.52,0,58.31,72.54,86.76,NA,NA
Antigua and Barbuda,120,77.77,100,77.66,81.21,84.76,60.43,98.82,79.48,NA,80.19,80.19,54.31,54.31,0,60.73,80.36,100,100,42.92
Romania,72,76.55,83.71,82.73,69.44,56.16,74.93,74.93,71.76,NA,99.59,99.59,26.87,26.87,0,100,100,100,87.7,NA
Anguilla,118,76.27,86.64,76.79,88.39,99.99,53.09,100,91.45,NA,NA,NA,62.92,62.92,0,63.33,51.39,39.45,NA,NA
Qatar,190,76.24,100,75.84,76.44,77.03,85.02,98.57,82.62,NA,86.15,86.15,68.7,68.64,0.03,58.24,68.65,79.06,NA,20.11
Comoro Islands,28,76.04,95.46,77.5,85.2,92.89,92.22,99.98,44.41,NA,81.9,81.9,64.71,64.71,0,56.62,73.48,90.33,NA,46.99
United States,163,75.54,79.23,76.94,76.8,76.66,83.5,75.48,84.47,NA,88.46,88.46,72.05,68.05,1.42,68.33,74.32,80.3,99.76,25.33
Phoenix Islands (Kiribati),157,75.42,46.76,74.43,85.91,97.38,82.17,NA,98.7,NA,NA,NA,81.2,81.2,0,58.5,79.25,100,53.95,NA
Venezuela,139,75.03,80.27,76.66,77.95,79.24,90.2,99.69,80.44,NA,97.9,97.9,53.39,41.4,1.15,58.24,78.05,97.86,97.11,7.27
Gabon,198,75.03,74.57,75.18,66.4,57.63,81.77,80.75,76.02,NA,96.79,96.79,40.44,40.44,0,62.31,81.15,100,77.35,NA
Iran,191,74.56,74.64,75.43,70.3,65.17,79.22,78.57,70.55,NA,97.1,97.1,47.66,45.33,21.59,55.24,58.84,62.44,96.5,NA
Sint Maarten,220,74.54,82.72,81.17,88.46,95.74,99.79,100,58.56,NA,78.58,78.58,73.98,73.98,0,61.04,52.4,43.76,NA,36.4
Bahamas,110,74.49,96.03,77.71,79.6,81.49,39.9,86.05,92.63,NA,86.97,86.97,83.66,83.66,0,58.69,71.41,84.12,70.79,37.88
Turks and Caicos Islands,111,74.44,82.98,76.09,76.49,76.89,53.56,85.57,85.17,NA,NA,NA,90.1,90.1,0,60.97,58.79,56.6,NA,62.86
Estonia,70,74.4,98.89,88.78,71.7,54.61,62.83,55.88,78.1,NA,99.54,99.54,64.72,63.16,3.14,94.7,97.35,100,99.94,16.57
Mexico,135,74.2,68.1,74.57,78.57,82.57,91.19,93.8,78.97,NA,86.55,86.55,32.07,28.43,1.11,62.04,81.02,100,65.26,70.16
Glorioso Islands,30,74.02,NA,79.63,89.81,100,86.46,NA,99.16,NA,NA,NA,14.06,14.06,NA,53.4,76.7,100,77.93,NA
Oman,48,73.95,74.5,79.04,72.05,65.06,82.39,99.53,85.57,NA,97.57,97.57,50.81,49.47,0.17,56.26,66.65,77.05,100,11.77
Oecussi Ambeno,237,73.95,65.75,81.32,80.26,79.2,91.15,98.8,80.08,NA,NA,NA,43.12,43.12,0,59.38,58.5,57.62,NA,NA
Heard and McDonald Islands,94,73.74,NA,83.15,87.74,92.33,NA,NA,96.72,NA,NA,NA,48.75,48.75,NA,75.14,87.57,100,47.92,NA
Tokelau,156,73.74,NA,74.14,87.07,100,71.14,100,89.57,NA,NA,NA,62.67,62.67,0,55.6,27.8,0,77.93,NA
Australia,16,73.72,76.81,79.2,77.02,74.84,63.79,71.27,96.02,NA,90.56,90.56,48.26,26.67,0.28,79.9,89.95,100,71.39,NA
Sierra Leone,96,73.59,97.85,73.85,73.15,72.45,98.06,98.96,48.13,NA,100,100,27.34,27.34,0,61.08,80.18,99.29,85.42,26.82
Bonaire,245,73.55,77.66,77.43,68.88,60.33,95.4,66.06,80.28,NA,NA,NA,47.44,47.44,NA,58.31,79.15,100,NA,NA
Christmas Island,2,73.44,75.9,74.03,83.39,92.75,70.91,70.07,95.98,NA,NA,NA,39,39,0,57.67,78.84,100,NA,NA
Nicaragua,131,73.29,90.12,79.08,76.34,73.59,93.67,97.4,75,NA,82.25,82.25,53.58,33.39,0.73,59.72,79.86,100,98.33,6.55
Belize,164,73.21,82.43,79.32,72.12,64.92,43.57,96.67,86.7,NA,98.73,98.73,58.89,52.92,0.15,60.81,80.41,100,89.59,28.96
Marshall Islands,11,73.02,100,75.42,87.59,99.75,80.9,100,74.76,NA,NA,NA,74.98,74.94,0,59.26,48.31,37.37,90.25,0.42
Saint Pierre and Miquelon,219,72.68,77.14,76.88,79.14,81.4,NA,68.69,86.12,NA,NA,NA,69.02,69.02,NA,63.79,37.5,11.22,91.12,NA
Russia,73,72.67,90.75,79.2,80.42,81.63,90.74,74.98,64.16,NA,82.38,82.38,62.5,60.92,7.73,81.3,77.84,74.38,81.96,22.6
Mauritania,64,72.57,65.49,73.72,70.39,67.06,62.88,99.92,70.35,NA,100,100,14.7,14.7,0,63.31,81.65,100,87.72,NA
South Georgia and the South Sandwich Islands,89,72.54,NA,82.4,80.73,79.05,NA,NA,97.68,NA,NA,NA,46.6,46.6,NA,65.31,82.66,100,55.06,NA
Panama,129,72.53,71.28,77.97,75.86,73.75,88.46,96.11,80.63,NA,98.45,98.45,41.32,31.18,0.67,59.65,71.07,82.5,92.9,19.32
New Zealand,162,72.5,78.34,77.88,81.32,84.75,99.91,95.97,72.55,NA,96.26,96.26,58.11,46.17,2.54,65.75,62.44,59.12,87.88,4.16
Japan,210,72.36,80.92,77.3,74.42,71.55,71.82,62.76,77.74,NA,71.16,71.16,48.05,43.93,28.05,60.7,80.35,100,88.13,NA
Saint Helena,86,72.31,80.66,76.49,87.92,99.35,NA,98.86,92.31,NA,NA,NA,43.48,43.48,0,61.22,30.61,0,NA,NA
Saint Vincent and the Grenadines,127,72.2,72.16,79.26,87.97,96.67,68.99,100,89.59,NA,90.5,90.5,59.73,59.73,0,62.45,45.58,28.72,91.16,16.29
Puerto Rico and Virgin Islands of the United States,116,72.14,82.05,78,69.64,61.28,70.55,95.98,77.66,NA,80.95,80.95,37.11,37.11,0,62.82,69.11,75.41,NA,66.18
French Guiana,169,72,77.82,77.26,77.23,77.19,100,100,70.36,NA,NA,NA,29.93,29.93,0,62.29,81.15,100,39.53,NA
Wallis and Futuna,161,71.99,75.06,75.57,87.61,99.65,83.2,NA,88.86,NA,NA,NA,66.94,66.94,0,60.56,30.28,0,NA,NA
Benin,99,71.93,81.93,72.84,71.8,70.76,100,99.86,14.74,NA,97.54,97.54,45.89,45.89,0,63.16,31.58,0,100,75.97
Maldives,39,71.91,91.04,77.53,79.38,81.24,67.34,70.04,94.68,NA,63.61,63.61,81.34,81.33,0,55.89,31.68,7.47,82.47,57.55
Bangladesh,204,71.91,99.9,76.3,70.35,64.4,99.97,100,34.08,NA,94.33,94.33,30.68,24.39,8.65,55.12,66.45,77.79,90.24,39.44
Kuwait,51,71.89,82.27,76,72.77,69.53,99.68,95.82,79.37,NA,90.54,90.54,43.13,43.11,0,62.51,71.7,80.9,NA,11.72
Andaman and Nicobar,26,71.87,85.08,76.4,70.7,65.01,89.42,77.6,85.84,NA,NA,NA,44.32,44.32,0,57.69,28.85,0,93.16,NA
Jan Mayen,144,71.84,NA,77.82,70.12,62.42,62.22,NA,97.47,NA,NA,NA,9.19,9.19,NA,84.06,92.03,100,100,NA
Sao Tome and Principe,103,71.74,82.91,74.79,77.22,79.65,98.15,98.15,62.11,NA,100,100,48.45,48.45,0,56.48,43,29.52,88.26,19.18
Jamaica,166,71.68,84.46,77.93,70.74,63.54,75.82,99.5,57.24,NA,89.28,89.28,33.98,33.97,0,58.57,76.75,94.93,93.06,35.96
Djibouti,46,71.56,69.11,79.42,77.69,75.97,92.16,95.93,57.73,NA,NA,NA,62.79,62.79,0,63.53,31.77,0,100,56.81
Aruba,250,71.52,89.86,77.43,78.95,80.47,97.26,96.67,72.06,NA,95.27,95.27,43.54,43.54,NA,62.32,36.7,11.07,53.58,51.35
Jersey,227,71.08,93.2,79.84,73.08,66.31,62.9,98.86,51.05,NA,NA,NA,58.61,63.52,87.01,70.84,77.76,84.69,48.3,NA
Saint Kitts and Nevis,119,70.9,80.35,80.53,89.02,97.52,77.17,100,79.65,NA,NA,NA,31.23,31.23,NA,59.79,76.92,94.05,93.75,10.01
Norway,223,70.81,94.25,78.12,68,57.89,59.23,58.33,84.09,NA,97.7,97.7,77.29,61.86,49.36,70.73,77.26,83.78,88.69,18.67
Costa Rica,130,70.8,100,75.32,72.31,69.29,66.62,61.54,83.92,NA,91.08,91.08,46.84,41.72,0.81,59.58,73.89,88.19,85.29,31.68
Spain,182,70.79,74.12,71.48,69.81,68.15,97.19,71.93,62.79,NA,72.39,72.39,50.39,65.31,81.47,68.14,84.07,100,77.72,32.59
Brazil,171,70.63,76.63,74.63,76.92,79.21,97.22,99.96,59.32,NA,90.73,90.73,46.96,36.03,0.51,59.92,79.96,100,81.3,8.19
Taiwan,14,70.59,77.3,81.25,72.42,63.58,80.27,70.97,51.48,NA,96.64,96.64,46.79,53.83,83.16,60.39,41.25,22.11,91.11,NA
Colombia,132,70.51,76.48,76.37,70.58,64.79,71.19,67.03,78.37,NA,96.89,96.89,45.59,40.56,0.52,56.16,76.69,97.22,89.25,38.09
Greece,80,70.33,67.79,67.22,64.36,61.5,91.88,63.59,72.09,NA,75.52,75.52,38.59,53.87,60.39,74.64,85.73,96.82,88.76,39.7
Belgium,59,70.23,78.91,82.6,67.85,53.11,61.58,86.78,37.33,NA,93.02,93.02,60.08,60.08,0,80.69,90.35,100,99.24,27.15
Sweden,222,70.21,92.8,87.4,71.01,54.61,61.54,61.93,68.99,NA,92.01,92.01,49.37,49.58,54.49,88.44,84.69,80.95,98.93,20.66
Falkland Islands,95,70.15,79.24,81.15,79.69,78.22,62.22,NA,87.43,NA,NA,NA,65.5,65.5,0,60.29,31.39,2.48,85.61,NA
Germany,176,70.04,79.27,82.19,69.65,57.11,62.19,91,58.08,NA,84.01,84.01,25.84,40.2,87.02,88.06,94.03,100,96.25,25.7
Equatorial Guinea,104,69.97,64.76,73.01,62.5,51.99,95.75,75.77,71.93,NA,NA,NA,19.16,19.16,0,57.78,69.87,81.97,100,NA
Guinea Bissau,193,69.89,91.43,73.92,73.54,73.17,99.61,99.82,65.35,NA,NA,NA,19.29,19.29,0,63.85,81.48,99.11,84.5,13.96
Turkey,76,69.88,78.81,73.32,71.48,69.64,68.58,79.11,68.9,NA,97.25,97.25,52.31,55.44,57.57,56.24,31.3,6.37,94,53.92
Thailand,25,69.74,82.62,78.16,71.3,64.44,87.21,83.47,82.89,NA,94.71,94.71,54.83,37.16,9.58,53.12,72.15,91.19,84.93,0.91
Palau,8,69.72,34.1,75.83,82.74,89.66,79.93,71.72,95.78,NA,NA,NA,79.77,79.37,0.02,56.15,78.08,100,95.22,10.54
Bouvet Island,105,69.63,NA,81.91,72.16,62.41,NA,NA,98.05,NA,NA,NA,7.89,7.89,NA,84.27,92.14,100,77.93,NA
Denmark,175,69.53,75.57,82.97,70.06,57.15,61.92,70.13,56.07,NA,82.46,82.46,30.5,37.85,87.09,88.32,94.16,100,97.23,49.84
Kerguelen Islands,93,69.42,NA,81.82,84.4,86.99,NA,NA,90.08,NA,NA,NA,46.28,46.28,NA,53.4,76.7,100,49.62,NA
Fiji,18,69.32,68.21,77.26,83.09,88.92,84.62,81.21,87.79,NA,80.74,80.74,46.56,46.4,0,57.76,61.32,64.88,97.24,2.62
Ghana,106,69.28,69.17,73.14,69.6,66.07,99.94,99.86,31.39,NA,100,100,50.05,50.04,0.01,63.85,33.29,2.73,99.99,39.48
Cape Verde,56,69.22,80.92,76.33,79.65,82.97,NA,NA,76.28,NA,94.83,94.83,65.47,65.4,0.05,60.14,62.42,64.71,86,8.23
Tanzania,202,69.09,96.59,79.08,74.79,70.49,64.73,81.99,42.17,NA,78.91,78.91,61.16,49.29,3.13,58.58,78.48,98.37,79.78,44.11
United Kingdom,180,68.94,78.63,78.65,72.85,67.04,62.53,84.13,70.68,NA,87.08,87.08,49.05,43.72,10.13,70.34,85.17,100,91.37,13.2
Samoa,152,68.82,86.29,76.45,75.39,74.33,95.91,99.97,93.91,NA,NA,NA,62.81,62.76,0.01,55.91,28.75,1.6,75.23,1.13
Italy,184,68.75,67.56,66.34,65.63,64.91,72.54,66.76,63.72,NA,76.39,76.39,40.07,48.57,66.54,76.22,88.11,100,96.3,41.92
Senegal,66,68.69,74.82,75.37,67.77,60.17,87.5,92.7,52.12,NA,99.99,99.99,28.89,28.59,0.08,66.65,83.32,100,85.35,14.71
Tonga,155,68.67,66.69,75.41,86.11,96.82,91.34,99.97,86.86,NA,95.95,95.95,30.16,29.87,0.08,60.6,44.91,29.22,84.7,0.34
Gambia,65,68.66,88.69,75.27,67.94,60.62,86.6,87.31,49.11,NA,98.66,98.66,24.51,24.49,0.03,66.41,69.21,72,86,28.55
Netherlands,177,68.49,57.81,80.22,68.8,57.37,62.68,94.28,52.43,NA,87.61,87.61,21.63,47.02,87.05,80.59,90.3,100,97.45,26.52
Honduras,133,68.44,94.46,77.59,73.47,69.36,81.47,87.69,67.48,NA,65.56,65.56,66.83,22.04,2.5,60.75,80.38,100,86.1,25.71
Saint Lucia,122,68.28,72.6,79.83,85.65,91.47,70.87,98.29,63.54,NA,84.03,84.03,40.04,39.6,0.32,62.45,40.74,19.03,96.65,30.83
Ireland,181,68.27,73.93,76.54,66.82,57.1,63.11,75.66,67.5,NA,78.41,78.41,64.44,53.85,4.97,63.9,81.95,100,98.51,22.94
Cameroon,197,68.18,74.09,72.88,63.26,53.63,73.3,76.06,47.65,NA,100,100,54.16,54.16,0,63.11,80.6,98.09,99.93,12.71
Iceland,143,68.03,89.31,77.34,75.24,73.13,62.25,74.93,87.8,NA,69.22,69.22,48.6,45.96,6.58,72.14,56.2,40.27,99.18,20.22
Cook Islands,153,67.96,77.12,74.08,80.68,87.29,71.14,74.93,83.97,NA,NA,NA,37.37,37.3,0.04,56.9,78.45,100,40.11,NA
Poland,178,67.86,85.06,89.86,65.32,40.78,56.38,30.81,55.11,NA,98.62,98.62,54.66,54.66,0,94.7,97.35,100,93.61,41.72
Western Sahara,63,67.75,45.66,75.25,74.68,74.11,99.99,99.97,83.46,NA,NA,NA,13.22,13.22,0,60.83,30.41,0,94.61,NA
Chile,224,67.74,87.45,76.63,72.12,67.61,51.67,99.45,85.26,NA,74.87,74.87,67.01,29.18,18.82,61.39,80.7,100,93.93,2.79
Mozambique,41,67.73,72.53,78.65,68.24,57.82,71.3,79.23,58.35,NA,99.99,99.99,40.75,40.74,0,60.75,76.08,91.41,100,10.8
Suriname,168,67.72,66.39,77.52,76.47,75.42,70.13,82.09,84.51,NA,46.6,46.6,53.98,53.97,0,59.65,79.83,100,97.48,19.76
Finland,174,67.71,75.07,87.11,70.62,54.13,62.71,74.26,78.88,NA,81.39,81.39,62.12,72.17,88.38,95.03,78.5,61.97,67.6,15.88
Montserrat,121,67.68,69.28,79.89,89.8,99.71,73.75,100,81.03,NA,NA,NA,28.7,28.7,0,62.45,31.23,0,NA,NA
Liberia,97,67.66,71.26,74.13,72.68,71.23,96.42,96.63,49.84,NA,NA,NA,19.94,19.94,0,60.86,50.57,40.29,83.91,NA
Crozet Islands,91,67.41,NA,79.39,71.53,63.68,63.68,NA,87.12,NA,NA,NA,57.92,57.92,NA,53.4,76.7,100,47.52,NA
French Polynesia,147,67.4,71.17,74.33,87.06,99.79,84.17,100,91.48,NA,NA,NA,58.21,54.14,0.36,61.4,30.7,0,59.41,28.45
Micronesia,9,67.34,72.25,74.99,81.56,88.13,78.3,71.53,89.78,NA,NA,NA,84.3,84.3,0,57.28,28.64,0,90.76,8.94
Guinea,194,67.29,81.12,71.51,68.79,66.07,96.48,98.3,48.16,NA,100,100,13.83,13.83,0,62.69,70.04,77.39,84.66,11.54
Uruguay,173,67.22,72.59,69.02,65.87,62.72,60.93,82.1,75.1,NA,83.37,83.37,48.7,48.7,0,63.58,80.38,97.18,86.94,16.18
Slovenia,188,67.13,71.45,76.4,75.76,75.12,98.62,71.17,30.72,NA,70.2,70.2,52.47,74.78,84.75,74.92,62.77,50.62,86.2,29.64
Curacao,244,66.96,75.39,77.31,68.82,60.33,99,50.65,80.32,NA,74.45,74.45,51.86,51.86,NA,57.15,47.16,37.16,81.39,40.61
Canada,218,66.94,44.66,78.69,78.76,78.83,89.87,86.7,91.47,NA,94.42,94.42,42.21,34.97,2.63,70.87,51.41,31.94,85.44,11.68
Bulgaria,71,66.88,68.23,84.3,68.85,53.39,74.93,74.93,60.94,NA,92.87,92.87,10.76,16.68,87.02,100,100,100,92,19.35
