"goal","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Index",71.85,72.25,72.94,73.79,74.35,74.42,74.54,74.93,74.76,74.79,74.79,69.76,69.5,72.31
"Artisanal opportunities",74.69,75.05,75.03,74.92,74.43,74.01,74.03,73.75,76.07,76.17,78.39,78.86,75.69,75.13
"Species condition (subgoal)",78.85,78.84,78.67,78.51,78.34,78.12,77.94,77.74,77.53,77.33,77.13,76.91,76.69,76.48
"Biodiversity",77.67,77.64,77.7,78.35,78.46,78.38,78.28,78.17,77.91,77.87,77.82,77.8,77.61,77.51
"Habitat (subgoal)",76.5,76.43,76.74,78.21,78.61,78.67,78.67,78.63,78.32,78.44,78.55,78.72,78.58,78.58
"Coastal protection",77.79,77.75,77.76,77.8,77.71,77.35,77.24,77.08,77.12,77.27,77.71,78.1,78.29,78.12
"Carbon storage",80.71,80.76,80.77,80.81,80.83,80.84,80.89,80.93,80.93,80.93,80.93,80.91,80.91,80.91
"Clean water",76.44,76.26,76.84,76.98,76.99,77.22,77.53,78.18,78.37,78.59,78.55,78.88,78.88,78.89
"Livelihoods & economies",78.54,80.27,84.16,86.01,84.99,85.64,84.51,83.84,84.62,84.92,82.12,80.67,83.42,82.78
"Livelihoods",78.54,80.27,84.16,86.01,84.99,85.64,84.51,83.84,84.62,84.92,82.12,80.67,83.42,82.78
"Fisheries (subgoal)",54.87,54.89,54.57,54.21,53.91,53.73,53.91,54.13,54.53,55,54.64,54.23,53.89,53.69
"Food provision",51.07,51.17,50.77,50.28,49.94,49.83,49.67,49.65,49.67,50.01,49.75,49.51,49.19,48.96
"Mariculture (subgoal)",5.79,5.71,5.72,5.76,5.86,5.98,6.13,6.23,6.35,6.49,6.7,6.92,7.01,7.04
"Iconic species (subgoal)",66.53,66.57,68.17,68.33,68.99,68.4,68.43,68.82,66.55,64.59,64.24,64.13,64.01,64.05
"Sense of place",61.2,61.25,62.7,63.26,64.17,64.71,65.19,65.76,64.85,63.86,63.83,63.73,63.66,63.65
"Lasting special places (subgoal)",55.88,55.93,57.23,58.18,59.35,61.01,61.95,62.71,63.16,63.13,63.42,63.33,63.32,63.26
"Natural products",75.08,75.09,75.09,77.28,81.35,79.95,79.6,81.2,76.54,76.38,76.43,79.38,81.83,82.75
"Tourism & recreation",68.9,72.16,75,80.65,83.76,86.41,88.86,91.64,92.41,93.02,92.59,21.19,17.18,56.48
