country,region_id,Index,AO,SPP,BD,HAB,CP,CS,CW,LE,LIV,FIS,FP,MAR,ICO,SP,LSP,NP,TR
eez_weighted_avg,0,-0.11,0.19,-0.19,-0.02,0.15,0.02,0.02,0.22,0.06,0.06,-0.04,-0.14,0.11,-0.34,0.16,0.65,0.22,-2.42
Bulgaria,71,1.29,1.29,-0.54,-0.31,-0.08,0,0,0.46,6.08,6.08,-0.05,-1.07,0,0,0,0,7.84,-1.37
Bosnia and Herzegovina,232,1.2,0.59,-0.5,-0.5,NA,NA,NA,0.16,5.66,5.66,-0.05,-0.2,0.01,-0.02,-0.01,-0,NA,2.73
Norfolk Island,3,1.1,2.83,0,0.24,0.48,0,NA,0.62,NA,NA,0.01,0.01,0,-0.4,4.22,8.84,-2.18,NA
Sudan,49,0.96,-0.18,-0.4,-0.14,0.13,0,0.01,-0.01,6.33,6.33,0.01,0.01,0,-0.95,-0.48,0,3.45,0.7
Georgia,74,0.96,0.55,-0.43,-0.29,-0.15,0,0,0.04,8.3,8.3,-0.03,-0.03,0,-0.31,-0.16,-0,-0,1.18
Pakistan,53,0.95,5.51,-0.3,-0.17,-0.04,-0.14,0.14,0.41,1.39,1.39,0.03,0.02,0,-0.63,0.87,2.37,0.05,1.46
Benin,99,0.89,1.24,-0.24,-0.22,-0.2,0,0,0.02,3.22,3.22,0.45,0.45,0,-0.51,-0.25,0,1.11,3.3
Saint Kitts and Nevis,119,0.79,-0.72,-0.36,-0.14,0.09,-0,0,0.73,NA,NA,-0.05,-0.05,NA,-0.37,2.91,6.19,7.25,-2.77
Ecuador,137,0.78,-0.33,-0.28,-0.09,0.1,0.08,0.1,0.68,2.77,2.77,0.34,2.49,3.98,-0.34,-0.17,0,1.53,NA
Bangladesh,204,0.78,3.32,-0.4,-0.27,-0.14,0.42,0.33,1.15,0.46,0.46,-0.01,-0.06,0.33,-0.56,1.54,3.64,-0.06,1
Colombia,132,0.76,-0.55,-0.3,-0.13,0.03,0.07,0.1,0.57,4.8,4.8,0.6,0.34,-0.02,-0.49,1.18,2.86,-0.84,2.04
Pitcairn,146,0.75,0.73,-0.09,-0.09,NA,-0,NA,-0.03,NA,NA,-0.11,-0.11,0,-0.74,4.03,8.79,NA,NA
United Arab Emirates,54,0.71,-0.25,-0.69,-0.29,0.12,0,0.01,-0.07,5.4,5.4,-0.19,-0.23,0.09,-0.61,-0.05,0.5,0.3,2.33
Nicaragua,131,0.7,-1.01,-0.54,-0.27,0,-0.04,-0.01,0.38,3.28,3.28,0,0.35,0.02,-0.42,-0.21,0,7.31,-2.75
Ascension,85,0.69,0.19,-0.08,0.29,0.65,NA,NA,-0.02,NA,NA,-1.28,-1.28,0,-0.3,4.29,8.87,NA,NA
Jamaica,166,0.69,5,-0.24,-0.18,-0.12,-0.03,-0.01,0.2,-0.12,-0.12,-0.05,-0.05,-0,-0.47,-0.17,0.13,2.67,-0.45
Gambia,65,0.65,-0.77,-0.11,-0.04,0.03,0,0.02,-0.12,4.18,4.18,-0.14,-0.14,0,-0.44,-0.07,0.3,-0.39,3.86
Glorioso Islands,30,0.65,NA,-0.18,0.16,0.5,-0,NA,-0,NA,NA,-0.04,-0.04,NA,0.63,5.26,9.89,-1.46,NA
North Korea,21,0.62,1.01,-0.29,-0.04,0.22,-0.07,0.05,0.44,NA,NA,0.14,1.43,1.77,-0.13,-0.06,0,2.17,NA
Saint Lucia,122,0.62,-1.77,-0.35,-0.14,0.06,-0,-0,0,2.06,2.06,-0.08,-0.12,0.02,-0.4,-0.2,-0,7.26,-0.93
Djibouti,46,0.59,-0.4,-0.35,-0.11,0.13,-0.05,-0.1,0.14,NA,NA,1.61,1.61,0,-0.56,-0.28,0,0.54,3.99
Belize,164,0.59,-0.2,-0.53,-0.21,0.12,0.04,0.02,0.25,3.95,3.95,-0.11,1.49,-0.17,-0.46,1.57,3.59,-1.81,0.84
Saint Pierre and Miquelon,219,0.57,1.04,-0.02,0.54,1.1,NA,0,-0.03,NA,NA,0.57,0.57,NA,0.03,0.02,0,1.83,NA
Cocos Islands,1,0.47,0.04,-0.2,0.09,0.37,-0,-0,0.22,NA,NA,-0.79,-0.79,0,-1.01,3.75,8.5,NA,NA
Cape Verde,56,0.47,-0.42,-0.05,0.14,0.33,NA,NA,0.5,3.32,3.32,-0.19,-0.19,0,-0.28,-0.01,0.25,-0.19,0.59
Russia,73,0.47,1.06,-0.09,0.04,0.17,0.07,0,0.24,3.22,3.22,0.16,0.01,0.6,-0.02,0.14,0.3,1.07,-1.13
Albania,82,0.47,2.55,-0.51,-0.29,-0.07,-0,-0,0.66,1.9,1.9,-0.05,1.26,2.17,-0.02,-0.14,-0.26,-11.42,4.29
