"","rgn_id","resilience.score","rgn_name","sov_id","description"
"1",8,0,NA,NA,NA
"2",9,0,NA,NA,NA
"3",51,0,NA,NA,NA
"4",60,0,"Gibraltar",180,"Territories, included in 2013, probably gapfilled"
"5",67,0,NA,NA,NA
"6",71,0,NA,NA,NA
"7",76,0,NA,NA,NA
"8",79,0,NA,NA,NA
"9",84,0,NA,NA,NA
"10",96,0,NA,NA,NA
"11",104,0,NA,NA,NA
"12",114,0,NA,NA,NA
"13",126,0,NA,NA,NA
"14",250,0,"Aruba",177,"Territories, disaggregated in 2013"
"15",244,0,"Curacao",177,"Territories, disaggregated in 2013"
"16",249,0,"Sint Eustatius",177,"Territories, disaggregated in 2013"
"17",245,0,"Bonaire",177,"Territories, disaggregated in 2013"
"18",220,0,"Sint Maarten",177,"Territories, disaggregated in 2013"
"19",248,0,"Saba",177,"Territories, disaggregated in 2013"
"20",163,0,NA,NA,NA
"21",169,0,"French Guiana",179,"Territories, included in 2013, probably gapfilled"
"22",192,0,NA,NA,NA
"23",194,0,NA,NA,NA
"24",207,0,NA,NA,NA
"25",219,0,"Saint Pierre and Miquelon",179,"Territories, included in 2013, probably gapfilled"
"26",232,0,NA,NA,NA
"27",75,0.000225471837733,NA,NA,NA
"28",184,0.000493385695079,NA,NA,NA
"29",110,0.00070349751609,NA,NA,NA
"30",17,0.000990410051788,NA,NA,NA
"31",132,0.00226571689746,NA,NA,NA
"32",183,0.002535338558495,NA,NA,NA
"33",57,0.002535338558495,"Madeira",183,"Territories, disaggregated in 2013"
"34",55,0.002535338558495,"Azores",183,"Territories, disaggregated in 2013"
"35",41,0.00268363345594,NA,NA,NA
"36",7,0.00287340065343,NA,NA,NA
"37",130,0.00808132884439,NA,NA,NA
"38",199,0.00920748934308,NA,NA,NA
"39",171,0.0111029232441,NA,NA,NA
"40",95,0.0130396370177,"Falkland Islands",180,"Territories, disaggregated in 2013"
"41",85,0.0130396370177,"Ascension",180,"Territories, disaggregated in 2013"
"42",86,0.0130396370177,"Saint Helena",180,"Territories, disaggregated in 2013"
"43",88,0.0130396370177,"Tristan da Cunha",180,"Territories, disaggregated in 2013"
"44",89,0.0130396370177,"South Georgia and the South Sandwich Islands",180,"Territories, disaggregated in 2013"
"45",141,0.0130471986228,"Faeroe Islands",175,"Territories, disaggregated in 2013"
"46",175,0.0130471986228,NA,NA,NA
"47",145,0.0130471986228,"Greenland",175,"Territories, disaggregated in 2013"
"48",161,0.015030191108,"Wallis and Futuna",179,"Territories, disaggregated in 2013"
"49",147,0.015030191108,"French Polynesia",179,"Territories, disaggregated in 2013"
"50",208,0.0254726219434,NA,NA,NA
"51",116,0.03167955469275,"Puerto Rico and Virgin Islands of the United States",163,"Territories, included in 2013, probably gapfilled"
"52",181,0.0322101429293,NA,NA,NA
"53",176,0.0536580019467,NA,NA,NA
"54",188,0.0556442261683,NA,NA,NA
"55",227,0.0579495802496,"Jersey",180,"Territories, disaggregated in 2013"
"56",228,0.0579495802496,"Guernsey",180,"Territories, disaggregated in 2013"
"57",180,0.0579495802496,NA,NA,NA
"58",101,0.0812481164416,NA,NA,NA
"59",111,0.0890177060116,"Turks and Caicos Islands",180,"Territories, disaggregated in 2013"
"60",108,0.0890177060116,"Bermuda",180,"Territories, disaggregated in 2013"
"61",118,0.0890177060116,"Anguilla",180,"Territories, disaggregated in 2013"
"62",117,0.0890177060116,"British Virgin Islands",180,"Territories, disaggregated in 2013"
"63",113,0.0890177060116,"Cayman Islands",180,"Territories, disaggregated in 2013"
"64",121,0.0890177060116,"Montserrat",180,"Territories, disaggregated in 2013"
