"","rgn_id","habitat","variable","gap_fill"
"1",1,"coral","health","adjacent and disagg2012_gap_fill"
"2",2,"coral","health","adjacent and disagg2012_gap_fill"
"3",3,"coral","health",NA
"4",4,"coral","health",NA
"5",5,"coral","health","adjacent"
"6",6,"coral","health","georegion"
"7",7,"coral","health","adjacent"
"8",8,"coral","health","adjacent"
"9",9,"coral","health","georegion"
"10",10,"coral","health","georegion"
"11",11,"coral","health","georegion"
"12",12,"coral","health","georegion and disagg2012_gap_fill"
"13",13,"coral","health","adjacent and disagg2012_gap_fill"
"14",14,"coral","health","adjacent"
"15",15,"coral","health","0"
"16",16,"coral","health","0"
"17",17,"coral","health","adjacent"
"18",18,"coral","health","adjacent"
"19",19,"coral","health","adjacent"
"20",20,"coral","health",NA
"21",21,"coral","health",NA
"22",24,"coral","health","adjacent"
"23",25,"coral","health","0"
"24",26,"coral","health","adjacent and disagg2012_gap_fill"
"25",28,"coral","health","georegion"
"26",29,"coral","health","adjacent and disagg2012_gap_fill"
"27",30,"coral","health","adjacent and disagg2012_gap_fill"
"28",31,"coral","health","adjacent"
"29",32,"coral","health","adjacent and disagg2012_gap_fill"
"30",33,"coral","health","adjacent and disagg2012_gap_fill"
"31",34,"coral","health","adjacent and disagg2012_gap_fill"
"32",35,"coral","health","adjacent and disagg2012_gap_fill"
"33",36,"coral","health","adjacent and disagg2012_gap_fill"
"34",37,"coral","health","0"
"35",38,"coral","health","georegion"
"36",39,"coral","health","georegion"
"37",40,"coral","health","georegion"
"38",41,"coral","health","georegion"
"39",42,"coral","health","georegion"
"40",43,"coral","health","0"
"41",44,"coral","health","adjacent"
"42",45,"coral","health","georegion"
"43",46,"coral","health","georegion"
"44",47,"coral","health","georegion"
"45",48,"coral","health","georegion"
"46",49,"coral","health","adjacent"
"47",50,"coral","health","adjacent"
"48",51,"coral","health","georegion"
"49",52,"coral","health","georegion"
"50",53,"coral","health",NA
"51",54,"coral","health","georegion"
"52",55,"coral","health",NA
"53",56,"coral","health",NA
"54",57,"coral","health",NA
"55",58,"coral","health",NA
"56",59,"coral","health",NA
"57",60,"coral","health",NA
"58",61,"coral","health",NA
"59",62,"coral","health",NA
"60",63,"coral","health",NA
"61",64,"coral","health",NA
"62",65,"coral","health",NA
"63",66,"coral","health",NA
"64",67,"coral","health",NA
"65",68,"coral","health",NA
"66",69,"coral","health",NA
"67",70,"coral","health",NA
"68",71,"coral","health",NA
"69",72,"coral","health",NA
"70",73,"coral","health",NA
"71",74,"coral","health",NA
"72",75,"coral","health",NA
"73",76,"coral","health",NA
"74",77,"coral","health",NA
"75",78,"coral","health",NA
"76",79,"coral","health","mean of other habitats"
"77",80,"coral","health",NA
"78",81,"coral","health",NA
"79",82,"coral","health",NA
"80",84,"coral","health",NA
"81",85,"coral","health",NA
"82",86,"coral","health",NA
"83",88,"coral","health",NA
"84",89,"coral","health",NA
"85",90,"coral","health",NA
"86",91,"coral","health",NA
"87",92,"coral","health",NA
"88",93,"coral","health",NA
"89",94,"coral","health",NA
"90",95,"coral","health",NA
"91",96,"coral","health",NA
"92",97,"coral","health",NA
"93",98,"coral","health",NA
"94",99,"coral","health",NA
"95",100,"coral","health",NA
"96",101,"coral","health",NA
"97",102,"coral","health","georegion"
"98",103,"coral","health",NA
"99",104,"coral","health",NA
"100",105,"coral","health",NA
"101",106,"coral","health",NA
"102",107,"coral","health",NA
"103",108,"coral","health","disagg2012_gap_fill"
"104",110,"coral","health","0"
"105",111,"coral","health","disagg2012_gap_fill"
"106",112,"coral","health","0"
"107",113,"coral","health","disagg2012_gap_fill"
"108",114,"coral","health","adjacent"
"109",115,"coral","health","0"
"110",116,"coral","health","0"
"111",117,"coral","health","disagg2012_gap_fill"
"112",118,"coral","health","disagg2012_gap_fill"
"113",119,"coral","health","adjacent"
"114",120,"coral","health","adjacent"
"115",121,"coral","health",NA
"116",122,"coral","health","adjacent"
"117",123,"coral","health","adjacent"
"118",124,"coral","health","0"
"119",125,"coral","health","adjacent"
"120",126,"coral","health","adjacent"
"121",127,"coral","health","adjacent"
"122",129,"coral","health","0"
"123",130,"coral","health","0"
"124",131,"coral","health","adjacent"
"125",132,"coral","health","0"
