"","rgn_id","habitat","variable","gap_fill"
"1",1,"coral","trend","disagg2012_gap_fill"
"2",2,"coral","trend","disagg2012_gap_fill"
"3",3,"coral","trend",NA
"4",4,"coral","trend",NA
"5",5,"coral","trend","0"
"6",6,"coral","trend","mean of other habitats"
"7",7,"coral","trend","0"
"8",8,"coral","trend","0"
"9",9,"coral","trend","0"
"10",10,"coral","trend","mean of other habitats"
"11",11,"coral","trend","mean of other habitats"
"12",12,"coral","trend","mean of other habitats"
"13",13,"coral","trend","disagg2012_gap_fill"
"14",14,"coral","trend","0"
"15",15,"coral","trend","0"
"16",16,"coral","trend","0"
"17",17,"coral","trend","0"
"18",18,"coral","trend","0"
"19",19,"coral","trend","0"
"20",20,"coral","trend",NA
"21",21,"coral","trend",NA
"22",24,"coral","trend","0"
"23",25,"coral","trend","0"
"24",26,"coral","trend","disagg2012_gap_fill"
"25",28,"coral","trend","mean of other habitats"
"26",29,"coral","trend","disagg2012_gap_fill"
"27",30,"coral","trend","disagg2012_gap_fill"
"28",31,"coral","trend","0"
"29",32,"coral","trend","disagg2012_gap_fill"
"30",33,"coral","trend","disagg2012_gap_fill"
"31",34,"coral","trend","disagg2012_gap_fill"
"32",35,"coral","trend","disagg2012_gap_fill"
"33",36,"coral","trend","disagg2012_gap_fill"
"34",37,"coral","trend","0"
"35",38,"coral","trend","mean of other habitats"
"36",39,"coral","trend","0"
"37",40,"coral","trend","0"
"38",41,"coral","trend","0"
"39",42,"coral","trend","0"
"40",43,"coral","trend","0"
"41",44,"coral","trend","mean of other habitats"
"42",45,"coral","trend","mean of other habitats"
"43",46,"coral","trend","mean of other habitats"
"44",47,"coral","trend","0"
"45",48,"coral","trend","mean of other habitats"
"46",49,"coral","trend","mean of other habitats"
"47",50,"coral","trend","mean of other habitats"
"48",51,"coral","trend","mean of other habitats"
"49",52,"coral","trend","0"
"50",53,"coral","trend",NA
"51",54,"coral","trend","mean of other habitats"
"52",55,"coral","trend",NA
"53",56,"coral","trend",NA
"54",57,"coral","trend",NA
"55",58,"coral","trend",NA
"56",59,"coral","trend",NA
"57",60,"coral","trend",NA
"58",61,"coral","trend",NA
"59",62,"coral","trend",NA
"60",63,"coral","trend",NA
"61",64,"coral","trend",NA
"62",65,"coral","trend",NA
"63",66,"coral","trend",NA
"64",67,"coral","trend",NA
"65",68,"coral","trend",NA
"66",69,"coral","trend",NA
"67",70,"coral","trend",NA
"68",71,"coral","trend",NA
"69",72,"coral","trend",NA
"70",73,"coral","trend",NA
"71",74,"coral","trend",NA
