"","rgn_id","year","gapfill","method"
"1",1,2010,1,"UN r2 georegion"
"2",2,2010,1,"UN r2 georegion"
"3",3,2010,1,"UN r2 georegion"
"4",4,2010,NA,NA
"5",5,2010,1,"UN r1 georegion"
"6",6,2010,1,"UN r1 georegion"
"7",7,2010,1,"UN r1 georegion"
"8",8,2010,1,"UN r1 georegion"
"9",9,2010,1,"UN r1 georegion"
"10",10,2010,1,"UN r1 georegion"
"11",11,2010,1,"UN r1 georegion"
"12",12,2010,NA,NA
"13",13,2010,1,"UN r1 georegion"
"14",14,2010,0,NA
"15",15,2010,0,NA
"16",16,2010,0,NA
"17",17,2010,1,"UN r1 georegion"
"18",18,2010,1,"UN r1 georegion"
"19",19,2010,1,"UN r1 georegion"
"20",20,2010,0,NA
"21",24,2010,0,NA
"22",25,2010,0,NA
"23",26,2010,1,"UN r2 georegion"
"24",28,2010,1,"UN r2 georegion"
"25",29,2010,1,"UN r2 georegion"
"26",30,2010,NA,NA
"27",31,2010,1,"within region: lm"
"28",32,2010,1,"UN r2 georegion"
"29",33,2010,NA,NA
"30",34,2010,NA,NA
"31",35,2010,NA,NA
"32",36,2010,NA,NA
"33",37,2010,0,NA
"34",38,2010,1,"UN r2 georegion"
"35",39,2010,1,"UN r2 georegion"
"36",40,2010,0,NA
"37",41,2010,0,NA
"38",42,2010,0,NA
"39",43,2010,0,NA
"40",44,2010,1,"UN r2 georegion"
"41",45,2010,1,"UN r2 georegion"
"42",46,2010,1,"UN r2 georegion"
"43",47,2010,1,"within region: lm"
"44",48,2010,0,NA
"45",49,2010,1,"UN r2 georegion"
"46",50,2010,0,NA
"47",51,2010,0,NA
"48",52,2010,0,NA
"49",53,2010,0,NA
"50",54,2010,0,NA
"51",55,2010,1,"UN r2 georegion"
"52",56,2010,0,NA
"53",57,2010,1,"UN r2 georegion"
"54",58,2010,1,"UN r2 georegion"
"55",59,2010,0,NA
"56",60,2010,1,"UN r2 georegion"
"57",61,2010,1,"within region: lm"
"58",62,2010,0,NA
"59",63,2010,1,"UN r2 georegion"
"60",64,2010,0,NA
"61",65,2010,0,NA
"62",66,2010,0,NA
"63",67,2010,1,"within region: lm"
"64",68,2010,0,NA
"65",69,2010,0,NA
"66",70,2010,0,NA
"67",71,2010,0,NA
"68",72,2010,0,NA
"69",73,2010,0,NA
"70",74,2010,0,NA
"71",75,2010,0,NA
"72",76,2010,0,NA
"73",77,2010,1,"within region: lm"
"74",78,2010,0,NA
"75",79,2010,0,NA
"76",80,2010,0,NA
"77",81,2010,0,NA
"78",82,2010,0,NA
"79",84,2010,0,NA
"80",85,2010,1,"UN r2 georegion"
