"","rgn_id","product","year","gapfilled","method"
"1",14,"corals",2000,0,NA
"2",15,"corals",2000,0,NA
"3",16,"corals",2000,0,NA
"4",17,"corals",2000,0,NA
"5",18,"corals",2000,0,NA
"6",20,"corals",2000,1,"prod_average"
"7",21,"corals",2000,0,NA
"8",25,"corals",2000,0,NA
"9",37,"corals",2000,0,NA
"10",39,"corals",2000,0,NA
"11",40,"corals",2000,0,NA
"12",42,"corals",2000,0,NA
"13",48,"corals",2000,0,NA
"14",49,"corals",2000,0,NA
"15",61,"corals",2000,1,"prod_average"
"16",62,"corals",2000,1,"prod_average"
"17",72,"corals",2000,1,"prod_average"
"18",76,"corals",2000,1,"prod_average"
"19",82,"corals",2000,1,"prod_average"
"20",102,"corals",2000,0,NA
"21",115,"corals",2000,0,NA
"22",131,"corals",2000,0,NA
"23",132,"corals",2000,0,NA
"24",133,"corals",2000,0,NA
"25",134,"corals",2000,1,"prod_average"
"26",137,"corals",2000,0,NA
"27",138,"corals",2000,1,"prod_average"
"28",139,"corals",2000,0,NA
"29",145,"corals",2000,1,"prod_average"
"30",162,"corals",2000,1,"prod_average"
"31",163,"corals",2000,0,NA
"32",166,"corals",2000,0,NA
"33",171,"corals",2000,0,NA
"34",179,"corals",2000,0,NA
"35",182,"corals",2000,0,NA
"36",186,"corals",2000,1,"prod_average"
"37",187,"corals",2000,1,"prod_average"
"38",206,"corals",2000,0,NA
"39",208,"corals",2000,0,NA
"40",209,"corals",2000,0,NA
"41",210,"corals",2000,0,NA
"42",214,"corals",2000,0,NA
"43",216,"corals",2000,0,NA
"44",218,"corals",2000,1,"prod_average"
"45",223,"corals",2000,1,"prod_average"
"46",224,"corals",2000,1,"prod_average"
"47",6,"corals",2001,0,NA
"48",7,"corals",2001,0,NA
"49",8,"corals",2001,0,NA
"50",9,"corals",2001,0,NA
"51",11,"corals",2001,0,NA
"52",14,"corals",2001,0,NA
"53",15,"corals",2001,0,NA
"54",16,"corals",2001,0,NA
"55",17,"corals",2001,0,NA
"56",18,"corals",2001,0,NA
"57",20,"corals",2001,1,"prod_average"
"58",21,"corals",2001,1,"prod_average"
"59",25,"corals",2001,0,NA
"60",37,"corals",2001,0,NA
"61",39,"corals",2001,0,NA
