"rgn_id","S_score"
1,4.81
2,4.81
3,4.81
4,4.81
5,4.808
6,4.37928
7,4.36825
8,4.52421
9,4.38412
10,4.40334
11,4.39018
12,4.44553
13,4.60567
14,4.35
15,3.63
16,4.98
17,4.37512
18,4.43627
19,4.38712
20,4.37
21,4.21904
24,3.24
25,4.26
26,3.89484
28,3.35677
29,3.40625
30,3.40625
31,4
32,3.40625
33,3.40625
34,3.40625
35,3.40625
36,3.40625
37,3.9
38,3.39988
39,3.43927
40,3.8
41,2.81
42,2.99
43,3.58
44,3.34676
45,3.35381
46,3.37513
47,2.62
48,3.79
49,3.35605
50,3.8
51,3.26
52,3.85
53,2.92
54,4.43
55,4.32378
56,3.46
57,4.32378
58,4.32378
59,4.51
60,4.53366
61,3.54
62,3.81
63,3.34573
64,2.64
65,3.2
66,3.14
67,3.56505
68,4.16
69,4.01
70,4.22
71,4.05
72,3.78
73,4.08
74,3.68
75,3.85416
76,4.08
77,3.30156
78,3.35
79,3.66
80,4.36
81,4.25
82,3.22
84,2.93
85,4.43548
86,4.43548
88,4.43548
89,NA
90,NA
91,NA
92,NA
93,NA
94,NA
95,4.6033
96,2.77
97,2.93232
98,2.93838
99,2.94312
100,2.77514
101,3.69
102,4.08
103,2.74088
104,3.10508
105,NA
106,3.01
107,3.77407
108,4.39814
110,3.65978
111,3.72879
112,3.50529
113,3.90263
114,2.75
115,3.5
116,3.91
117,3.8849
118,3.52894
119,3.63768
120,3.63333
121,3.48518
122,3.50869
123,3.50698
124,4.08
125,3.52238
126,3.71
127,3.50872
129,4.28
130,4.1
131,3.37
132,3.73
133,3.41
134,3.41
135,4.36
136,3.51
137,3.63887
138,3.88
139,3.18
140,3.66604
141,4.30884
143,4.54
144,4.43548
145,4.40226
146,4.44127
147,4.65595
148,4.44553
149,4.44553
150,4.44553
151,4.49912
152,4.41254
153,4.45242
154,4.41291
155,4.40698
156,4.35545
157,4.44553
158,4.44553
159,4.44553
161,4.38897
162,4.64
163,5.12
164,3.75256
166,3.59
167,3.26
168,3.28
169,3.69289
171,4.37
172,3.9
173,3.65
174,4.47
175,4.38
176,5.22
177,4.67
178,4.08
179,5.24
180,5.12
181,4.53
182,5.31
183,4.64
184,4.98
185,5.3406
186,3.75
187,4.3
188,4.17
189,3.88
190,4.09
191,3.32
192,3.41806
193,2.93858
194,2.58
195,3.05
196,2.79
197,2.95
198,2.92
199,2.71531
200,2.6
202,3.35
203,4.02
204,2.9
205,2.72
206,4.41
207,3.6
208,4.86
209,4.61
210,4.94
212,4.36569
213,NA
214,3.49
215,3.59
216,4.04
218,4.92
219,4.8663
220,4.17463
221,3.6129
222,4.45
223,4.52
224,4.04
227,4.62222
228,4.47558
231,3.71
232,4.13791
237,3.89484
244,3.56205
245,3.66604
247,4.4784
248,3.66604
249,3.66604
250,3.68386
