"layer name","layer","directory","file name","targets","notes","prep status"
"Artisanal fisheries opportunity","ao_access","ohiprep:globalprep/ao/v2021/output","sdg_14_b_1_ao.csv","AO",NA,NA
"Artisanal fisheries sustainability","ao_sust","ohiprep:globalprep/ao/v2021/output","ao_nind_scores.csv"," AO  status AO  trend",NA,NA
"Economic need for artisanal fishing","ao_need","ohiprep:globalprep/ao/v2021/output","wb_gdppcppp_rescaled.csv","AO",NA,NA
"Ocean acidification","cc_acid","ohiprep:globalprep/prs_oa/v2017/output","acid.csv","CP pressureCS pressureECO pressureHAB pressureICO pressureNP pressureSPP pressure",NA,NA
"Sea level rise","cc_slr","ohiprep:globalprep/prs_slr/v2021/output","slr.csv","CP pressureCS pressureECO pressureHAB pressureLIV pressureLSP pressureMAR pressureNP pressureTR pressure",NA,NA
"Sea surface temperature","cc_sst","ohiprep:globalprep/prs_sst/v2021/output","sst_updated.csv","CP pressureCS pressureECO pressureHAB pressureICO pressureNP pressureSPP pressure",NA,NA
"UV radiation","cc_uv","ohiprep:globalprep/prs_uv/v2021/output","uv.csv","CP pressureHAB pressureNP pressureSPP pressure",NA,NA
"Chemical pollution trend","cw_chemical_trend","ohiprep:globalprep/prs_chem/v2016/output","cw_chemical_trend_updated.csv","CW",NA,NA
"Nutrient pollution trend","cw_nutrient_trend","ohiprep:globalprep/prs_land-based_nutrient/v2021/output","cw_fertilizers_trend_updated.csv","CW",NA,NA
"Pathogen pollution trend","cw_pathogen_trend","ohiprep:globalprep/prs_cw_pathogen/v2021/output","po_pathogen_popdensity25mi_trend.csv","CW",NA,NA
"Plastic trash trends","cw_trash_trend","ohiprep:globalprep/cw_trend_trash/v2016/output","cw_trash_trend_updated.csv","CW",NA,NA
"Economic status scores","eco_status","ohiprep:globalprep/le/v2018/output","eco_status.csv","ECO",NA,NA
"Economic trend scores","eco_trend","ohiprep:globalprep/le/v2018/output","eco_trend.csv","ECO",NA,NA
"Coastal protection weights","element_wts_cp_km2_x_protection","ohiprep:globalprep/weighting_files/v2017","cp_habitat_extent_rank.csv"," weighting",NA,NA
"Carbon storage weights","element_wts_cs_km2_x_storage","ohiprep:globalprep/weighting_files/v2017","cs_habitat_extent_rank.csv"," weighting",NA,NA
