layer,dir,fn,ingest,name_data_fld,name,units,description
ao_access,ohiprep:globalprep/res_mora_ao/v2013/data,r_mora_s4_2013a_updated.csv,TRUE,value,Artisanal fisheries opportunity,scaled 0-1,The opportunity for artisanal and recreational fishing based on the quality of management of the small-scale fishing sector
ao_need,ohiprep:globalprep/ao/v2020/output,wb_gdppcppp_rescaled.csv,TRUE,value,Economic need for artisanal fishing,scaled 0-1,Inverse of per capita purchasing power parity (PPP) adjusted gross domestic product (GDP): GDPpcPPP as a proxy for subsistence fishing need
cc_acid,ohiprep:globalprep/prs_oa/v2017/output,acid.csv,TRUE,pressure_score,Ocean acidification,scaled 0-1,"Pressure due to increasing ocean acidification, scaled using biological thresholds"
cc_slr,ohiprep:globalprep/prs_slr/v2019/output,slr.csv,TRUE,pressure_score,Sea level rise,scaled 0-1,Pressure due to rising mean sea level
cc_sst,ohiprep:globalprep/prs_sst/v2018/output,sst_updated.csv,TRUE,pressure_score,Sea surface temperature,scaled 0-1,Presure due to increasing extreme sea surface temperature events
cc_uv,ohiprep:globalprep/prs_uv/v2020/output,uv.csv,TRUE,pressure_score,UV radiation,scaled 0-1,Pressure due to increasing frequency of UV anomolies
cw_chemical_trend,ohiprep:globalprep/prs_chem/v2016/output,cw_chemical_trend_updated.csv,TRUE,trend,Chemical pollution trend,trend,"Trends in chemical pollution, based on commercial shipping traffic, ports and harbors, land-based pesticide use (organic pollution), and urban runoff (inorganic pollution) within EEZ "
cw_nutrient_trend,ohiprep:globalprep/prs_land-based_nutrient/v2016/output,cw_fertilizers_trend_updated.csv,TRUE,trend,Nutrient pollution trend,trend,"Trends in nutrient pollution, using fertilizer consumption as a proxy for nutrient pollution"
cw_pathogen_trend,ohiprep:globalprep/prs_cw_pathogen/v2019/output,po_pathogen_popdensity25mi_trend.csv,TRUE,trend,Pathogen pollution trend,trend,Trends in percent of population without access to improved sanitation facilities as a proxy for pathogen pollution
cw_trash_trend,ohiprep:globalprep/cw_trend_trash/v2016/output,cw_trash_trend_updated.csv,TRUE,trend,Plastic trash trends,trend,Trends in trash estimated using improperly disposed of plastics
eco_status,ohiprep:globalprep/le/v2018/output,eco_status.csv,TRUE,status,Economic status scores,status 0-100,Calculated using corrected revenue data for several marine sectors  (data not updated since 2013)
eco_trend,ohiprep:globalprep/le/v2018/output,eco_trend.csv,TRUE,trend,Economic trend scores,trend -1 to 1,Calculated using change in revenue for several marine sectors  (data not updated since 2013)
element_wts_cp_km2_x_protection,ohiprep:globalprep/weighting_files/v2017,cp_habitat_extent_rank.csv,TRUE,extent_rank,Coastal protection weights,extent*rank_protection,"Habitat extent multiplied by habitat protection rank for: coral, mangrove (offshore and inland), saltmarsh, sea ice (shoreline), and seagrass (empty dataframe filled by functions.R in ohi-global)"
element_wts_cs_km2_x_storage,ohiprep:globalprep/weighting_files/v2017,cs_habitat_extent_rank.csv,TRUE,extent_rank,Carbon storage weights,extent*carbon_storage,"Habitat extent multiplied by carbon storage capacity for: mangrove, saltmarsh, and seagrass  (empty dataframe filled by functions.R in ohi-global)"
element_wts_hab_pres_abs,ohiprep:globalprep/weighting_files/v2017,hab_habitat_presence.csv,TRUE,boolean,Habitat presence/absence,0 or 1,List of habitats in each region (empty dataframe filled by functions.R in ohi-global)
fis_b_bmsy,ohiprep:globalprep/fis/v2020/output,fis_bbmsy.csv,TRUE,bbmsy,B/Bmsy estimates,B/Bmsy,The ratio of fish population abundance compared to the abundance required to deliver maximum sustainable yield (RAM and catch-MSY data)
fis_meancatch,ohiprep:globalprep/fis/v2020/output,mean_catch_minus_feed.csv,TRUE,mean_catch,Fishery catch data,tonnes,Mean commercial catch for each OHI region (averaged across years) 
fp_art_hb,ohiprep:globalprep/prs_fish/v2020/output,art_hb.csv,TRUE,pressure_score,High bycatch due to artisanal fishing,scaled 0-1,Pressure due to artisanal high bycatch fishing identified by discard tonnes and standardized by NPP
fp_art_lb,ohiprep:globalprep/prs_fish/v2020/output,art_lb.csv,TRUE,pressure_score,Low bycatch due to artisanal fishing,scaled 0-1,Pressure due to artisanal low bycatch fishing identified by reported and IUU tonnes and standardized by NPP
fp_com_hb,ohiprep:globalprep/prs_fish/v2020/output,comm_hb.csv,TRUE,pressure_score,High bycatch due to commercial fishing,scaled 0-1,Pressure due to industrial high bycatch fishing identified by discard tonnes and standardized by NPP
fp_com_lb,ohiprep:globalprep/prs_fish/v2020/output,comm_lb.csv,TRUE,pressure_score,Low bycatch due to commercial fishing,scaled 0-1,Pressure due to industrial low bycatch fishing identified by reported and IUU tonnes and standardized by NPP
fp_habitat,ohiprep:globalprep/res_cbd_habitat/v2014/data,r_habitat_2013a.csv,TRUE,resilience score,Management of habitat to protect fisheries biodiversity ,scaled 0-1,Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: habitat related questions
fp_fish_management,ohiprep:globalprep/res_fmi/v2019/output,fmi_res.csv,TRUE,value,Fisheries management index,scaled 0-1,Country scale regulations and management of fishing
fp_mora_artisanal,ohiprep:globalprep/res_mora_ao/v2013/data,r_mora_s4_2013a.csv,TRUE,value,Artisanal fisheries management effectiveness,scaled 0-1,Quality of management of small-scale fishing for artisanal and recreational purposes
