layer,dataprep_url
po_nutrients_3nm,globalprep/prs_land-based_nutrient/v2021/STEP6_prep_layers/STEP1_zonal_extract.html
po_pathogens,globalprep/prs_cw_pathogen/v2021/cw_sanitation_data_prep.html
po_trash,globalprep/cw_pressure_trash/v2015
po_water,globalprep/res_cbd_habitat
res_spi,globalprep/prs_res_spi/v2021/spi_dataprep.html
rgn_area,globalprep/spatial
rgn_area_inland1km,globalprep/spatial
rgn_area_offshore3nm,globalprep/spatial
rgn_global,globalprep/spatial
rgn_labels,globalprep/spatial
sp_alien,globalprep/prs_alien
sp_alien_species,globalprep/res_cbd_habitat
sp_genetic,globalprep/mar/v2021/mar_dataprep.html
species_diversity_3nm,globalprep/spp/v2021/spp_data_prep.html
species_diversity_eez,globalprep/spp/v2021/spp_data_prep.html
spp_status,globalprep/spp/v2021/spp_data_prep.html
spp_trend,globalprep/spp/v2021/spp_data_prep.html
ss_spi,globalprep/prs_res_spi/v2021/spi_dataprep.html
ss_wgi,globalprep/prs_res_wgi/v202/WGI_dataprep.html
tr_jobs_pct_tourism,globalprep/tr/v2020/tr_data_prep.html
tr_sustainability,globalprep/tr/v2020/tr_data_prep.html
uninhabited,globalprep/supplementary_information/v2018
wgi_all,globalprep/prs_res_wgi/v2021/WGI_dataprep.html
