"region_name","Index","trend","AO","BD","CP","CS","CW","LE","FP","SP","NP","TR"
"Albania",61.88,0.33,75.53,86.73,NA,NA,57.28,100,43.73,66.63,3.17,61.95
"Algeria",51.17,-0.18,75.44,79.91,NA,NA,40.47,100,61.05,34.19,0,18.32
"American Samoa",77.3,0.44,85.86,87.96,95.63,94.17,56.59,85.98,42.16,65.56,NA,81.81
"Amsterdam Island and Saint Paul Island",75.69,-1.73,89.77,89.4,NA,NA,90.84,NA,32.9,75.53,NA,NA
"Andaman and Nicobar",67.75,0.24,65.67,87.91,96.73,89.66,62.01,78.1,33.81,39.4,NA,56.48
"Angola",59.32,1.06,52.83,79.06,87.06,84.65,52.73,73.81,47.59,42.96,67.12,5.37
"Anguilla",66.71,-0.19,84.44,86.42,60.45,72.52,64.25,61.83,19.38,51.12,NA,100
"Antigua and Barbuda",79.16,0.2,81.33,87.7,81.46,99.94,62.06,94,29.75,76.25,NA,100
"Argentina",68.77,-0.33,81.89,89.6,NA,NA,80.09,91.64,52.83,82.8,37.36,33.93
"Aruba",83.04,-0.07,92.57,93.55,99.99,99.95,57.66,100,56.39,47.29,NA,100
"Ascension",70.84,0.58,97.04,88.46,NA,NA,87.93,87.73,48.31,44.89,NA,41.52
"Australia",79.74,0.07,98.21,93.39,89.4,92.92,81.33,95.62,40.2,92.48,53.63,60.19
"Azores",76.62,0.56,85.49,83.79,NA,NA,68.31,85.89,55.39,65.55,NA,91.9
"Bahamas",78.5,-0.01,90.26,87.76,55.45,99.71,61.37,83.11,63.62,82.96,60.77,100
"Bahrain",58.76,0.31,94.33,82.93,84.5,85.78,63.45,82.41,34.56,24.08,0.03,35.51
"Bangladesh",66.36,1.3,59.86,88.83,100,99.77,23.67,99.98,22.83,62.52,95.01,11.14
"Barbados",58.34,0.05,71.06,82.58,69.42,26.97,62.26,71.71,58.22,40.65,0.5,100
"Bassas da India",66.14,-0.76,53.07,90.72,92.79,NA,92.21,NA,35.08,32.96,NA,NA
"Belgium",70.9,-0.22,96.44,92.12,100,100,31.18,81.6,61.37,83.92,33.92,28.42
"Belize",63.21,-0.02,72.65,75.8,23.57,38.85,66.15,100,40.42,84.32,31.46,98.86
"Benin",55.23,0.02,44.29,80.74,99.92,99.8,16.67,66.9,44.22,34.29,NA,10.23
"Bermuda",72.5,-0.56,99.22,81.86,53.59,98.49,59.9,59.41,70.03,36.42,NA,93.54
"Bonaire",71.56,-1.54,78.95,93.38,99.59,97.16,68.19,72.97,36.1,69.22,0,100
"Bosnia and Herzegovina",50.73,0.18,67.67,59.86,NA,NA,40.98,75.38,55.5,32.79,NA,22.93
"Bouvet Island",75.14,0.61,84.83,94.45,NA,NA,98.91,NA,NA,22.35,NA,NA
"Brazil",65.7,-0.14,69.96,89.22,97.48,97.69,58.96,80.1,45.27,83.82,4.5,30
"British Indian Ocean Territory",73.15,-0.95,59.65,94.48,100,NA,93.35,77.11,34.12,81.39,NA,45.12
"British Virgin Islands",68.72,0.08,84.63,86.67,56.64,72.92,58.56,75.06,39.68,44.32,NA,100
"Brunei",61.86,-0.32,100,90.04,97.36,86.88,57.09,78.55,32.51,42.41,0,33.72
"Bulgaria",60.86,0.14,78.4,92.21,NA,NA,41.91,71.7,51.85,81.2,40.73,28.85
"Cambodia",60.42,0.12,66.57,88.47,78.9,75.4,52.24,74.55,14.91,52.93,0.4,99.81
"Cameroon",63.68,-0.22,45.08,79.78,92.39,92.1,34.49,75.6,69.89,70.11,NA,13.68
"Canada",72.05,-0.31,97.53,90.56,97.34,54.65,93.82,90.52,53.14,48.66,39.39,54.89
"Canary Islands",67.56,-0.17,85.47,73.85,54.01,54.06,62.12,60.59,44.21,81.88,NA,91.89
"Cape Verde",68.89,0.1,51.58,89.85,NA,NA,59.85,100,45.59,35.35,NA,100
"Cayman Islands",67.77,-1.17,99.62,86.44,62.85,91.27,61.67,100,26.06,51.43,0,98.38
"Chile",74.05,0.12,87.75,90,NA,NA,93.97,100,75.9,80.54,26.26,37.97
"China",60.44,-0.02,81.91,81.52,69.65,52.68,29.76,96.52,76.82,35.76,34.65,45.09
"Christmas Island",82.76,-0.25,96.97,88.96,93.12,92.76,81.51,96.35,48.39,56.98,NA,89.84
