"goal","dimension","region_id","2012","2013","2014","2015","2016","2017","2018"
"ECO","trend",1,0.03,0.05,0.05,0.05,0.05,0.05,0.05
"ECO","trend",2,0.03,0.05,0.05,0.05,0.05,0.05,0.05
"ECO","trend",3,0.03,0.05,0.05,0.05,0.05,0.05,0.05
"ECO","trend",4,NA,NA,NA,NA,NA,NA,NA
"ECO","trend",5,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
"ECO","trend",6,0.51,0.42,0.42,0.42,0.42,0.42,0.42
"ECO","trend",7,-0.02,0.03,0.03,0.03,0.03,0.03,0.03
"ECO","trend",8,0,0,0,0,0,0,0
"ECO","trend",9,-0.66,-0.42,-0.42,-0.42,-0.42,-0.42,-0.42
"ECO","trend",10,-0.42,0,0,0,0,0,0
"ECO","trend",11,-0.99,-0.98,-0.98,-0.98,-0.98,-0.98,-0.98
"ECO","trend",12,-0.42,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23
"ECO","trend",13,-0.46,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
"ECO","trend",14,0,0,0,0,0,0,0
"ECO","trend",15,-0.11,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
"ECO","trend",16,0.03,0.06,0.06,0.06,0.06,0.06,0.06
"ECO","trend",17,-0.05,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
"ECO","trend",18,-0.02,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04
"ECO","trend",19,0,0.02,0.02,0.02,0.02,0.02,0.02
"ECO","trend",20,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ECO","trend",21,0,0,0,0,0,0,0
"ECO","trend",24,-0.04,0.19,0.19,0.19,0.19,0.19,0.19
"ECO","trend",25,-0.04,0.04,0.04,0.04,0.04,0.04,0.04
"ECO","trend",26,-0.04,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
"ECO","trend",28,-0.02,0,0,0,0,0,0
"ECO","trend",29,0.01,0,0,0,0,0,0
"ECO","trend",30,0.04,0.06,0.06,0.06,0.06,0.06,0.06
"ECO","trend",31,-0.46,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28
"ECO","trend",32,0.04,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
"ECO","trend",33,0.04,0.06,0.06,0.06,0.06,0.06,0.06
"ECO","trend",34,NA,NA,NA,NA,NA,NA,NA
"ECO","trend",35,NA,NA,NA,NA,NA,NA,NA
"ECO","trend",36,NA,NA,NA,NA,NA,NA,NA
"ECO","trend",37,-0.12,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13
"ECO","trend",38,-0.03,0,0,0,0,0,0
"ECO","trend",39,-0.63,-0.47,-0.47,-0.47,-0.47,-0.47,-0.47
"ECO","trend",40,-0.06,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
"ECO","trend",41,0.05,0.05,0.05,0.05,0.05,0.05,0.05
"ECO","trend",42,0.02,0.05,0.05,0.05,0.05,0.05,0.05
"ECO","trend",43,0.1,0.14,0.14,0.14,0.14,0.14,0.14
"ECO","trend",44,0,0,0,0,0,0,0
"ECO","trend",45,-0.14,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
"ECO","trend",46,0,0,0,0,0,0,0
"ECO","trend",47,-0.08,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
"ECO","trend",48,0.02,0.03,0.03,0.03,0.03,0.03,0.03
"ECO","trend",49,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"ECO","trend",50,-0.05,0.06,0.06,0.06,0.06,0.06,0.06
"ECO","trend",51,-0.05,0.02,0.02,0.02,0.02,0.02,0.02
"ECO","trend",52,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
"ECO","trend",53,0.02,0.05,0.05,0.05,0.05,0.05,0.05
"ECO","trend",54,-0.08,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
"ECO","trend",55,0,0,0,0,0,0,0
"ECO","trend",56,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
"ECO","trend",57,0,0.05,0.05,0.05,0.05,0.05,0.05
"ECO","trend",58,0,0,0,0,0,0,0
"ECO","trend",59,0.02,0.04,0.04,0.04,0.04,0.04,0.04
"ECO","trend",60,0,0,0,0,0,0,0
"ECO","trend",61,-0.01,0.06,0.06,0.06,0.06,0.06,0.06
"ECO","trend",62,-0.01,0.05,0.05,0.05,0.05,0.05,0.05
"ECO","trend",63,-0.01,0.03,0.03,0.03,0.03,0.03,0.03
"ECO","trend",64,-0.04,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
"ECO","trend",65,0.09,0.11,0.11,0.11,0.11,0.11,0.11
"ECO","trend",66,-0.47,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06
"ECO","trend",67,-0.04,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
"ECO","trend",68,-0.02,0.03,0.03,0.03,0.03,0.03,0.03
"ECO","trend",69,-0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ECO","trend",70,0,0.04,0.04,0.04,0.04,0.04,0.04
"ECO","trend",71,0.07,0.11,0.11,0.11,0.11,0.11,0.11
"ECO","trend",72,0.02,0.03,0.03,0.03,0.03,0.03,0.03
"ECO","trend",73,-0.04,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
"ECO","trend",74,-0.04,0.02,0.02,0.02,0.02,0.02,0.02
"ECO","trend",75,0.02,0.05,0.05,0.05,0.05,0.05,0.05
"ECO","trend",76,0.05,0.08,0.08,0.08,0.08,0.08,0.08
"ECO","trend",77,0.1,0.15,0.15,0.15,0.15,0.15,0.15
"ECO","trend",78,-0.03,0.01,0.01,0.01,0.01,0.01,0.01
"ECO","trend",79,0.02,0.03,0.03,0.03,0.03,0.03,0.03
"ECO","trend",80,0,0.02,0.02,0.02,0.02,0.02,0.02
"ECO","trend",81,-0.05,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04
"ECO","trend",82,0.08,0.11,0.11,0.11,0.11,0.11,0.11
"ECO","trend",84,-0.01,0.05,0.05,0.05,0.05,0.05,0.05
"ECO","trend",85,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ECO","trend",86,0,0,0,0,0,0,0
"ECO","trend",88,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ECO","trend",89,NA,NA,NA,NA,NA,NA,NA
"ECO","trend",90,NA,NA,NA,NA,NA,NA,NA
"ECO","trend",91,NA,NA,NA,NA,NA,NA,NA
"ECO","trend",92,NA,NA,NA,NA,NA,NA,NA
"ECO","trend",93,NA,NA,NA,NA,NA,NA,NA
"ECO","trend",94,NA,NA,NA,NA,NA,NA,NA
"ECO","trend",95,0,0,0,0,0,0,0
"ECO","trend",96,-0.01,0,0,0,0,0,0
"ECO","trend",97,0.11,0.07,0.07,0.07,0.07,0.07,0.07
"ECO","trend",98,0.01,0.03,0.03,0.03,0.03,0.03,0.03
"ECO","trend",99,0,0.02,0.02,0.02,0.02,0.02,0.02
"ECO","trend",100,-0.1,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06
"ECO","trend",101,-0.89,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61
"ECO","trend",102,-0.89,0.04,0.04,0.04,0.04,0.04,0.04
"ECO","trend",103,0,0,0,0,0,0,0
"ECO","trend",104,-0.59,-0.36,-0.36,-0.36,-0.36,-0.36,-0.36
"ECO","trend",105,NA,NA,NA,NA,NA,NA,NA
"ECO","trend",106,-0.1,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
"ECO","trend",107,NA,NA,NA,NA,NA,NA,NA
"ECO","trend",108,-0.02,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06
"ECO","trend",110,0.03,0.06,0.06,0.06,0.06,0.06,0.06
"ECO","trend",111,0,0,0,0,0,0,0
"ECO","trend",112,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
"ECO","trend",113,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
"ECO","trend",114,0,0,0,0,0,0,0
"ECO","trend",115,-0.03,0.02,0.02,0.02,0.02,0.02,0.02
"ECO","trend",116,-0.02,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
"ECO","trend",117,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
"ECO","trend",118,0,0,0,0,0,0,0
"ECO","trend",119,-0.13,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
"ECO","trend",120,0.12,0.17,0.17,0.17,0.17,0.17,0.17
"ECO","trend",121,-0.03,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
"ECO","trend",122,-0.13,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
"ECO","trend",123,-0.01,0.04,0.04,0.04,0.04,0.04,0.04
"ECO","trend",124,-0.16,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17
"ECO","trend",125,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
"ECO","trend",126,-0.1,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06
"ECO","trend",127,-0.53,-0.37,-0.37,-0.37,-0.37,-0.37,-0.37
"ECO","trend",129,0,0.02,0.02,0.02,0.02,0.02,0.02
"ECO","trend",130,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
"ECO","trend",131,0.02,0.04,0.04,0.04,0.04,0.04,0.04
"ECO","trend",132,-0.16,0.04,0.04,0.04,0.04,0.04,0.04
"ECO","trend",133,0.04,0.08,0.08,0.08,0.08,0.08,0.08
"ECO","trend",134,0,0.01,0.01,0.01,0.01,0.01,0.01
"ECO","trend",135,0,0.04,0.04,0.04,0.04,0.04,0.04
"ECO","trend",136,0,0.06,0.06,0.06,0.06,0.06,0.06
"ECO","trend",137,-0.16,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
"ECO","trend",138,-0.91,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63
"ECO","trend",139,-0.16,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06
"ECO","trend",140,-0.45,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43
"ECO","trend",141,0.06,0.09,0.09,0.09,0.09,0.09,0.09
"ECO","trend",143,-0.84,-0.79,-0.79,-0.79,-0.79,-0.79,-0.79
"ECO","trend",144,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ECO","trend",145,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
"ECO","trend",146,-0.07,0.01,0.01,0.01,0.01,0.01,0.01
"ECO","trend",147,-0.38,0.04,0.04,0.04,0.04,0.04,0.04
"ECO","trend",148,-0.42,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23
"ECO","trend",149,NA,NA,NA,NA,NA,NA,NA
"ECO","trend",150,NA,NA,NA,NA,NA,NA,NA
"ECO","trend",151,-0.07,0.01,0.01,0.01,0.01,0.01,0.01
"ECO","trend",152,0,0,0,0,0,0,0
"ECO","trend",153,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
"ECO","trend",154,0,0,0,0,0,0,0
"ECO","trend",155,-0.03,0.01,0.01,0.01,0.01,0.01,0.01
"ECO","trend",156,-0.07,0.01,0.01,0.01,0.01,0.01,0.01
"ECO","trend",157,-0.42,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23
"ECO","trend",158,NA,NA,NA,NA,NA,NA,NA
"ECO","trend",159,NA,NA,NA,NA,NA,NA,NA
"ECO","trend",161,-0.07,0.01,0.01,0.01,0.01,0.01,0.01
"ECO","trend",162,0,0.02,0.02,0.02,0.02,0.02,0.02
"ECO","trend",163,0,0.07,0.07,0.07,0.07,0.07,0.07
"ECO","trend",164,0,0.06,0.06,0.06,0.06,0.06,0.06
"ECO","trend",166,-0.06,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
"ECO","trend",167,-0.22,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11
"ECO","trend",168,-0.17,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
"ECO","trend",169,0,0,0,0,0,0,0
"ECO","trend",171,-0.16,0.01,0.01,0.01,0.01,0.01,0.01
"ECO","trend",172,0.01,0.04,0.04,0.04,0.04,0.04,0.04
"ECO","trend",173,0.02,0.05,0.05,0.05,0.05,0.05,0.05
"ECO","trend",174,0.03,0.04,0.04,0.04,0.04,0.04,0.04
"ECO","trend",175,0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
"ECO","trend",176,0.02,0.04,0.04,0.04,0.04,0.04,0.04
"ECO","trend",177,0.02,0,0,0,0,0,0
"ECO","trend",178,0.02,0.04,0.04,0.04,0.04,0.04,0.04
"ECO","trend",179,0.02,0.07,0.07,0.07,0.07,0.07,0.07
"ECO","trend",180,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ECO","trend",181,0.01,0.04,0.04,0.04,0.04,0.04,0.04
"ECO","trend",182,0,0.11,0.11,0.11,0.11,0.11,0.11
"ECO","trend",183,0,0.09,0.09,0.09,0.09,0.09,0.09
"ECO","trend",184,0,0.05,0.05,0.05,0.05,0.05,0.05
"ECO","trend",185,0.02,0.04,0.04,0.04,0.04,0.04,0.04
"ECO","trend",186,0,0,0,0,0,0,0
"ECO","trend",187,0,0.1,0.1,0.1,0.1,0.1,0.1
"ECO","trend",188,0.07,0.1,0.1,0.1,0.1,0.1,0.1
"ECO","trend",189,0,0.01,0.01,0.01,0.01,0.01,0.01
"ECO","trend",190,-0.61,-0.36,-0.36,-0.36,-0.36,-0.36,-0.36
"ECO","trend",191,-0.22,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11
"ECO","trend",192,-0.06,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04
"ECO","trend",193,-0.08,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
"ECO","trend",194,-0.04,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
"ECO","trend",195,-0.47,0.03,0.03,0.03,0.03,0.03,0.03
"ECO","trend",196,-0.58,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35
"ECO","trend",197,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"ECO","trend",198,-0.18,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11
"ECO","trend",199,0,0,0,0,0,0,0
"ECO","trend",200,-0.4,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24
"ECO","trend",202,0.1,0.14,0.14,0.14,0.14,0.14,0.14
