"goal","dimension","region_id","2012","2013","2014","2015","2016","2017","2018"
"ECO","status",0,81.78,87.65,87.65,87.65,87.65,87.65,87.65
"ECO","status",1,99.43,100,100,100,100,100,100
"ECO","status",2,99.43,100,100,100,100,100,100
"ECO","status",3,99.43,100,100,100,100,100,100
"ECO","status",4,NA,NA,NA,NA,NA,NA,NA
"ECO","status",5,83.07,85.22,85.22,85.22,85.22,85.22,85.22
"ECO","status",6,100,100,100,100,100,100,100
"ECO","status",7,100,100,100,100,100,100,100
"ECO","status",8,87.8,100,100,100,100,100,100
"ECO","status",9,54.92,52.79,52.79,52.79,52.79,52.79,52.79
"ECO","status",10,64.16,69.53,69.53,69.53,69.53,69.53,69.53
"ECO","status",11,54.37,57.15,57.15,57.15,57.15,57.15,57.15
"ECO","status",12,64.16,69.53,69.53,69.53,69.53,69.53,69.53
"ECO","status",13,26.15,46.14,46.14,46.14,46.14,46.14,46.14
"ECO","status",14,86.19,93.7,93.7,93.7,93.7,93.7,93.7
"ECO","status",15,42.21,46.94,46.94,46.94,46.94,46.94,46.94
"ECO","status",16,100,100,100,100,100,100,100
"ECO","status",17,96.38,100,100,100,100,100,100
"ECO","status",18,68.07,78.79,78.79,78.79,78.79,78.79,78.79
"ECO","status",19,28.13,100,100,100,100,100,100
"ECO","status",20,100,100,100,100,100,100,100
"ECO","status",21,55.15,49.52,49.52,49.52,49.52,49.52,49.52
"ECO","status",24,100,100,100,100,100,100,100
"ECO","status",25,100,100,100,100,100,100,100
"ECO","status",26,76.08,89.58,89.58,89.58,89.58,89.58,89.58
"ECO","status",28,89.39,93.41,93.41,93.41,93.41,93.41,93.41
"ECO","status",29,100,100,100,100,100,100,100
"ECO","status",30,93.35,93.41,93.41,93.41,93.41,93.41,93.41
"ECO","status",31,70.62,72.44,72.44,72.44,72.44,72.44,72.44
"ECO","status",32,68.41,80.04,80.04,80.04,80.04,80.04,80.04
"ECO","status",33,93.35,93.41,93.41,93.41,93.41,93.41,93.41
"ECO","status",34,NA,NA,NA,NA,NA,NA,NA
"ECO","status",35,NA,NA,NA,NA,NA,NA,NA
"ECO","status",36,NA,NA,NA,NA,NA,NA,NA
"ECO","status",37,66.04,69.44,69.44,69.44,69.44,69.44,69.44
"ECO","status",38,89.47,93.96,93.96,93.96,93.96,93.96,93.96
"ECO","status",39,44.09,47.05,47.05,47.05,47.05,47.05,47.05
"ECO","status",40,61.66,86.52,86.52,86.52,86.52,86.52,86.52
"ECO","status",41,100,100,100,100,100,100,100
"ECO","status",42,100,100,100,100,100,100,100
"ECO","status",43,100,100,100,100,100,100,100
"ECO","status",44,93.35,100,100,100,100,100,100
"ECO","status",45,93.35,7.09,7.09,7.09,7.09,7.09,7.09
"ECO","status",46,100,100,100,100,100,100,100
"ECO","status",47,86.01,100,100,100,100,100,100
"ECO","status",48,100,100,100,100,100,100,100
"ECO","status",49,100,100,100,100,100,100,100
"ECO","status",50,100,100,100,100,100,100,100
"ECO","status",51,100,100,100,100,100,100,100
"ECO","status",52,67.92,74.95,74.95,74.95,74.95,74.95,74.95
"ECO","status",53,100,100,100,100,100,100,100
"ECO","status",54,100,100,100,100,100,100,100
"ECO","status",55,100,100,100,100,100,100,100
"ECO","status",56,94.26,100,100,100,100,100,100
"ECO","status",57,90.03,89.77,89.77,89.77,89.77,89.77,89.77
"ECO","status",58,46.37,46.37,46.37,46.37,46.37,46.37,46.37
"ECO","status",59,100,100,100,100,100,100,100
"ECO","status",60,47.21,47.21,47.21,47.21,47.21,47.21,47.21
"ECO","status",61,100,100,100,100,100,100,100
"ECO","status",62,100,100,100,100,100,100,100
"ECO","status",63,98.81,100,100,100,100,100,100
"ECO","status",64,92.05,92.05,92.05,92.05,92.05,92.05,92.05
"ECO","status",65,100,100,100,100,100,100,100
"ECO","status",66,100,100,100,100,100,100,100
"ECO","status",67,91.01,100,100,100,100,100,100
"ECO","status",68,94.54,100,100,100,100,100,100
"ECO","status",69,100,100,100,100,100,100,100
"ECO","status",70,73.22,100,100,100,100,100,100
"ECO","status",71,100,100,100,100,100,100,100
"ECO","status",72,100,100,100,100,100,100,100
"ECO","status",73,100,100,100,100,100,100,100
"ECO","status",74,63.15,100,100,100,100,100,100
"ECO","status",75,100,100,100,100,100,100,100
"ECO","status",76,100,100,100,100,100,100,100
"ECO","status",77,100,100,100,100,100,100,100
"ECO","status",78,100,100,100,100,100,100,100
"ECO","status",79,100,100,100,100,100,100,100
"ECO","status",80,67.78,62.6,62.6,62.6,62.6,62.6,62.6
"ECO","status",81,65.3,65.55,65.55,65.55,65.55,65.55,65.55
"ECO","status",82,100,100,100,100,100,100,100
"ECO","status",84,100,100,100,100,100,100,100
