layer,targets,field_name,field_info
ao_access,AO,description,"The opportunity for artisanal and recreational fishing based on the quality of management of the small- scale fishing sector (Mora et al 2009).

"
ao_access,AO,source1,"Mora, C., Myers, R.A., Coll, M., Libralato, S., Pitcher, T.J., Sumaila, R.U., Worm, B. (2009). **Management Effectiveness of the World's Marine Fisheries**. _PLoS Biol_, 7(6), e1000131. doi:10.1371/journal.pbio.1000131"
ao_access,AO,source_url1,http://dx.doi.org/10.1371/journal.pbio.1000131
ao_access,AO,data_prep_url,
ao_need,AO,description,"The per capita purchasing power parity (PPP) adjusted gross domestic product (GDP): GDPpcPPP.

"
ao_need,AO,source1,"The World Bank GDP per capita, PPP (current international $)"
ao_need,AO,source_url1,http://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD
ao_need,AO,data_prep_url,
cw_chemical_trend,CW,description,"Modeled chemical pollution from commercial shipping traffic, ports and harbors, and pesticide use (Halpern et al. 2015).

"
cw_chemical_trend,CW,source1,FAOâs statistical database FAOSTAT
cw_chemical_trend,CW,source_url1,http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E.
cw_chemical_trend,CW,source2," Halpern, B. S. et al. (2015). **Spatial and temporal changes in cumulative human impacts on the world's ocean**. _Nature
Communications_ 6(7615). doi: 10.1038/ncomms8615"
cw_chemical_trend,CW,source_url2,http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html
cw_chemical_trend,CW,data_prep_url,
cw_nutrient_trend,CW,description,"Modeled data based on fertilizer consumption from the Food and Agricultural Organization (FAO; Halpern et al. 2015). 

"
cw_nutrient_trend,CW,source1,FAOâs statistical database FAOSTAT
cw_nutrient_trend,CW,source_url1,http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E
cw_nutrient_trend,CW,source2," Halpern, B. S. et al. (2015). **Spatial and temporal changes in cumulative human impacts on the world's ocean**. _Nature
Communications_ 6(7615). doi: 10.1038/ncomms8615"
cw_nutrient_trend,CW,source_url2,http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html
cw_nutrient_trend,CW,data_prep_url,
cw_pathogen_trend,CW,description,"Trends in percent of population without access to improved sanitation facilities.

"
cw_pathogen_trend,CW,source1,World Health Organization and United Nations Children's Fund's Joint Monitoring Programme (WHO/UNICEF's JMP)
cw_pathogen_trend,CW,source_url1,"http://www.wssinfo.org/data-estimates/table
"
cw_pathogen_trend,CW,data_prep_url,
cw_trash_trend,CW,description,Trend estimated using 2010 data and estimated 2025 data for improperly disposed of trash data.
cw_trash_trend,CW,data_prep_url,
fis_b_bmsy,FIS,description,"The ratio of fish population abundance compared to the abundance required to deliver maximum sustainable yield, obtained from the catch-MSY model (Martell & Froese, 2013).

"
