rgn_id,rgn_name,eez_iso3,territory,admin_rgn_id,admin_country_name,Notes
1,Cocos Islands,CCK,yes,16,Australia,
2,Christmas Island,CXR,yes,16,Australia,
3,Norfolk Island,NFK,yes,16,Australia,
4,Macquarie Island,AUS,yes,16,Australia,
5,New Caledonia,NCL,yes,179,France,
6,Vanuatu,VUT,no,6,Vanuatu,
7,Solomon Islands,SLB,no,7,Solomon Islands,
8,Palau,PLW,no,8,Palau,
9,Micronesia,FSM,no,9,Micronesia,
10,Nauru,NRU,no,10,Nauru,
11,Marshall Islands,MHL,no,11,Marshall Islands,
12,Wake Island,UMI,yes,163,United States,
13,Northern Mariana Islands and Guam,MNP,yes,163,United States,
14,Taiwan,TWN,no,14,Taiwan,
15,Philippines,PHL,no,15,Philippines,
16,Australia,AUS,no,16,Australia,
17,Papua New Guinea,PNG,no,17,Papua New Guinea,
18,Fiji,FJI,no,18,Fiji,
19,Tuvalu,TUV,no,19,Tuvalu,
20,South Korea,KOR,no,20,South Korea,
21,North Korea,PRK,no,21,North Korea,
24,Cambodia,KHM,no,24,Cambodia,
25,Thailand,THA,no,25,Thailand,
26,Andaman and Nicobar,IND,yes,203,India,
28,Comoro Islands,COM,no,28,Comoro Islands,
29,Mayotte,MYT,yes,179,France,
30,Glorioso Islands,ATF,yes,179,France,
31,Seychelles,SYC,no,31,Seychelles,
32,Reunion,REU,yes,179,France,
33,Juan de Nova Island,ATF,yes,179,France,
34,Bassas da India,ATF,yes,179,France,
35,Ile Europa,ATF,yes,179,France,
36,Ile Tromelin,ATF,yes,179,France,
37,Mauritius,MUS,no,37,Mauritius,
38,British Indian Ocean Territory,IOT,yes,180,United Kingdom,
39,Maldives,MDV,no,39,Maldives,
40,Sri Lanka,LKA,no,40,Sri Lanka,
41,Mozambique,MOZ,no,41,Mozambique,
42,Madagascar,MDG,no,42,Madagascar,
43,Kenya,KEN,no,43,Kenya,
44,Somalia,SOM,no,44,Somalia,
45,Eritrea,ERI,no,45,Eritrea,
46,Djibouti,DJI,no,46,Djibouti,
47,Yemen,YEM,no,47,Yemen,
48,Oman,OMN,no,48,Oman,
49,Sudan,SDN,no,49,Sudan,
50,Saudi Arabia,SAU,no,50,Saudi Arabia,
51,Kuwait,KWT,no,51,Kuwait,
52,Bahrain,BHR,no,52,Bahrain,
53,Pakistan,PAK,no,53,Pakistan,
54,United Arab Emirates,ARE,no,54,United Arab Emirates,
55,Azores,PRT,yes,183,Portugal,
56,Cape Verde,CPV,no,56,Cape Verde,
57,Madeira,PRT,yes,183,Portugal,
58,Canary Islands,ESP,yes,182,Spain,
59,Belgium,BEL,no,59,Belgium,
60,Gibraltar,GIB,yes,180,United Kingdom,
61,Tunisia,TUN,no,61,Tunisia,
62,Morocco,MAR,no,62,Morocco,
63,Western Sahara,ESH,yes,62,Morocco,
64,Mauritania,MRT,no,64,Mauritania,
65,Gambia,GMB,no,65,Gambia,
66,Senegal,SEN,no,66,Senegal,
67,Libya,LBY,no,67,Libya,
68,Malta,MLT,no,68,Malta,
69,Latvia,LVA,no,69,Latvia,
70,Estonia,EST,no,70,Estonia,
71,Bulgaria,BGR,no,71,Bulgaria,
72,Romania,ROU,no,72,Romania,
73,Russia,RUS,no,73,Russia,
74,Georgia,GEO,no,74,Georgia,
75,Ukraine,UKR,no,75,Ukraine,
76,Turkey,TUR,no,76,Turkey,
77,Syria,SYR,no,77,Syria,
78,Lebanon,LBN,no,78,Lebanon,
79,Israel,ISR,no,79,Israel,
80,Greece,GRC,no,80,Greece,
81,Cyprus,CYP,no,81,Cyprus,
82,Albania,ALB,no,82,Albania,
84,Algeria,DZA,no,84,Algeria,
85,Ascension,ASC,yes,180,United Kingdom,
86,Saint Helena,SHN,yes,180,United Kingdom,
88,Tristan da Cunha,TAA,yes,180,United Kingdom,
89,South Georgia and the South Sandwich Islands,SGS,yes,180,United Kingdom,
90,Prince Edward Islands,ZAF,yes,102,South Africa,
91,Crozet Islands,ATF,yes,179,France,
92,Amsterdam Island and Saint Paul Island,ATF,yes,179,France,
93,Kerguelen Islands,ATF,yes,179,France,
94,Heard and McDonald Islands,HMD,yes,16,Australia,
95,Falkland Islands,FLK,yes,180,United Kingdom,
96,Sierra Leone,SLE,no,96,Sierra Leone,
97,Liberia,LBR,no,97,Liberia,
98,Togo,TGO,no,98,Togo,
99,Benin,BEN,no,99,Benin,
100,Republique du Congo,COG,no,100,Republique du Congo,
101,Namibia,NAM,no,101,Namibia,
102,South Africa,ZAF,no,102,South Africa,
103,Sao Tome and Principe,STP,no,103,Sao Tome and Principe,
104,Equatorial Guinea,GNQ,no,104,Equatorial Guinea,
105,Bouvet Island,BVT,yes,223,Norway,
106,Ghana,GHA,no,106,Ghana,
107,Clipperton Island,CPT,yes,179,France,
108,Bermuda,BMU,yes,180,United Kingdom,
110,Bahamas,BHS,no,110,Bahamas,
111,Turks and Caicos Islands,TCA,yes,180,United Kingdom,
112,Cuba,CUB,no,112,Cuba,
113,Cayman Islands,CYM,yes,180,United Kingdom,
114,Haiti,HTI,no,114,Haiti,
115,Dominican Republic,DOM,no,115,Dominican Republic,
116,Puerto Rico and Virgin Islands of the United States,PRI,yes,163,United States,
117,British Virgin Islands,VGB,yes,180,United Kingdom,
118,Anguilla,AIA,yes,180,United Kingdom,
119,Saint Kitts and Nevis,KNA,no,119,Saint Kitts and Nevis,
120,Antigua and Barbuda,ATG,no,120,Antigua and Barbuda,
121,Montserrat,MSR,yes,180,United Kingdom,
122,Saint Lucia,LCA,no,122,Saint Lucia,
123,Dominica,DMA,no,123,Dominica,
124,Barbados,BRB,no,124,Barbados,
125,Grenada,GRD,no,125,Grenada,
126,Trinidad and Tobago,TTO,no,126,Trinidad and Tobago,
127,Saint Vincent and the Grenadines,VCT,no,127,Saint Vincent and the Grenadines,
129,Panama,PAN,no,129,Panama,
130,Costa Rica,CRI,no,130,Costa Rica,
131,Nicaragua,NIC,no,131,Nicaragua,
132,Colombia,COL,no,132,Colombia,
133,Honduras,HND,no,133,Honduras,
134,El Salvador,SLV,no,134,El Salvador,
135,Mexico,MEX,no,135,Mexico,
136,Guatemala,GTM,no,136,Guatemala,
137,Ecuador,ECU,no,137,Ecuador,
138,Peru,PER,no,138,Peru,
139,Venezuela,VEN,no,139,Venezuela,
140,Guadeloupe and Martinique,GP-MQ,yes,179,France,
141,Faeroe Islands,FRO,yes,175,Denmark,
143,Iceland,ISL,no,143,Iceland,
144,Jan Mayen,SJM,yes,223,Norway,
145,Greenland,GRL,yes,175,Denmark,
146,Pitcairn,PCN,yes,180,United Kingdom,
147,French Polynesia,PYF,yes,179,France,
148,Line Islands (Kiribati),KIR,yes,212,Kiribati,
149,Jarvis Island,UMI,yes,163,United States,
150,Palmyra Atoll,UMI,yes,163,United States,
151,American Samoa,ASM,yes,163,United States,
152,Samoa,WSM,no,152,Samoa,
153,Cook Islands,COK,yes,162,New Zealand,
154,Niue,NIU,yes,162,New Zealand,
155,Tonga,TON,no,155,Tonga,
156,Tokelau,TKL,yes,162,New Zealand,
