rgn_id,rgn_name,eez_iso3,territory,admin_rgn_id,admin_country_name,Notes
157,Phoenix Islands (Kiribati),KIR,yes,212,Kiribati,
158,Howland Island and Baker Island,UMI,yes,163,United States,
159,Johnston Atoll,UMI,yes,163,United States,
161,Wallis and Futuna,WLF,yes,179,France,
162,New Zealand,NZL,no,162,New Zealand,
163,United States,USA,no,163,United States,
164,Belize,BLZ,no,164,Belize,
166,Jamaica,JAM,no,166,Jamaica,
167,Guyana,GUY,no,167,Guyana,
168,Suriname,SUR,no,168,Suriname,
169,French Guiana,GUF,yes,179,France,
171,Brazil,BRA,no,171,Brazil,
172,Argentina,ARG,no,172,Argentina,
173,Uruguay,URY,no,173,Uruguay,
174,Finland,FIN,no,174,Finland,
175,Denmark,DNK,no,175,Denmark,
176,Germany,DEU,no,176,Germany,
177,Netherlands,NLD,no,177,Netherlands,
178,Poland,POL,no,178,Poland,
179,France,FRA,no,179,France,
180,United Kingdom,GBR,no,180,United Kingdom,
181,Ireland,IRL,no,181,Ireland,
182,Spain,ESP,no,182,Spain,
183,Portugal,PRT,no,183,Portugal,
184,Italy,ITA,no,184,Italy,
185,Monaco,MCO,no,185,Monaco,
186,Montenegro,MNE,no,186,Montenegro,
187,Croatia,HRV,no,187,Croatia,
188,Slovenia,SVN,no,188,Slovenia,
189,Lithuania,LTU,no,189,Lithuania,
190,Qatar,QAT,no,190,Qatar,
191,Iran,IRN,no,191,Iran,
192,Iraq,IRQ,no,192,Iraq,
193,Guinea Bissau,GNB,no,193,Guinea Bissau,
194,Guinea,GIN,no,194,Guinea,
195,Ivory Coast,CIV,no,195,Ivory Coast,
196,Nigeria,NGA,no,196,Nigeria,
197,Cameroon,CMR,no,197,Cameroon,
198,Gabon,GAB,no,198,Gabon,
199,Democratic Republic of the Congo,COD,no,199,Democratic Republic of the Congo,
200,Angola,AGO,no,200,Angola,
202,Tanzania,TZA,no,202,Tanzania,
203,India,IND,no,203,India,
204,Bangladesh,BGD,no,204,Bangladesh,
205,Myanmar,MMR,no,205,Myanmar,
206,Malaysia,MYS,no,206,Malaysia,
207,Vietnam,VNM,no,207,Vietnam,
208,Singapore,SGP,no,208,Singapore,
209,China,CHN,no,209,China,
210,Japan,JPN,no,210,Japan,
212,Gilbert Islands (Kiribati),KIR,no,212,Kiribati,
213,Antarctica,ATA,no,213,Antarctica,Not included in global assessment
214,Egypt,EGY,no,214,Egypt,
215,Jordan,JOR,no,215,Jordan,
216,Indonesia,IDN,no,216,Indonesia,
218,Canada,CAN,no,218,Canada,
219,Saint Pierre and Miquelon,SPM,yes,179,France,
220,Sint Maarten,SXM,yes,177,Netherlands,
221,Northern Saint-Martin,MAF,yes,179,France,
222,Sweden,SWE,no,222,Sweden,
223,Norway,NOR,no,223,Norway,
224,Chile,CHL,no,224,Chile,
227,Jersey,JEY,yes,180,United Kingdom,
228,Guernsey,GGY,yes,180,United Kingdom,
231,East Timor,TLS,no,231,East Timor,
232,Bosnia and Herzegovina,BIH,no,232,Bosnia and Herzegovina,
237,Oecussi Ambeno,TLS,yes,231,East Timor,
244,Curacao,CUW,yes,177,Netherlands,
245,Bonaire,BQ,yes,177,Netherlands,
247,Brunei,BRN,no,247,Brunei,
248,Saba,BES,yes,177,Netherlands,
249,Sint Eustatius,ANT,yes,177,Netherlands,
250,Aruba,ABW,yes,177,Netherlands,
