"scenario","goal","dimension","region_id","value"
"2012","AO","likely_future_state",300,72.09
"2012","AO","likely_future_state",1,95.91
"2012","AO","likely_future_state",2,96.52
"2012","AO","likely_future_state",3,96.25
"2012","AO","likely_future_state",4,98.25
"2012","AO","likely_future_state",5,61.82
"2012","AO","likely_future_state",6,47.13
"2012","AO","likely_future_state",7,44.98
"2012","AO","likely_future_state",8,52.74
"2012","AO","likely_future_state",9,46.66
"2012","AO","likely_future_state",10,48.13
"2012","AO","likely_future_state",11,54.49
"2012","AO","likely_future_state",12,100
"2012","AO","likely_future_state",13,88.53
"2012","AO","likely_future_state",14,73.38
"2012","AO","likely_future_state",15,60.46
"2012","AO","likely_future_state",16,99.43
"2012","AO","likely_future_state",17,51.48
"2012","AO","likely_future_state",18,47.72
"2012","AO","likely_future_state",19,47.32
"2012","AO","likely_future_state",20,88.58
"2012","AO","likely_future_state",21,51.01
"2012","AO","likely_future_state",24,65.98
"2012","AO","likely_future_state",25,72.4
"2012","AO","likely_future_state",26,55.54
"2012","AO","likely_future_state",28,43.22
"2012","AO","likely_future_state",29,52.82
"2012","AO","likely_future_state",30,51.63
"2012","AO","likely_future_state",31,57.36
"2012","AO","likely_future_state",32,51.14
"2012","AO","likely_future_state",33,51.68
"2012","AO","likely_future_state",34,51.63
"2012","AO","likely_future_state",35,51.67
"2012","AO","likely_future_state",36,51.61
"2012","AO","likely_future_state",37,55.62
"2012","AO","likely_future_state",38,54.85
"2012","AO","likely_future_state",39,49.24
"2012","AO","likely_future_state",40,47.57
"2012","AO","likely_future_state",41,45.34
"2012","AO","likely_future_state",42,44.26
"2012","AO","likely_future_state",43,61.49
"2012","AO","likely_future_state",44,40.72
"2012","AO","likely_future_state",45,56.69
"2012","AO","likely_future_state",46,53.27
"2012","AO","likely_future_state",47,57.26
"2012","AO","likely_future_state",48,68.42
"2012","AO","likely_future_state",49,49.05
"2012","AO","likely_future_state",50,68.76
"2012","AO","likely_future_state",51,94.07
"2012","AO","likely_future_state",52,70.12
"2012","AO","likely_future_state",53,58.93
"2012","AO","likely_future_state",54,79.01
"2012","AO","likely_future_state",55,74.9
"2012","AO","likely_future_state",56,49.48
"2012","AO","likely_future_state",57,75.29
"2012","AO","likely_future_state",58,74.59
"2012","AO","likely_future_state",59,83.68
"2012","AO","likely_future_state",60,75.65
"2012","AO","likely_future_state",61,70.58
"2012","AO","likely_future_state",62,62.06
