"component_id","radical_include","component_label","goal","dimension","scenario","region_id","value","units","url","source","extra","location"
"ao_access","yes","Artisanal fishing access","AO","status",2016,NA,NA,NA,NA,"Mora, C., Myers, R.A., Coll, M., Libralato, S., Pitcher, T.J., Sumaila, R.U., & Worm, B. (2009). Management Effectiveness of the World's Marine Fisheries. PLoS Biol, 7(6), e1000131. [doi:10.1371/journal.pbio.1000131](https://doi.org/10.1371/journal.pbio.1000131)","The opportunity for artisanal and recreational fishing based on the quality of management of the small-scale fishing sector","layers"
"ao_need","yes","Economic need","AO","status",2016,NA,NA,NA,NA,"The World Bank GDP per capita PPP (current international $) [http://data.worldbank.org/indicator/NY.GDP.PCAP.PP.KD].","The per capita purchasing power parity (PPP) adjusted gross domestic product (GDP): GDPpcPPP","layers"
"cc_acid","yes","Ocean acidification","pressures","pressures",2016,NA,NA,NA,NA,"Feely, R., Doney, S. & Cooley, S. (2009). Ocean acidification: present conditions and future changes in a high-CO2 world. Oceanography 22:36-47. [http://www.tos.org/oceanography/archive/22-4_feely.html].","Ocean acidification pressure scaled using biological thresholds","layers"
"cc_slr","yes","Sea level rise","pressures","pressures",2016,NA,NA,NA,NA,"AVISO data [http://www.aviso.altimetry.fr/en/data/products/sea-surface-height-products/global/msla-mean-climatology.html#c10358].","Sea level rise pressure","layers"
"cc_sst","yes","Sea surface temperature","pressures","pressures",2016,NA,NA,NA,NA,"AVHRR Pathfinder Version 5.0 SST data [http://pathfinder.nodc.noaa.gov].; Casey, K. S., Brandon, T. B., Cornillon, P., & Evans, R. (2010). The past, present and future of the AVHRR Pathfinder SST Program, Oceanography from Space: Revisited, eds. V. Barale, J. F. R. Gower, and L. Alberotanza, Springer. [https://doi.org/10.1007/978-90-481-8681-5_16].","Sea surface temperature anomolies","layers"
"cc_uv","yes","UV radiation pressure","pressures","pressures",2016,NA,NA,NA,NA,"Goddard Earth Sciences Data and Information Services Center (GES DISC) [http://disc.sci.gsfc.nasa.gov/data-holdings/PIP/erythemal_uv_irradiance.shtml].","Modeled UV radiation based on Erythemal UV Irradiance data provided by GES DISC.","layers"
"cntry_rgn","no","ISO country codes","spatial",NA,2016,NA,NA,NA,NA,"","Lookup table of country codes (based on ISO 3166 country codes) and Ocean Health Index region idenifiers.","layers"
"cp_hab_contributions","yes","Habitat contribution","CP","status",2016,NA,NA,NA,NA,"","Relative contribution of habitat to coastal protection score based on area and degree of protection it provides","temp"
"cs_hab_contributions","yes","Habitat contribution","CS","status",2016,NA,NA,NA,NA,"","Relative contribution of habitat to carbon storage score based on area and degree of protection it provides","temp"
"cw_chemical_trend","yes","Chemical pollution trend","CW","trend",2016,NA,NA,NA,NA,"FAO's statistical database FAOSTAT [http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E].; Halpern, B. S. et al. (2015). Spatial and temporal changes in cumulative human impacts on the world's ocean. Nature Communications 6(7615). [http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html].","Modeled chemical pollution from commercial shipping traffic, ports and harbors, and pesticide use","layers"
"cw_nutrient_trend","yes","Nutrient pollution trend","CW","trend",2016,NA,NA,NA,NA,"FAO's statistical database FAOSTAT [http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E].; Halpern, B. S. et al. (2015). Spatial and temporal changes in cumulative human impacts on the world's ocean. Nature Communications 6(7615). [http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html].","Modeled data based on fertilizer consumption as a proxy for nutrient pollution","layers"
"cw_pathogen_trend","yes","Pathogen pollution trend","CW","trend",2016,NA,NA,NA,NA,"World Health Organization and United Nations Children's Fund's Joint Monitoring Programme (WHO/UNICEF's JMP) [http://www.wssinfo.org/data-estimates/table].","Trends in percent of population without access to improved sanitation facilities as a proxy for pathogen pollution","layers"
"cw_trash_trend","yes","Plastic trash trends","CW","trend",2016,NA,NA,NA,NA,"Jambeck et al. (2016). Plastic waste inputs from land into the ocean. Science 347:768-771.","Trends in trash estimated using improperly disposed of plastics","layers"
"element_wts_cp_km2_x_protection","no","Coastal protection weight","pressures","pressures",2016,NA,NA,NA,NA,"Internal calculation","Habitat extent multiplied by habitat protection rank for: coral, mangrove (offshore and inland 1km), saltmarsh, sea ice (shoreline), and seagrass","layers"
"element_wts_cp_km2_x_protection","no","Coastal protection weight","resilience","resilience",2016,NA,NA,NA,NA,"Internal calculation","Habitat extent multiplied by habitat protection rank for: coral, mangrove (offshore and inland 1km), saltmarsh, sea ice (shoreline), and seagrass","layers"
"element_wts_cs_km2_x_storage","no","Carbon storage weights","pressures","pressures",2016,NA,NA,NA,NA,"Internal calculation","Habitat extent multiplied by carbon storage capacity for:  mangrove (offshore and inland 1km), saltmarsh, and sea ice","layers"
"element_wts_cs_km2_x_storage","no","Carbon storage weights","resilience","resilience",2016,NA,NA,NA,NA,"Internal calculation","Habitat extent multiplied by carbon storage capacity for:  mangrove (offshore and inland 1km), saltmarsh, and sea ice","layers"
"element_wts_hab_pres_abs","no","Habitat weights","pressures","pressures",2016,NA,NA,NA,NA,"Internal calculation","List of habitats in each region","layers"
"element_wts_hab_pres_abs","no","Habitat weights","resilience","resilience",2016,NA,NA,NA,NA,"Internal calculation","List of habitats in each region","layers"
"fis_b_bmsy","no","B/Bmsy estimates","FIS","status",2016,NA,NA,"B/Bmsy",NA,"Martell, S., & Froese, R. (2013). A simple method for estimating MSY from catch and resilience. Fish and Fisheries 14(4): 504-514. [https://doi.org/10.1111/j.1467-2979.2012.00485.x].; Ricard, D., Minto, C., Jensen, O.P. & Baum, J.K. (2012). Evaluating the knowledge base and status of commercially exploited marine species with the RAM Legacy Stock Assessment Database.�Fish and Fisheries�13(4): 380-398.","The ratio of fish population abundance compared to the abundance required to deliver maximum sustainable yield","layers"
"fis_meancatch","no","Fishery catch data","FIS","status",2016,NA,NA,"tonnes",NA,"Pauly, D, and D Zeller, eds. (2015). Sea around us concepts, design and data. [http://www.seaaroundus.org/].","Mean commercial catch for each OHI region (averaged across years) ","layers"
"fp_art_hb","yes","Artisanal high bycatch","pressures","pressures",2016,NA,NA,NA,NA,"Reefs at Risk Revisited [http://www.wri.org/publication/reefs-at-risk-revisited].","The presence of destructive artisanal blast and poison (cyanide) fishing.","layers"
"fp_art_lb","yes","Artisanal low bycatch","pressures","pressures",2016,NA,NA,NA,NA,"Pauly, D, and D Zeller, eds. (2015). Sea around us concepts, design and data. [http://www.seaaroundus.org/].","Artisanal fishing using non-destructive practices","layers"
