eez_nam,global_cumulative_impact_2013_all_layers.gri,artisanal_fishing,demersal_destructive_fishing,demersal_nondest_high_bycatch,demersal_nondest_low_bycatch,inorganic,invasives,night_lights,ocean_acidification,ocean_pollution,oil_rigs,pelagic_high_bycatch,pelagic_low_bycatch,plumes_fert,plumes_pest,population,shipping,slr,uv,sst
Australia,3.574300371,0.000409786,0.024303342,0.014797962,0.012300484,0.001439329,0.006633778,0.000332839,0.954248939,0.176654985,3.24E-05,0.006808891,0.010897382,0.003844873,0.000344107,0.003733879,0.122856241,0.201581391,0.620658289,1.416665028
Cocos Islands,3.677723144,0,0.001797697,0.004009156,0.004083399,1.07E-06,0,1.64E-06,1.122885126,0.116767767,0,0,0.004493128,0,0,0.00013945,0.064580313,0.000884164,0.752550889,1.605529285
Christmas Island,3.922200391,9.57E-05,0.001970712,0.005102216,0.004854055,3.77E-06,0.00011859,3.39E-05,1.124762124,0.144401169,0,5.76E-06,0.00431544,0,0,0.000200907,0.081240033,0.000871166,0.785732648,1.768562365
Norfolk Island,3.745786025,4.47E-06,0.005922022,0.00282442,0.00074438,0,0.000568591,1.13E-05,1.260197294,0.187073515,0,0,0.000247881,0,0,0.000124444,0.108040179,0.002187762,0.747737545,1.430165688
Macquarie Island,1.938872376,3.89E-07,0.000353595,4.06E-06,2.13E-05,6.22E-06,0,0,0.810638966,0.013053205,0,0,2.03E-05,1.87E-05,1.16E-06,0.00010517,0.007065591,0.000394342,0.823827135,0.283379942
New Caledonia,3.579552673,0.001185322,0.000476197,0.000286138,0.000400251,0.000103736,0.001423733,0.000102892,1.2311863,0.141984107,0,0,0.000431643,8.77E-05,3.67E-06,0.002333877,0.090047692,0.031303303,0.613885163,1.465295178
Vanuatu,3.70314322,0.001626537,0.002822572,0.002414946,0.004814741,0.000197522,0.000989787,2.73E-05,1.216966107,0.08599612,0,0,0.006806882,9.07E-05,1.50E-05,0.005878459,0.053906279,0.010749663,0.582957712,1.73049427
Solomon Islands,3.706817309,0.001812943,0.004534257,0.003590569,0.023243464,0.000563615,0.000640422,8.98E-06,1.143572203,0.063159696,0,0.000456839,0.032685814,9.87E-05,1.56E-05,0.005510856,0.036937232,0.017586753,0.615397458,1.75936725
Palau,3.815595701,0.00064244,0.00384794,0.014625691,0.016694153,4.81E-05,0.000686862,4.54E-05,1.164111448,0.130541937,0,0.000455697,0.018033706,2.65E-06,5.96E-07,0.000857233,0.072824436,0.00569763,0.716435605,1.670173677
Micronesia,3.45936521,0.000176256,0.002255093,0.008163119,0.014137245,2.20E-05,0.000326438,1.81E-05,1.139123234,0.115172415,0,0,0.018369913,0,0,0.000533245,0.06558437,0.006888343,0.680062053,1.408579897
Nauru,3.382652242,8.75E-06,0.001855992,0.013013484,0.024252678,0,9.57E-05,3.18E-05,1.074466313,0.041055065,0,3.07E-05,0.021929713,0,0,8.27E-05,0.021150165,0.000130176,0.733816108,1.450761501
Marshall Islands,3.227277973,0.000535976,0.000959054,0.00328097,0.007266942,0,0.000222929,2.70E-05,1.164598372,0.064617527,0,0,0.009576994,0,0,0.001448057,0.038534398,0.009788446,0.590998139,1.335423095
Wake Island,3.946239045,0,0.003588152,0.013276731,0.017037269,0,5.47E-05,1.36E-05,1.260983549,0.157353081,0,0,0.025187763,0,0,0,0.103049345,3.77E-05,0.568390233,1.797266857
Northern Mariana Islands and Guam,4.139368557,0.000282031,0.00654104,0.023413207,0.041559163,0.00026765,0.000278523,0.000130699,1.174914247,0.214556272,0,0,0.058894814,0,0,0.000482588,0.127106168,0.001272268,0.690700569,1.799400789
Taiwan,4.808654703,0.00063698,0.261750383,0.20939779,0.088298319,0.013215081,0.013190514,0.002462646,1.061267555,0.424554121,6.80E-05,0.002587771,0.015459465,0.011041778,0.001059219,0.008486001,0.354715203,0.072303371,0.57021046,1.701626064
Philippines,4.376758346,0.009376166,0.141005295,0.242995212,0.129159717,0.013748451,0.012575079,0.000907403,1.125405555,0.239330041,1.50E-05,0.002005719,0.049323059,0.007276823,0.000930341,0.026386524,0.154168895,0.0962834,0.560914748,1.573503533
Papua New Guinea,3.68990675,0.001809744,0.013692913,0.012485445,0.066084552,0.002946231,0.002456272,5.67E-05,1.071191292,0.13446163,0,0.000117334,0.094854326,0.000518127,5.31E-05,0.008472062,0.083748057,0.070213143,0.542664796,1.588325379
