"targets","layer","name","description","fld_value","units","path_in","path_in_exists","filename","path_out"
"AO","ao_access","Artisanal fisheries opportunity","The opportunity for artisanal and recreational fishing based on the quality of management of the small-scale fishing sector","value","scaled 0-1","../ohiprep/globalprep/res_mora_ao/v2013/data/r_mora_s4_2013a_updated.csv",TRUE,"ao_access.csv","eez2016/layers/ao_access.csv"
"AO","ao_need","Economic need for artisanal fishing","Per capita purchasing power parity (PPP) adjusted gross domestic product (GDP): GDPpcPPP as a proxy for subsistence fishing need","value","scaled 0-1","../ohiprep/globalprep/ao/v2016/output/wb_gdppcppp_rescaled.csv",TRUE,"ao_need.csv","eez2016/layers/ao_need.csv"
"AO pressureCP pressureCS pressureCW pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureMAR pressureNP pressureSPP pressureTR pressure","ss_spi","Weakness of social progress","Inverse of Social Progress Index scores","pressure_score","scaled 0-1","../ohiprep/globalprep/prs_res_spi/v2016/output/spi_prs.csv",TRUE,"ss_spi.csv","eez2016/layers/ss_spi.csv"
"AO pressureCP pressureCS pressureCW pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureMAR pressureNP pressureSPP pressureTR pressure","ss_wgi","Weakness of governance","Inverse of World Governance Indicators (WGI) six combined scores","pressure_score","scaled 0-1","../ohiprep/globalprep/prs_res_wgi/v2016/output/wgi_prs_2016.csv",TRUE,"ss_wgi.csv","eez2016/layers/ss_wgi.csv"
"AO pressureCP pressureCS pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureNP pressureSPP pressure","hd_intertidal","Intertidal habitat destruction","Coastal population density (25 mi from shore)  as a proxy for intertidal habitat destruction","pressure_score","scaled 0-1","../ohiprep/globalprep/mar_prs_population/v2016/output/prs_pop_density_2016.csv",TRUE,"hd_intertidal.csv","eez2016/layers/hd_intertidal.csv"
"AO pressureCP pressureCS pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureNP pressureSPP pressure","sp_alien","Nonindigenous species","Measure of harmful invasive species","pressures.score","scaled 0-1","../ohiprep/globalprep/prs_alien/v2013/data/p_sp_alien_2013a.csv",TRUE,"sp_alien.csv","eez2016/layers/sp_alien.csv"
"AO pressureCP pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureNP pressureSPP pressure","hd_subtidal_hb","Subtidal hardbottom habitat destruction","High bycatch artisanal fishing practices (blast fishing) as a proxy for subtidal hard bottom habitat destruction","score","scaled 0-1","../ohiprep/globalprep/np_prs_poison_blast_fishing/v2013/data/gl_thr_blast_3nm_rgn2013.csv",TRUE,"hd_subtidal_hb.csv","eez2016/layers/hd_subtidal_hb.csv"
"AO pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureNP pressureSPP pressure","fp_art_hb","High bycatch due to artisanal fishing","The presence of destructive artisanal blast and poison (cyanide) fishing.","pressure_score","scaled 0-1","../ohiprep/globalprep/np_prs_poison_blast_fishing/v2013/data/blast_poison_3nm.csv",TRUE,"fp_art_hb.csv","eez2016/layers/fp_art_hb.csv"
"AO pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureSPP pressure","fp_com_hb","High bycatch due to commercial fishing","Modeled destructive commercial fishing practices by 5 gear types and scaled by Net Primary Productivity","pressure_score","scaled 0-1","../ohiprep/globalprep/prs_fish/v2016/output/comm_fish_hb_2016.csv",TRUE,"fp_com_hb.csv","eez2016/layers/fp_com_hb.csv"
"AO pressureECO pressureFIS pressureHAB pressureLIV pressureNP pressureSPP pressure","fp_com_lb","Low bycatch due to commercial fishing","Modeled destructive commercial fishing practices by 2 gear types and scaled by Net Primary Productivity","pressure_score","scaled 0-1","../ohiprep/globalprep/prs_fish/v2016/output/comm_fish_lb_2016.csv",TRUE,"fp_com_lb.csv","eez2016/layers/fp_com_lb.csv"
"AO pressureECO pressureFIS pressureHAB pressureLIV pressureNP pressureSPP pressure","hd_subtidal_sb","Subtidal soft bottom habitat destruction","Demersal destructive commercial fishing practices (i.e., trawling) in soft bottom habitat as a proxy for soft bottom habitat destruction","pressure_score","scaled 0-1","../ohiprep/globalprep/hab_prs_hd_subtidal_soft_bottom/v2016/output/hd_sb_subtidal_v2010.csv",TRUE,"hd_subtidal_sb.csv","eez2016/layers/hd_subtidal_sb.csv"
"AO resilienceCP resilienceCS resilienceCW resilienceECO resilienceFIS resilienceHAB resilienceICO resilienceLIV resilienceLSP resilienceMAR resilienceNP resilienceSPP resilienceTR resilience","res_spi","Social Progress Index","Social Progress Index scores","resilience_score","scaled 0-1","../ohiprep/globalprep/prs_res_spi/v2016/output/spi_res.csv",TRUE,"res_spi.csv","eez2016/layers/res_spi.csv"
"AO resilienceCP resilienceCS resilienceCW resilienceECO resilienceFIS resilienceHAB resilienceICO resilienceLIV resilienceLSP resilienceMAR resilienceNP resilienceSPP resilienceTR resilience","wgi_all","Strength of governance","World Governance Indicators (WGI) six combined scores","resilience_score","scaled 0-1","../ohiprep/globalprep/prs_res_wgi/v2016/output/wgi_res_2016.csv",TRUE,"wgi_all.csv","eez2016/layers/wgi_all.csv"
"AO resilienceCP resilienceCS resilienceFIS resilienceHAB resilienceICO resilienceLSP resilienceNP resilienceSPP resilience","hd_habitat","Management of habitat to protect habitat biodiversity","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: habitat related questions","resilience score","scaled 0-1","../ohiprep/globalprep/res_cbd_habitat/v2014/data/r_habitat_2013a.csv",TRUE,"hd_habitat.csv","eez2016/layers/hd_habitat.csv"
"AO resilienceCP resilienceCS resilienceHAB resilienceNP resilience","hd_mpa_coast","Coastal protected marine areas (habitat preservation)","Protected marine areas within 3nm of coastline (lasting special places goal status score)","resilience.score","scaled 0-1","../ohiprep/globalprep/lsp/v2016/output/mpa_3nm_2015.csv",TRUE,"hd_mpa_coast.csv","eez2016/layers/hd_mpa_coast.csv"
"AO resilienceFIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience","fp_habitat","Management of habitat to protect fisheries biodiversity ","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: habitat related questions","resilience score","scaled 0-1","../ohiprep/globalprep/res_cbd_habitat/v2014/data/r_habitat_2013a.csv",TRUE,"fp_habitat.csv","eez2016/layers/fp_habitat.csv"
"AO resilienceFIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience","fp_mora","Commercial fishing management","Regulations and management of commerical fishing","value","scaled 0-1","../ohiprep/globalprep/res_mora_ao/v2013/data/r_mora_2013a.csv",TRUE,"fp_mora.csv","eez2016/layers/fp_mora.csv"
"AO resilienceHAB resilienceNP resilience","fp_mpa_coast","Coastal protected marine areas (fishing preservation)","Protected marine areas within 3nm of coastline (lasting special places goal status score)","resilience.score","scaled 0-1","../ohiprep/globalprep/lsp/v2016/output/mpa_3nm_2015.csv",TRUE,"fp_mpa_coast.csv","eez2016/layers/fp_mpa_coast.csv"
"AO resilienceHAB resilienceNP resilience","species_diversity_3nm","Measure of coastal ecological integrity","Marine species condition (same calculation and data as the species subgoal status score)  calculated within 3 nm of shoreline as a proxy for ecological integrity","score","scaled 0-1","../ohiprep/globalprep/spp_ico/v2016/output/spp_status_3nm.csv",TRUE,"species_diversity_3nm.csv","eez2016/layers/species_diversity_3nm.csv"
"CP pressureCS pressureECO pressureHAB pressureICO pressureNP pressureSPP pressure","cc_acid","Ocean acidification","Ocean acidification pressure scaled using biological thresholds","pressure_score","scaled 0-1","../ohiprep/globalprep/prs_oa/v2016/output/acid_eez_updated.csv",TRUE,"cc_acid.csv","eez2016/layers/cc_acid.csv"
"CP pressureCS pressureECO pressureHAB pressureICO pressureNP pressureSPP pressure","cc_sst","Sea surface temperature","Sea surface temperature anomalies","pressure_score","scaled 0-1","../ohiprep/globalprep/prs_sst/v2016/output/sst_updated.csv",TRUE,"cc_sst.csv","eez2016/layers/cc_sst.csv"
"CP pressureCS pressureECO pressureHAB pressureLIV pressureLSP pressureMAR pressureNP pressureTR pressure","cc_slr","Sea level rise","Sea level rise pressure","pressure_score","scaled 0-1","../ohiprep/globalprep/prs_slr/v2016/output/slr_updated.csv",TRUE,"cc_slr.csv","eez2016/layers/cc_slr.csv"
"CP pressureHAB pressureNP pressureSPP pressure","cc_uv","UV radiation","Modeled UV radiation","pressure_score","scaled 0-1","../ohiprep/globalprep/prs_uv/v2016/output/uv_updated.csv",TRUE,"cc_uv.csv","eez2016/layers/cc_uv.csv"
"CP resilienceCS resilienceCW resilienceHAB resilienceICO resilienceLSP resilienceMAR resilienceNP resilienceSPP resilienceTR resilience","po_water","Management of waters to preserve biodiversity","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: tourism related questions","resilience score","scaled 0-1","../ohiprep/globalprep/res_cbd_habitat/v2014/data/r_water_2013a.csv",TRUE,"po_water.csv","eez2016/layers/po_water.csv"
"CSHABCP","hab_saltmarsh_extent","Habitat extent of saltmarsh","Area of saltmarsh habitat","km2","km2","../ohiprep/globalprep/hab_saltmarsh/v2012/data/habitat_extent_saltmarsh_updated.csv",TRUE,"hab_saltmarsh_extent.csv","eez2016/layers/hab_saltmarsh_extent.csv"
"CSHABCP","hab_saltmarsh_health","Habitat condition of saltmarsh","Current condition of saltmarsh habitat relative to historical condition","health","proportion","../ohiprep/globalprep/hab_saltmarsh/v2012/data/habitat_health_saltmarsh_updated.csv",TRUE,"hab_saltmarsh_health.csv","eez2016/layers/hab_saltmarsh_health.csv"
"CSHABCP","hab_saltmarsh_trend","Habitat condition trend of saltmarsh","Estimated change in saltmarsh condition","trend","trend","../ohiprep/globalprep/hab_saltmarsh/v2012/data/habitat_trend_saltmarsh_updated.csv",TRUE,"hab_saltmarsh_trend.csv","eez2016/layers/hab_saltmarsh_trend.csv"
"CW","cw_chemical_trend","Chemical pollution trend","Trends in chemical pollution, based on commercial shipping traffic, ports and harbors, land-based pesticide use (organic pollution), and urban runoff (inorganic pollution) within EEZ ","trend","trend","../ohiprep/globalprep/prs_chem/v2016/output/cw_chemical_trend_updated.csv",TRUE,"cw_chemical_trend.csv","eez2016/layers/cw_chemical_trend.csv"
"CW","cw_nutrient_trend","Nutrient pollution trend","Trends in nutrient pollution, based on fertilizer consumption as a proxy for nutrient pollution","trend","trend","../ohiprep/globalprep/prs_land-based_nutrient/v2016/output/cw_fertilizers_trend_updated.csv",TRUE,"cw_nutrient_trend.csv","eez2016/layers/cw_nutrient_trend.csv"
