year,goal,method,reference_point
2025,FIS,Functional relationship (B/Bmsy),NA
2025,MAR,Biological capacity of region to produce mariculture,"Varies by region, see Gentry et al. 2017"
2025,AO,XXXXXXXX,NA
2025,NP,Harvest peak within region times 0.65 buffer,varies for each region
2025,CS,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2025,CP,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2025,TR,spatial: 90th quantile,0.532877955313824
2025,ICO,scaled IUCN risk categories,NA
2025,LSP,30% marine protected area; 30% coastal protected area,varies by area of region's eez and 1 km inland
2025,CW,spatial: pressures scaled from 0-1 at raster level,NA
2025,HAB,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2025,SPP,"Average of IUCN risk categories, scaled to historic extinction",NA
