"rgn_id","habitat","prop_score"
1,"coral",0.671
2,"coral",0.051
5,"coral",0.917
6,"coral",0.608
7,"coral",0.779
8,"coral",0.696
9,"coral",0.888
10,"coral",1
11,"coral",0.935
12,"coral",1
13,"coral",0.621
14,"coral",0.516
15,"coral",0.659
16,"coral",0.596
17,"coral",0.616
18,"coral",0.845
19,"coral",1
24,"coral",0.165
25,"coral",0.106
26,"coral",0.501
28,"coral",0.34
29,"coral",0.434
30,"coral",1
31,"coral",0.997
32,"coral",1
33,"coral",1
34,"coral",1
35,"coral",1
36,"coral",1
37,"coral",0.964
38,"coral",1
39,"coral",0.815
40,"coral",0.118
41,"coral",0.67
42,"coral",0.526
43,"coral",0.642
44,"coral",0.987
45,"coral",0.995
46,"coral",0.999
47,"coral",0.298
48,"coral",1
49,"coral",0.36
50,"coral",0.345
51,"coral",0.103
52,"coral",0.625
54,"coral",0.109
79,"coral",0.174
102,"coral",0.008
108,"coral",1
110,"coral",0.78
111,"coral",0.42
112,"coral",0.374
113,"coral",0.787
114,"coral",0.54
115,"coral",0.642
116,"coral",0.476
117,"coral",0.937
118,"coral",0.806
119,"coral",0.72
120,"coral",0.378
122,"coral",0.923
123,"coral",0.069
124,"coral",0.52
125,"coral",0.959
126,"coral",0.385
127,"coral",0.991
129,"coral",0.321
130,"coral",0.214
131,"coral",0.234
132,"coral",0.468
133,"coral",0.446
135,"coral",0.245
137,"coral",0.119
139,"coral",0.236
140,"coral",0.296
146,"coral",1
147,"coral",0.941
148,"coral",1
150,"coral",1
151,"coral",0.247
152,"coral",0.373
153,"coral",0.976
154,"coral",0.875
155,"coral",0.501
156,"coral",0.98
157,"coral",1
158,"coral",1
159,"coral",1
161,"coral",1
163,"coral",0.042
164,"coral",0.39
166,"coral",0.629
171,"coral",0.132
190,"coral",0.387
191,"coral",0.139
202,"coral",0.82
203,"coral",0.635
204,"coral",0.02
205,"coral",0.251
206,"coral",0.433
207,"coral",0.642
208,"coral",0.165
209,"coral",0.025
210,"coral",0.117
212,"coral",0.93
214,"coral",0.739
215,"coral",0.8
216,"coral",0.534
220,"coral",0.222
221,"coral",0.399
231,"coral",0.179
237,"coral",0.626
244,"coral",0.993
245,"coral",0.902
247,"coral",0.673
248,"coral",0.997
249,"coral",0.96
250,"coral",0.897
255,"coral",0.95
16,"saltmarsh",0.184
59,"saltmarsh",1
69,"saltmarsh",0
70,"saltmarsh",0.001
153,"saltmarsh",0.024
154,"saltmarsh",0.125
156,"saltmarsh",0.02
162,"saltmarsh",0.719
163,"saltmarsh",0.124
176,"saltmarsh",0.08
177,"saltmarsh",1
178,"saltmarsh",0.89
179,"saltmarsh",0.688
180,"saltmarsh",0.106
181,"saltmarsh",1
184,"saltmarsh",0.264
209,"saltmarsh",0.417
218,"saltmarsh",0
222,"saltmarsh",0.003
227,"saltmarsh",1
228,"saltmarsh",1
1,"seagrass",0.329
2,"seagrass",0.949
5,"seagrass",0.069
6,"seagrass",0.379
7,"seagrass",0.103
8,"seagrass",0.252
9,"seagrass",0.11
11,"seagrass",0.065
13,"seagrass",0.379
14,"seagrass",0.483
15,"seagrass",0.229
16,"seagrass",0.186
17,"seagrass",0.204
18,"seagrass",0.073
25,"seagrass",0.27
26,"seagrass",0.262
28,"seagrass",0.659
29,"seagrass",0.562
37,"seagrass",0.036
39,"seagrass",0.185
40,"seagrass",0.863
41,"seagrass",0.073
42,"seagrass",0.351
43,"seagrass",0.043
45,"seagrass",0.004
47,"seagrass",0.702
49,"seagrass",0.64
50,"seagrass",0.655
51,"seagrass",0.897
52,"seagrass",0.375
54,"seagrass",0.89
58,"seagrass",1
66,"seagrass",0.921
68,"seagrass",1
73,"seagrass",0
75,"seagrass",1
79,"seagrass",0.826
96,"seagrass",0.826
98,"seagrass",1
99,"seagrass",0.996
102,"seagrass",0.954
106,"seagrass",0.991
110,"seagrass",0.21
111,"seagrass",0.579
112,"seagrass",0.489
113,"seagrass",0.079
114,"seagrass",0.385
115,"seagrass",0.204
116,"seagrass",0.426
117,"seagrass",0.061
118,"seagrass",0.193
119,"seagrass",0.277
120,"seagrass",0.614
121,"seagrass",1
122,"seagrass",0.026
123,"seagrass",0.931
124,"seagrass",0.479
125,"seagrass",0.015
129,"seagrass",0.239
131,"seagrass",0.676
132,"seagrass",0.049
133,"seagrass",0.412
135,"seagrass",0.608
139,"seagrass",0.234
140,"seagrass",0.652
147,"seagrass",0.059
151,"seagrass",0.753
152,"seagrass",0.627
155,"seagrass",0.499
163,"seagrass",0.047
164,"seagrass",0.535
166,"seagrass",0.311
171,"seagrass",0.021
175,"seagrass",0.04
178,"seagrass",0.11
179,"seagrass",0.117
182,"seagrass",1
184,"seagrass",0.736
190,"seagrass",0.613
191,"seagrass",0.861
192,"seagrass",1
193,"seagrass",0.924
194,"seagrass",0.925
196,"seagrass",0.81
200,"seagrass",0.703
202,"seagrass",0.005
203,"seagrass",0.335
205,"seagrass",0.209
206,"seagrass",0.04
207,"seagrass",0.005
208,"seagrass",0.661
209,"seagrass",0.177
210,"seagrass",0.009
212,"seagrass",0.07
214,"seagrass",0.261
215,"seagrass",0.2
216,"seagrass",0.126
218,"seagrass",0
220,"seagrass",0.778
221,"seagrass",0.599
222,"seagrass",0
231,"seagrass",0.769
245,"seagrass",0.032
248,"seagrass",0.003
249,"seagrass",0.04
250,"seagrass",0.101
255,"seagrass",0.05
269,"seagrass",1
21,"seaice_shoreline",1
69,"seaice_shoreline",1
70,"seaice_shoreline",0.999
73,"seaice_shoreline",1
143,"seaice_shoreline",1
145,"seaice_shoreline",1
163,"seaice_shoreline",0.779
174,"seaice_shoreline",1
175,"seaice_shoreline",0.96
176,"seaice_shoreline",0.92
179,"seaice_shoreline",0.195
180,"seaice_shoreline",0.894
189,"seaice_shoreline",1
209,"seaice_shoreline",0.378
210,"seaice_shoreline",0.873
218,"seaice_shoreline",1
222,"seaice_shoreline",0.996
223,"seaice_shoreline",1
5,"mangrove",0.015
6,"mangrove",0.013
7,"mangrove",0.118
8,"mangrove",0.052
9,"mangrove",0.002
14,"mangrove",0.001
15,"mangrove",0.112
16,"mangrove",0.035
17,"mangrove",0.18
18,"mangrove",0.082
24,"mangrove",0.835
25,"mangrove",0.624
26,"mangrove",0.238
28,"mangrove",0.001
29,"mangrove",0.005
31,"mangrove",0.003
39,"mangrove",0
40,"mangrove",0.019
41,"mangrove",0.256
42,"mangrove",0.123
43,"mangrove",0.315
44,"mangrove",0.013
45,"mangrove",0.001
46,"mangrove",0.001
47,"mangrove",0
48,"mangrove",0
49,"mangrove",0
50,"mangrove",0
52,"mangrove",0
53,"mangrove",1
54,"mangrove",0
65,"mangrove",1
66,"mangrove",0.079
96,"mangrove",0.174
