year,goal,method,reference_point
2021,FIS,Functional relationship (B/Bmsy),NA
2021,MAR,Biological capacity of region to produce mariculture,"Varies by region, see Gentry et al. 2017"
2021,AO,XXXXXXXX,NA
2021,NP,Harvest peak within region times 0.65 buffer,varies for each region
2021,CS,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2021,CP,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2021,TR,spatial: 90th quantile,0.0589429012054426
2021,ICO,scaled IUCN risk categories,NA
2021,LSP,30% marine protected area; 30% coastal protected area,varies by area of region's eez and 1 km inland
2021,CW,spatial: pressures scaled from 0-1 at raster level,NA
2021,HAB,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2021,SPP,"Average of IUCN risk categories, scaled to historic extinction",NA
