year,goal,method,reference_point
2024,FIS,Functional relationship (B/Bmsy),NA
2024,MAR,Biological capacity of region to produce mariculture,"Varies by region, see Gentry et al. 2017"
2024,AO,XXXXXXXX,NA
2024,NP,Harvest peak within region times 0.65 buffer,varies for each region
2024,CS,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2024,CP,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2024,TR,spatial: 90th quantile,0.523415673656116
2024,ICO,scaled IUCN risk categories,NA
2024,LSP,30% marine protected area; 30% coastal protected area,varies by area of region's eez and 1 km inland
2024,CW,spatial: pressures scaled from 0-1 at raster level,NA
2024,HAB,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2024,SPP,"Average of IUCN risk categories, scaled to historic extinction",NA
