"region_id","region_name","2012","2013","2014","2015","2016"
300,"global average (EEZ only)",71.18,71.57,71.14,71.1,70.73
0,"global average (EEZ, Antarctica, High Seas)",NA,NA,69.17,69.15,69.01
1,"Cocos Islands",81.41,81.31,80.7,81.86,83.43
2,"Christmas Island",83.12,83.16,82.67,83.73,85.3
3,"Norfolk Island",80.72,85.71,82.23,81.02,80.73
4,"Macquarie Island",83.77,83.4,82.72,82.69,81.47
5,"New Caledonia",80.99,80.18,78.25,83.18,82.11
6,"Vanuatu",70.96,70.89,71.04,73.91,77.48
7,"Solomon Islands",62.13,63.18,65.23,68.91,69.39
8,"Palau",72.89,72.04,69.58,67.8,68.55
9,"Micronesia",68.01,67.85,66.42,67.27,68.92
10,"Nauru",66.5,65.52,64.46,68.48,68.53
11,"Marshall Islands",76.24,76.17,74.25,73.86,72.42
12,"Wake Island",69.52,70.01,70.16,69.43,68.99
13,"Northern Mariana Islands and Guam",74.34,74.57,71.98,71.95,72.53
14,"Taiwan",67.78,67.93,67.95,67.34,66.27
15,"Philippines",56.15,55.64,57.59,60,60.99
16,"Australia",83.36,82.14,81.02,80.12,80.1
17,"Papua New Guinea",64.46,63.57,62.11,61.42,61.98
18,"Fiji",70.32,71.56,70.49,70.72,71.24
19,"Tuvalu",69.19,73.64,74.71,76.94,77.64
20,"South Korea",67.36,66.69,68.68,69.71,70.05
21,"North Korea",58.23,53.93,53.15,52.22,51.5
24,"Cambodia",62.02,63.98,64.39,64.48,64.71
25,"Thailand",70.31,71.53,72.01,72.52,71.58
26,"Andaman and Nicobar",65.7,66.43,66.63,66.92,67.09
28,"Comoro Islands",62.25,62.47,63.48,60.71,64.31
29,"Mayotte",77.06,74.39,72.09,66.91,70.39
30,"Glorioso Islands",69.36,77.1,79.66,75.37,80.45
31,"Seychelles",80.85,83.49,85.39,82.96,85.19
32,"R_union",65.95,66.84,67.02,66.96,67.37
33,"Juan de Nova Island",69.97,71.4,74.19,69.49,74.49
34,"Bassas da India",65.84,66.91,68.27,66.98,69.46
35,"Ile Europa",73.65,74.06,74.41,74.65,74.7
36,"Ile Tromelin",69.7,70.21,70.85,70.83,69.37
37,"Mauritius",68.5,69.11,69.72,70.08,68.56
38,"British Indian Ocean Territory",78.24,76.32,75.32,75.53,75.97
39,"Maldives",68.45,71.76,76.15,73.29,76.62
40,"Sri Lanka",61.65,62.25,63.12,63.93,63.51
41,"Mozambique",61.37,65.33,69.65,70.8,70.94
42,"Madagascar",62.56,62.23,62.54,62.53,62.25
43,"Kenya",63.3,63.77,63.63,63.22,60.59
44,"Somalia",57.7,58.38,57.34,51.59,51.81
45,"Eritrea",69.24,61.17,61.16,54.21,50.52
46,"Djibouti",69.02,68.86,68.88,67.23,68.58
47,"Yemen",61.11,65.31,64.51,64.98,65.87
48,"Oman",67.64,68.37,67.05,68.78,68.8
49,"Sudan",53.98,53.48,54.57,53.8,53.09
50,"Saudi Arabia",76.79,70.52,68.12,66.2,66.14
51,"Kuwait",71.34,69.91,69.77,69.73,68.89
52,"Bahrain",65.78,64.62,63.89,63.88,64.02
53,"Pakistan",57.19,56.92,51.79,52.21,51.1
54,"United Arab Emirates",80.35,79.72,79.63,79.14,75.63
55,"Azores",77.65,76.96,75.39,76,74.9
56,"Cape Verde",67.12,67.75,67.8,67.77,67.34
57,"Madeira",73.13,72.68,72.15,75.81,75.89
58,"Canary Islands",63.78,64.11,63.32,67.32,67.16
59,"Belgium",74.88,76.15,77.1,74.72,73.18
60,"Gibraltar",66.08,66.13,65.42,67.1,67.85
61,"Tunisia",65.13,63.15,62.79,62.85,60.69
62,"Morocco",68.48,70.42,68.65,67.88,67.39
63,"Western Sahara",61.64,59.38,59.34,58.89,60.43
64,"Mauritania",58.47,58.04,57.8,57.68,57.25
65,"Gambia",67.28,67.86,67.76,67.52,66.43
66,"Senegal",47.86,48.43,48.94,49.82,50.11
67,"Libya",41.66,44.27,43.77,43.17,43.76
68,"Malta",79.05,79.27,79.14,78.91,78.98
69,"Latvia",65.5,74.45,76.39,74.91,72.6
70,"Estonia",83.3,85.45,80.37,75.68,72.81
71,"Bulgaria",58.53,61,63.42,63.44,63.19
72,"Romania",65.47,65.03,65.98,66.58,67.45
73,"Russia",73.03,73.2,73.72,74.67,75.15
74,"Georgia",63.46,65.97,66.17,65.91,68.11
75,"Ukraine",70.38,69.77,66.35,62.54,61.72
76,"Turkey",62.18,61.69,57.52,57.44,54.26
77,"Syria",59.43,59.75,58.28,58.08,54.63
78,"Lebanon",50.18,52.8,56.49,54.12,50.41
79,"Israel",65.56,65.4,65.21,64.95,63.65
80,"Greece",73.34,73.26,72.17,70.4,68.67
81,"Cyprus",57.65,57.64,57.81,58.6,58.66
82,"Albania",59.99,58.61,58.16,56.73,57.06
84,"Algeria",50.84,50.01,49.24,49.16,50.21
85,"Ascension",71.46,72.13,72.16,76.72,76.37
86,"Saint Helena",63.68,62.29,62.02,65.09,65.56
88,"Tristan da Cunha",69.45,69.7,69.5,72.5,72.28
89,"South Georgia and the South Sandwich Islands",77.06,85.72,85.89,86.94,87.92
90,"Prince Edward Islands",69.58,69.21,78.29,76.77,77.48
91,"Crozet Islands",83.06,82.68,81.93,81.5,81.94
