"r0","r1","r2","id","w","v","r2_v","r1_v","r0_v","r2_n","r1_n","r0_n","r2_n_notna","r1_n_notna","r0_n_notna","z_level","z_n","z_n_pct","z_g_score","z"
1,2,11,56,206900.204,1,0.956970453199056,0.93587016377447,0.686779206799896,13,46,220,11,35,165,"v",1,1,0,1
1,2,11,64,,,0.956970453199056,0.93587016377447,0.686779206799896,13,46,220,11,35,165,"r2",13,0.846153846153846,0.0769230769230769,0.956970453199056
1,2,11,65,742994.668,1,0.956970453199056,0.93587016377447,0.686779206799896,13,46,220,11,35,165,"v",1,1,0,1
1,2,11,66,5244832.591,1,0.956970453199056,0.93587016377447,0.686779206799896,13,46,220,11,35,165,"v",1,1,0,1
1,2,11,96,2101047.894,0.858791161524865,0.956970453199056,0.93587016377447,0.686779206799896,13,46,220,11,35,165,"v",1,1,0,0.858791161524865
1,2,11,97,1539019.525,1,0.956970453199056,0.93587016377447,0.686779206799896,13,46,220,11,35,165,"v",1,1,0,1
1,2,11,98,2867387.684,1,0.956970453199056,0.93587016377447,0.686779206799896,13,46,220,11,35,165,"v",1,1,0,1
1,2,11,99,3581042.821,0.478049630966559,0.956970453199056,0.93587016377447,0.686779206799896,13,46,220,11,35,165,"v",1,1,0,0.478049630966559
1,2,11,106,10647454.22,1,0.956970453199056,0.93587016377447,0.686779206799896,13,46,220,11,35,165,"v",1,1,0,1
1,2,11,193,,,0.956970453199056,0.93587016377447,0.686779206799896,13,46,220,11,35,165,"r2",13,0.846153846153846,0.0769230769230769,0.956970453199056
1,2,11,194,4718158.377,1,0.956970453199056,0.93587016377447,0.686779206799896,13,46,220,11,35,165,"v",1,1,0,1
1,2,11,195,8122616.734,0.798385593346387,0.956970453199056,0.93587016377447,0.686779206799896,13,46,220,11,35,165,"v",1,1,0,0.798385593346387
1,2,11,196,48620127.13,1,0.956970453199056,0.93587016377447,0.686779206799896,13,46,220,11,35,165,"v",1,1,0,1
1,2,14,28,315470.3182,0.92261434944981,0.922289955137692,0.93587016377447,0.686779206799896,17,46,220,9,35,165,"v",1,1,0,0.92261434944981
1,2,14,29,0,1,0.922289955137692,0.93587016377447,0.686779206799896,17,46,220,9,35,165,"v",1,1,0,1
1,2,14,30,,,0.922289955137692,0.93587016377447,0.686779206799896,17,46,220,9,35,165,"r2",17,0.529411764705882,0.235294117647059,0.922289955137692
1,2,14,31,0,1,0.922289955137692,0.93587016377447,0.686779206799896,17,46,220,9,35,165,"v",1,1,0,1
1,2,14,32,0,0.824136481538836,0.922289955137692,0.93587016377447,0.686779206799896,17,46,220,9,35,165,"v",1,1,0,0.824136481538836
1,2,14,33,,,0.922289955137692,0.93587016377447,0.686779206799896,17,46,220,9,35,165,"r2",17,0.529411764705882,0.235294117647059,0.922289955137692
1,2,14,34,,,0.922289955137692,0.93587016377447,0.686779206799896,17,46,220,9,35,165,"r2",17,0.529411764705882,0.235294117647059,0.922289955137692
1,2,14,35,,,0.922289955137692,0.93587016377447,0.686779206799896,17,46,220,9,35,165,"r2",17,0.529411764705882,0.235294117647059,0.922289955137692
1,2,14,36,,,0.922289955137692,0.93587016377447,0.686779206799896,17,46,220,9,35,165,"r2",17,0.529411764705882,0.235294117647059,0.922289955137692
1,2,14,37,572174.2586,0.585447987660488,0.922289955137692,0.93587016377447,0.686779206799896,17,46,220,9,35,165,"v",1,1,0,0.585447987660488
1,2,14,41,10755925.45,1,0.922289955137692,0.93587016377447,0.686779206799896,17,46,220,9,35,165,"v",1,1,0,1
1,2,14,42,9354355.714,0.598184953144643,0.922289955137692,0.93587016377447,0.686779206799896,17,46,220,9,35,165,"v",1,1,0,0.598184953144643
1,2,14,43,18173411.92,0.964856599214891,0.922289955137692,0.93587016377447,0.686779206799896,17,46,220,9,35,165,"v",1,1,0,0.964856599214891
1,2,14,44,,,0.922289955137692,0.93587016377447,0.686779206799896,17,46,220,9,35,165,"r2",17,0.529411764705882,0.235294117647059,0.922289955137692
1,2,14,45,,,0.922289955137692,0.93587016377447,0.686779206799896,17,46,220,9,35,165,"r2",17,0.529411764705882,0.235294117647059,0.922289955137692
1,2,14,46,,,0.922289955137692,0.93587016377447,0.686779206799896,17,46,220,9,35,165,"r2",17,0.529411764705882,0.235294117647059,0.922289955137692
1,2,14,202,20782369.13,1,0.922289955137692,0.93587016377447,0.686779206799896,17,46,220,9,35,165,"v",1,1,0,1
1,2,15,49,13099549.36,0.627700599475822,0.916373583196841,0.93587016377447,0.686779206799896,7,46,220,6,35,165,"v",1,1,0,0.627700599475822
1,2,15,61,3789601.47,0.964616295031496,0.916373583196841,0.93587016377447,0.686779206799896,7,46,220,6,35,165,"v",1,1,0,0.964616295031496
1,2,15,62,11793737.17,1,0.916373583196841,0.93587016377447,0.686779206799896,7,46,220,6,35,165,"v",1,1,0,1
1,2,15,63,,,0.916373583196841,0.93587016377447,0.686779206799896,7,46,220,6,35,165,"r2",7,0.857142857142857,0.0714285714285715,0.916373583196841
1,2,15,67,2294911.719,0.56816615216486,0.916373583196841,0.93587016377447,0.686779206799896,7,46,220,6,35,165,"v",1,1,0,0.56816615216486
1,2,15,84,14478825.31,1,0.916373583196841,0.93587016377447,0.686779206799896,7,46,220,6,35,165,"v",1,1,0,1
1,2,15,214,26315732.34,1,0.916373583196841,0.93587016377447,0.686779206799896,7,46,220,6,35,165,"v",1,1,0,1
1,2,17,100,1555021.325,0.886804391484369,0.914533770519259,0.93587016377447,0.686779206799896,7,46,220,7,35,165,"v",1,1,0,0.886804391484369
1,2,17,103,56467.73392,1,0.914533770519259,0.93587016377447,0.686779206799896,7,46,220,7,35,165,"v",1,1,0,1
1,2,17,104,251474.6735,0.108631103009814,0.914533770519259,0.93587016377447,0.686779206799896,7,46,220,7,35,165,"v",1,1,0,0.108631103009814
1,2,17,197,7522289.007,0.75637752771526,0.914533770519259,0.93587016377447,0.686779206799896,7,46,220,7,35,165,"v",1,1,0,0.75637752771526
1,2,17,198,687011.1732,0.558140415493996,0.914533770519259,0.93587016377447,0.686779206799896,7,46,220,7,35,165,"v",1,1,0,0.558140415493996
1,2,17,199,24030006.08,1,0.914533770519259,0.93587016377447,0.686779206799896,7,46,220,7,35,165,"v",1,1,0,1
1,2,17,200,8006411.465,0.867290004630711,0.914533770519259,0.93587016377447,0.686779206799896,7,46,220,7,35,165,"v",1,1,0,0.867290004630711
1,2,18,101,760296.993,1,1,0.93587016377447,0.686779206799896,2,46,220,2,35,165,"v",1,1,0,1
1,2,18,102,18682428.83,1,1,0.93587016377447,0.686779206799896,2,46,220,2,35,165,"v",1,1,0,1
1,9,53,1,,,0.77931519275499,0.819795351649024,0.686779206799896,6,34,220,2,16,165,"r2",6,0.333333333333333,0.333333333333333,0.77931519275499
1,9,53,2,,,0.77931519275499,0.819795351649024,0.686779206799896,6,34,220,2,16,165,"r2",6,0.333333333333333,0.333333333333333,0.77931519275499
1,9,53,3,,,0.77931519275499,0.819795351649024,0.686779206799896,6,34,220,2,16,165,"r2",6,0.333333333333333,0.333333333333333,0.77931519275499
1,9,53,4,,,0.77931519275499,0.819795351649024,0.686779206799896,6,34,220,2,16,165,"r2",6,0.333333333333333,0.333333333333333,0.77931519275499
1,9,53,16,11310359.62,0.734190621649242,0.77931519275499,0.819795351649024,0.686779206799896,6,34,220,2,16,165,"v",1,1,0,0.734190621649242
1,9,53,162,2312688.097,1,0.77931519275499,0.819795351649024,0.686779206799896,6,34,220,2,16,165,"v",1,1,0,1
1,9,54,5,104472.1691,1,0.978257119080184,0.819795351649024,0.686779206799896,5,34,220,5,16,165,"v",1,1,0,1
1,9,54,6,119216.29,1,0.978257119080184,0.819795351649024,0.686779206799896,5,34,220,5,16,165,"v",1,1,0,1
1,9,54,7,112549.3844,1,0.978257119080184,0.819795351649024,0.686779206799896,5,34,220,5,16,165,"v",1,1,0,1
1,9,54,17,2854026.534,1,0.978257119080184,0.819795351649024,0.686779206799896,5,34,220,5,16,165,"v",1,1,0,1
1,9,54,18,339769.5749,0.774102469614801,0.978257119080184,0.819795351649024,0.686779206799896,5,34,220,5,16,165,"v",1,1,0,0.774102469614801
1,9,57,8,0,0.830840826206991,0.984930673834923,0.819795351649024,0.686779206799896,13,34,220,3,16,165,"v",1,1,0,0.830840826206991
1,9,57,9,,,0.984930673834923,0.819795351649024,0.686779206799896,13,34,220,3,16,165,"r2",13,0.230769230769231,0.384615384615385,0.984930673834923
1,9,57,10,,,0.984930673834923,0.819795351649024,0.686779206799896,13,34,220,3,16,165,"r2",13,0.230769230769231,0.384615384615385,0.984930673834923
1,9,57,11,,,0.984930673834923,0.819795351649024,0.686779206799896,13,34,220,3,16,165,"r2",13,0.230769230769231,0.384615384615385,0.984930673834923
1,9,57,12,,,0.984930673834923,0.819795351649024,0.686779206799896,13,34,220,3,16,165,"r2",13,0.230769230769231,0.384615384615385,0.984930673834923
1,9,57,13,81016.714,0.984930673834923,0.984930673834923,0.819795351649024,0.686779206799896,13,34,220,3,16,165,"v",1,1,0,0.984930673834923
1,9,57,148,,,0.984930673834923,0.819795351649024,0.686779206799896,13,34,220,3,16,165,"r2",13,0.230769230769231,0.384615384615385,0.984930673834923
1,9,57,149,,,0.984930673834923,0.819795351649024,0.686779206799896,13,34,220,3,16,165,"r2",13,0.230769230769231,0.384615384615385,0.984930673834923
