"r0","r1","r2","id","w","v","r2_v","r1_v","r0_v","r2_n","r1_n","r0_n","r2_n_notna","r1_n_notna","r0_n_notna","z_level","z_n","z_n_pct","z_g_score","z"
1,2,11,56,1901136230,0.942575058877863,0.644948406054091,0.897956623451646,0.89868831656361,13,46,220,13,38,174,"v",1,1,0,0.942575058877863
1,2,11,64,3027020112,0.920450849847422,0.644948406054091,0.897956623451646,0.89868831656361,13,46,220,13,38,174,"v",1,1,0,0.920450849847422
1,2,11,65,898282865.9,1,0.644948406054091,0.897956623451646,0.89868831656361,13,46,220,13,38,174,"v",1,1,0,1
1,2,11,66,14291456855,1,0.644948406054091,0.897956623451646,0.89868831656361,13,46,220,13,38,174,"v",1,1,0,1
1,2,11,96,2973035097,1,0.644948406054091,0.897956623451646,0.89868831656361,13,46,220,13,38,174,"v",1,1,0,1
1,2,11,97,1155146230,1,0.644948406054091,0.897956623451646,0.89868831656361,13,46,220,13,38,174,"v",1,1,0,1
1,2,11,98,3620169607,1,0.644948406054091,0.897956623451646,0.89868831656361,13,46,220,13,38,174,"v",1,1,0,1
1,2,11,99,7294900431,1,0.644948406054091,0.897956623451646,0.89868831656361,13,46,220,13,38,174,"v",1,1,0,1
1,2,11,106,39199656051,0.929898347055154,0.644948406054091,0.897956623451646,0.89868831656361,13,46,220,13,38,174,"v",1,1,0,0.929898347055154
1,2,11,193,832530156.8,0.086142500039305,0.644948406054091,0.897956623451646,0.89868831656361,13,46,220,13,38,174,"v",1,1,0,0.086142500039305
1,2,11,194,5089487834,1,0.644948406054091,0.897956623451646,0.89868831656361,13,46,220,13,38,174,"v",1,1,0,1
1,2,11,195,24073812829,1,0.644948406054091,0.897956623451646,0.89868831656361,13,46,220,13,38,174,"v",1,1,0,1
1,2,11,196,2.43986e+11,0.508902709902153,0.644948406054091,0.897956623451646,0.89868831656361,13,46,220,13,38,174,"v",1,1,0,0.508902709902153
1,2,14,28,610372697.4,0.89393943134363,0.933477376019149,0.897956623451646,0.89868831656361,17,46,220,10,38,174,"v",1,1,0,0.89393943134363
1,2,14,29,9329731237.13333,1,0.933477376019149,0.897956623451646,0.89868831656361,17,46,220,10,38,174,"v",1,1,0,1
1,2,14,30,,,0.933477376019149,0.897956623451646,0.89868831656361,17,46,220,10,38,174,"r2",17,0.588235294117647,0.205882352941176,0.933477376019149
1,2,14,31,1059593501,0.706226374633932,0.933477376019149,0.897956623451646,0.89868831656361,17,46,220,10,38,174,"v",1,1,0,0.706226374633932
