"","rgn_id","year","a_prot_1km"
"1",1,2000,0
"2",1,2001,0
"3",1,2002,0
"4",1,2003,0
"5",1,2004,0
"6",1,2005,0
"7",1,2006,0
"8",1,2007,0
"9",1,2008,0
"10",1,2009,0
"11",1,2010,0
"12",1,2011,0
"13",1,2012,0
"14",1,2013,0
"15",1,2014,0
"16",1,2015,0
"17",1,2016,0
"18",1,2017,0
"19",2,2000,0
"20",2,2001,0
"21",2,2002,0
"22",2,2003,0
"23",2,2004,0
"24",2,2005,0
"25",2,2006,0
"26",2,2007,0
"27",2,2008,0
"28",2,2009,0
"29",2,2010,0
"30",2,2011,0
"31",2,2012,0
"32",2,2013,0
"33",2,2014,0
"34",2,2015,0
"35",2,2016,0
"36",2,2017,0
"37",3,2000,0
"38",3,2001,0
"39",3,2002,0
"40",3,2003,0
"41",3,2004,0
"42",3,2005,0
"43",3,2006,0
"44",3,2007,0
"45",3,2008,0
"46",3,2009,0
"47",3,2010,0
"48",3,2011,0
"49",3,2012,0
"50",3,2013,0
"51",3,2014,0
"52",3,2015,0
"53",3,2016,0
"54",3,2017,0
"55",4,2000,0
"56",4,2001,0
"57",4,2002,0
"58",4,2003,0
"59",4,2004,0
"60",4,2005,0
"61",4,2006,0
"62",4,2007,0
"63",4,2008,0
"64",4,2009,0
"65",4,2010,0
"66",4,2011,0
"67",4,2012,0
"68",4,2013,0
"69",4,2014,0
"70",4,2015,0
"71",4,2016,0
"72",4,2017,0
"73",5,2000,0
"74",5,2001,0
"75",5,2002,0
"76",5,2003,0
"77",5,2004,0
"78",5,2005,0
"79",5,2006,0
"80",5,2007,0
"81",5,2008,0
"82",5,2009,0
"83",5,2010,0
"84",5,2011,0
"85",5,2012,0
"86",5,2013,0
"87",5,2014,0
"88",5,2015,0
"89",5,2016,0
"90",5,2017,0
"91",6,2000,0
"92",6,2001,0
"93",6,2002,0
"94",6,2003,0
"95",6,2004,0
"96",6,2005,0
"97",6,2006,0
"98",6,2007,0
"99",6,2008,0
"100",6,2009,0
"101",6,2010,0
"102",6,2011,0
"103",6,2012,0
"104",6,2013,0
"105",6,2014,0
"106",6,2015,0
"107",6,2016,0
"108",6,2017,0
"109",7,2000,0
"110",7,2001,0
"111",7,2002,0
"112",7,2003,0
"113",7,2004,0
