"","rgn_id","year","gapfill_within_rgn","gapfill_territory"
"1",1,1996,0,"territory"
"2",1,1998,0,"territory"
"3",1,2000,0,"territory"
"4",1,2002,0,"territory"
"5",1,2003,0,"territory"
"6",1,2004,0,"territory"
"7",1,2005,0,"territory"
"8",1,2006,0,"territory"
"9",1,2007,0,"territory"
"10",1,2008,0,"territory"
"11",1,2009,0,"territory"
"12",1,2010,0,"territory"
"13",1,2011,0,"territory"
"14",1,2012,0,"territory"
"15",1,2013,0,"territory"
"16",1,2014,0,"territory"
"17",1,2015,0,"territory"
"18",2,1996,0,"territory"
"19",2,1998,0,"territory"
"20",2,2000,0,"territory"
"21",2,2002,0,"territory"
"22",2,2003,0,"territory"
"23",2,2004,0,"territory"
"24",2,2005,0,"territory"
"25",2,2006,0,"territory"
"26",2,2007,0,"territory"
"27",2,2008,0,"territory"
"28",2,2009,0,"territory"
"29",2,2010,0,"territory"
"30",2,2011,0,"territory"
"31",2,2012,0,"territory"
"32",2,2013,0,"territory"
"33",2,2014,0,"territory"
"34",2,2015,0,"territory"
"35",3,1996,0,"territory"
"36",3,1998,0,"territory"
"37",3,2000,0,"territory"
"38",3,2002,0,"territory"
"39",3,2003,0,"territory"
"40",3,2004,0,"territory"
"41",3,2005,0,"territory"
"42",3,2006,0,"territory"
"43",3,2007,0,"territory"
"44",3,2008,0,"territory"
"45",3,2009,0,"territory"
"46",3,2010,0,"territory"
"47",3,2011,0,"territory"
"48",3,2012,0,"territory"
"49",3,2013,0,"territory"
"50",3,2014,0,"territory"
"51",3,2015,0,"territory"
"52",4,1996,0,"territory"
"53",4,1998,0,"territory"
"54",4,2000,0,"territory"
"55",4,2002,0,"territory"
"56",4,2003,0,"territory"
"57",4,2004,0,"territory"
"58",4,2005,0,"territory"
"59",4,2006,0,"territory"
"60",4,2007,0,"territory"
"61",4,2008,0,"territory"
"62",4,2009,0,"territory"
"63",4,2010,0,"territory"
"64",4,2011,0,"territory"
"65",4,2012,0,"territory"
"66",4,2013,0,"territory"
"67",4,2014,0,"territory"
"68",4,2015,0,"territory"
"69",5,1996,1.5,"territory"
"70",5,1998,1.5,"territory"
"71",5,2000,1.5,"territory"
"72",5,2002,1.5,"territory"
"73",5,2003,1.5,"territory"
"74",5,2004,0,"territory"
"75",5,2005,0,"territory"
"76",5,2006,0,"territory"
"77",5,2007,0,"territory"
"78",5,2008,0,"territory"
"79",5,2009,0,"territory"
"80",5,2010,0,"territory"
"81",5,2011,0,"territory"
