"","rgn_id","habitat","variable","gap_fill"
"1",1,"mangrove","extent",NA
"2",2,"mangrove","extent",NA
"3",3,"mangrove","extent",NA
"4",5,"mangrove","extent",0
"5",6,"mangrove","extent",0
"6",7,"mangrove","extent",0
"7",8,"mangrove","extent",0
"8",9,"mangrove","extent",0
"9",10,"mangrove","extent",NA
"10",11,"mangrove","extent",NA
"11",12,"mangrove","extent",NA
"12",13,"mangrove","extent",NA
"13",14,"mangrove","extent",0
"14",15,"mangrove","extent",0
"15",16,"mangrove","extent",0
"16",17,"mangrove","extent",0
"17",18,"mangrove","extent",0
"18",19,"mangrove","extent",NA
"19",20,"mangrove","extent",NA
"20",24,"mangrove","extent",0
"21",25,"mangrove","extent",0
"22",26,"mangrove","extent",0
"23",28,"mangrove","extent",0
"24",29,"mangrove","extent",0
"25",30,"mangrove","extent",NA
"26",31,"mangrove","extent",0
"27",32,"mangrove","extent",NA
"28",33,"mangrove","extent",NA
"29",34,"mangrove","extent",NA
"30",35,"mangrove","extent",NA
"31",36,"mangrove","extent",NA
"32",37,"mangrove","extent",NA
"33",38,"mangrove","extent",NA
"34",39,"mangrove","extent",0
"35",40,"mangrove","extent",0
"36",41,"mangrove","extent",0
"37",42,"mangrove","extent",0
"38",43,"mangrove","extent",0
"39",44,"mangrove","extent",0
"40",45,"mangrove","extent",0
"41",46,"mangrove","extent",0
"42",47,"mangrove","extent",0
"43",48,"mangrove","extent",0
"44",49,"mangrove","extent",0
"45",50,"mangrove","extent",0
"46",51,"mangrove","extent",NA
"47",52,"mangrove","extent",0
"48",53,"mangrove","extent",0
"49",54,"mangrove","extent",0
"50",56,"mangrove","extent",NA
"51",57,"mangrove","extent",NA
"52",58,"mangrove","extent",NA
"53",61,"mangrove","extent",NA
"54",62,"mangrove","extent",0
"55",63,"mangrove","extent",NA
"56",64,"mangrove","extent",NA
"57",65,"mangrove","extent",0
"58",66,"mangrove","extent",0
"59",67,"mangrove","extent",NA
"60",77,"mangrove","extent",NA
"61",79,"mangrove","extent",NA
"62",84,"mangrove","extent",NA
"63",85,"mangrove","extent",NA
"64",86,"mangrove","extent",NA
"65",88,"mangrove","extent",NA
"66",92,"mangrove","extent",NA
"67",96,"mangrove","extent",0
"68",97,"mangrove","extent",0
"69",98,"mangrove","extent",0
"70",99,"mangrove","extent",0
"71",100,"mangrove","extent",NA
"72",101,"mangrove","extent",NA
"73",102,"mangrove","extent",0
"74",103,"mangrove","extent",NA
"75",104,"mangrove","extent",0
"76",106,"mangrove","extent",0
"77",107,"mangrove","extent",NA
"78",108,"mangrove","extent",0
"79",110,"mangrove","extent",0
"80",111,"mangrove","extent",0
"81",112,"mangrove","extent",0
"82",113,"mangrove","extent",0
"83",114,"mangrove","extent",0
"84",115,"mangrove","extent",0
"85",116,"mangrove","extent",0
"86",117,"mangrove","extent",0
"87",118,"mangrove","extent",0
"88",119,"mangrove","extent",0
"89",120,"mangrove","extent",0
"90",121,"mangrove","extent",NA
"91",122,"mangrove","extent",0
"92",123,"mangrove","extent",NA
"93",124,"mangrove","extent",0
"94",125,"mangrove","extent",0
"95",126,"mangrove","extent",0
"96",127,"mangrove","extent",0
"97",129,"mangrove","extent",0
"98",130,"mangrove","extent",0
"99",131,"mangrove","extent",0
"100",132,"mangrove","extent",0
"101",133,"mangrove","extent",0
"102",134,"mangrove","extent",0
"103",135,"mangrove","extent",0
"104",136,"mangrove","extent",0
"105",137,"mangrove","extent",0
"106",138,"mangrove","extent",0
"107",139,"mangrove","extent",0
"108",140,"mangrove","extent",0
"109",146,"mangrove","extent",NA
"110",147,"mangrove","extent",NA
"111",148,"mangrove","extent",NA
"112",149,"mangrove","extent",NA
"113",150,"mangrove","extent",NA
"114",151,"mangrove","extent",NA
"115",152,"mangrove","extent",NA
"116",153,"mangrove","extent",NA
"117",154,"mangrove","extent",NA
"118",155,"mangrove","extent",NA
"119",156,"mangrove","extent",NA
"120",157,"mangrove","extent",NA
"121",158,"mangrove","extent",NA
"122",159,"mangrove","extent",NA
"123",161,"mangrove","extent",NA
"124",162,"mangrove","extent",0
"125",163,"mangrove","extent",0
"126",164,"mangrove","extent",0
"127",166,"mangrove","extent",0
"128",167,"mangrove","extent",0
"129",168,"mangrove","extent",0
"130",169,"mangrove","extent",0
"131",171,"mangrove","extent",0
"132",172,"mangrove","extent",NA
"133",173,"mangrove","extent",NA
"134",190,"mangrove","extent",0
"135",191,"mangrove","extent",0
"136",192,"mangrove","extent",NA
"137",193,"mangrove","extent",0
"138",194,"mangrove","extent",0
"139",195,"mangrove","extent",0
"140",196,"mangrove","extent",0
"141",197,"mangrove","extent",0
"142",198,"mangrove","extent",0
"143",199,"mangrove","extent",0
"144",200,"mangrove","extent",0
"145",202,"mangrove","extent",0
"146",203,"mangrove","extent",0
"147",204,"mangrove","extent",0
"148",205,"mangrove","extent",0
"149",206,"mangrove","extent",0
"150",207,"mangrove","extent",0
"151",208,"mangrove","extent",0
"152",209,"mangrove","extent",0
"153",210,"mangrove","extent",0
"154",212,"mangrove","extent",NA
"155",214,"mangrove","extent",0
"156",215,"mangrove","extent",NA
"157",216,"mangrove","extent",0
"158",220,"mangrove","extent",NA
"159",221,"mangrove","extent",0
"160",224,"mangrove","extent",NA
"161",231,"mangrove","extent",0
"162",237,"mangrove","extent",0
"163",244,"mangrove","extent",0
"164",245,"mangrove","extent",0
"165",247,"mangrove","extent",0
"166",248,"mangrove","extent",NA
"167",249,"mangrove","extent",NA
"168",250,"mangrove","extent",0
"169",255,"mangrove","extent",0
"170",263,"mangrove","extent",NA
"171",264,"mangrove","extent",NA
"172",266,"mangrove","extent",NA
"173",267,"mangrove","extent",NA
"174",269,"mangrove","extent",NA
"175",270,"mangrove","extent",NA
"176",272,"mangrove","extent",NA
"177",274,"mangrove","extent",NA
"178",275,"mangrove","extent",NA
"179",276,"mangrove","extent",NA
"180",277,"mangrove","extent",NA
"181",301,"mangrove","extent",NA
"182",306,"mangrove","extent",NA
"183",307,"mangrove","extent",NA
"184",308,"mangrove","extent",NA
"185",309,"mangrove","extent",NA
"186",310,"mangrove","extent",NA
"187",311,"mangrove","extent",NA
"188",312,"mangrove","extent",NA
"189",314,"mangrove","extent",NA
"190",317,"mangrove","extent",NA
"191",321,"mangrove","extent",NA
"192",322,"mangrove","extent",NA
"193",325,"mangrove","extent",NA
"194",326,"mangrove","extent",NA
"195",327,"mangrove","extent",NA
"196",328,"mangrove","extent",NA
"197",334,"mangrove","extent",NA
"198",336,"mangrove","extent",NA
"199",337,"mangrove","extent",NA
