"","rgn_id","gapfilled","method","error"
"1",5,0,NA,NA
"2",6,0,NA,NA
"3",7,0,NA,NA
"4",8,0,NA,NA
"5",9,0,NA,NA
"6",10,0,NA,NA
"7",11,0,NA,NA
"8",13,0,NA,NA
"9",15,0,NA,NA
"10",16,0,NA,NA
"11",17,0,NA,NA
"12",18,0,NA,NA
"13",19,0,NA,NA
"14",20,0,NA,NA
"15",21,0,NA,NA
"16",24,0,NA,NA
"17",25,0,NA,NA
"18",28,0,NA,NA
"19",31,0,NA,NA
"20",37,0,NA,NA
"21",39,0,NA,NA
"22",40,0,NA,NA
"23",41,0,NA,NA
"24",42,0,NA,NA
"25",43,0,NA,NA
"26",44,0,NA,NA
"27",46,0,NA,NA
"28",47,0,NA,NA
"29",48,0,NA,NA
"30",49,0,NA,NA
"31",50,0,NA,NA
"32",51,0,NA,NA
"33",52,0,NA,NA
"34",53,0,NA,NA
"35",54,0,NA,NA
"36",56,0,NA,NA
"37",59,0,NA,NA
"38",60,0,NA,NA
"39",61,0,NA,NA
"40",62,0,NA,NA
"41",64,0,NA,NA
"42",65,0,NA,NA
"43",66,0,NA,NA
"44",67,0,NA,NA
"45",68,0,NA,NA
"46",69,0,NA,NA
"47",70,0,NA,NA
"48",71,0,NA,NA
"49",72,0,NA,NA
"50",73,0,NA,NA
"51",74,0,NA,NA
"52",75,0,NA,NA
"53",76,0,NA,NA
"54",77,0,NA,NA
"55",78,0,NA,NA
"56",79,0,NA,NA
"57",80,0,NA,NA
"58",81,0,NA,NA
"59",82,0,NA,NA
"60",84,0,NA,NA
"61",96,0,NA,NA
"62",97,0,NA,NA
"63",98,0,NA,NA
"64",99,0,NA,NA
"65",100,0,NA,NA
"66",101,0,NA,NA
"67",102,0,NA,NA
"68",103,0,NA,NA
"69",104,0,NA,NA
"70",106,0,NA,NA
"71",108,0,NA,NA
"72",110,0,NA,NA
"73",111,0,NA,NA
"74",112,0,NA,NA
"75",113,0,NA,NA
"76",114,0,NA,NA
"77",115,0,NA,NA
"78",116,0,NA,NA
"79",117,0,NA,NA
"80",119,0,NA,NA
"81",120,0,NA,NA
"82",122,0,NA,NA
"83",123,0,NA,NA
"84",124,0,NA,NA
"85",125,0,NA,NA
"86",126,0,NA,NA
"87",127,0,NA,NA
"88",129,0,NA,NA
"89",130,0,NA,NA
"90",131,0,NA,NA
"91",132,0,NA,NA
"92",133,0,NA,NA
"93",134,0,NA,NA
"94",135,0,NA,NA
"95",136,0,NA,NA
"96",137,0,NA,NA
"97",138,0,NA,NA
"98",139,0,NA,NA
"99",141,0,NA,NA
"100",143,0,NA,NA
"101",145,0,NA,NA
"102",147,0,NA,NA
"103",151,1,"lm_population",NA
"104",152,0,NA,NA
"105",155,0,NA,NA
"106",162,0,NA,NA
"107",163,0,NA,NA
"108",164,0,NA,NA
"109",166,0,NA,NA
"110",167,0,NA,NA
"111",168,0,NA,NA
"112",171,0,NA,NA
"113",172,0,NA,NA
"114",173,0,NA,NA
"115",174,0,NA,NA
"116",175,0,NA,NA
"117",176,0,NA,NA
"118",177,0,NA,NA
"119",178,0,NA,NA
"120",179,0,NA,NA
"121",180,0,NA,NA
"122",181,0,NA,NA
"123",182,0,NA,NA
"124",183,0,NA,NA
"125",184,0,NA,NA
"126",185,0,NA,NA
"127",186,0,NA,NA
"128",187,0,NA,NA
"129",188,0,NA,NA
"130",189,0,NA,NA
"131",190,0,NA,NA
"132",191,0,NA,NA
"133",192,0,NA,NA
"134",193,0,NA,NA
"135",194,0,NA,NA
"136",195,0,NA,NA
"137",196,0,NA,NA
"138",197,0,NA,NA
"139",198,0,NA,NA
"140",199,0,NA,NA
"141",200,0,NA,NA
"142",202,0,NA,NA
"143",203,0,NA,NA
"144",204,0,NA,NA
"145",205,0,NA,NA
"146",206,0,NA,NA
"147",207,0,NA,NA
"148",208,0,NA,NA
"149",209,0,NA,NA
"150",210,0,NA,NA
"151",212,0,NA,NA
"152",214,0,NA,NA
"153",215,0,NA,NA
"154",216,0,NA,NA
"155",218,0,NA,NA
"156",220,0,NA,NA
"157",221,1,"lm_population",NA
"158",222,0,NA,NA
"159",223,0,NA,NA
"160",224,0,NA,NA
"161",227,0,NA,NA
"162",228,0,NA,NA
"163",231,0,NA,NA
"164",232,0,NA,NA
"165",244,0,NA,NA
"166",247,0,NA,NA
"167",250,0,NA,NA
"168",1,0,NA,NA
"169",2,0,NA,NA
"170",3,0,NA,NA
"171",4,1,"lm_population",NA
"172",12,1,"lm_population",NA
"173",14,0,NA,NA
"174",26,1,"lm_population",NA
"175",29,1,"lm_population",NA
"176",30,1,"lm_population",NA
"177",32,0,NA,NA
"178",33,1,"lm_population",NA
"179",34,1,"lm_population",NA
"180",35,1,"lm_population",NA
"181",36,1,"lm_population",NA
"182",38,1,"lm_population",NA
"183",45,0,NA,NA
"184",55,1,"lm_population",NA
"185",57,1,"lm_population",NA
"186",58,1,"lm_population",NA
"187",63,1,"lm_population",NA
"188",85,1,"lm_population",NA
"189",86,0,NA,NA
"190",88,1,"lm_population",NA
"191",89,1,"lm_population",NA
"192",90,1,"lm_population",NA
"193",91,1,"lm_population",NA
"194",92,1,"lm_population",NA
"195",93,1,"lm_population",NA
"196",94,1,"lm_population",NA
"197",95,0,NA,NA
"198",105,1,"lm_population",NA
"199",107,1,"lm_population",NA
"200",118,0,NA,NA
"201",121,0,NA,NA
"202",140,0,NA,NA
"203",144,1,"lm_population",NA
"204",146,1,"lm_population",NA
"205",148,1,"lm_population",NA
"206",149,1,"lm_population",NA
"207",150,1,"lm_population",NA
"208",153,0,NA,NA
"209",154,0,NA,NA
"210",156,0,NA,NA
"211",157,1,"lm_population",NA
"212",158,1,"lm_population",NA
"213",159,1,"lm_population",NA
"214",161,1,"lm_population",NA
"215",169,0,NA,NA
"216",219,0,NA,NA
"217",237,1,"lm_population",NA
"218",245,0,NA,NA
"219",248,0,NA,NA
"220",249,0,NA,NA
