"country","Index","region_id","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"eez_weighted_avg",0.27,0,0.17,0.01,0.03,0.04,-0.04,0.01,-0.02,1.96,1.29,0.6,0.08,0.03,0.38,0.01,0.39,0.72,-0.37,0.83
"Republique du Congo",4.69,100,0,-0.06,-0.07,-0.09,,,-0.2,7.21,3.61,0.01,-0.96,-0.96,,-0.04,-0.06,-0.08,35.37,-0.12
"Prince Edward Islands",4.27,90,,-0.05,-0.02,0,,,-1.02,,,,-0.04,-0.04,,,18.16,18.16,,
"Samoa",3.99,152,0.11,0.1,0.05,0,0,0.12,0.04,3.66,1.87,0.08,0.4,0.4,0,0.07,0.04,0,27.89,9.35
"South Georgia and the South Sandwich Islands",3.89,89,,0,1.39,2.79,,,0,,,,-0.53,-0.53,,0.19,14.71,29.23,,
"Glorioso Islands",3.85,30,0.05,-0.12,-0.06,0,0,,-0.09,0.01,-0.3,-0.61,,,,,30,30,,-2.66
"Mozambique",2.73,41,-0.08,-0.22,-0.23,-0.24,-0.21,0,-0.23,0,0,0,-0.19,-0.05,-0.04,-0.16,8.05,16.26,20.52,-0.43
"Tuvalu",2.54,19,-0.04,-0.14,-0.07,0,0,,1.07,21.07,10.54,0,0.15,0.15,-0.01,-0.1,-0.05,-0.01,,8.75
"Tokelau",2.29,156,0.04,0.03,0.04,0.06,0.16,0.02,0.28,6.24,3.16,0.09,0.34,0.34,,0.03,0.01,0,,16.56
"Phoenix Group",2.14,157,0.09,0,0,0,0,,0.01,2.81,1.78,0.75,,,,,0,0,,13.1
"Line Group",2.13,148,0.09,-0.01,0,0,0,,0.1,2.81,1.78,0.76,,,,,0,0,,12.99
"Bosnia and Herzegovina",1.95,232,0.18,0.18,0.15,0.11,,,-0.59,0,0.11,0.21,0.43,4.02,-0.19,0.11,3.86,7.61,,5.92
"Nauru",1.82,10,0.01,-0.16,-0.08,0,0.04,,-0.12,4.28,2.45,0.61,0.15,0.15,0.03,-0.12,-0.06,0,,12.12
"Latvia",1.66,69,4.02,0.11,-0.44,-0.99,-2.18,0.03,-0.25,0,3.59,7.18,0.75,0.75,,,0,0,12.39,-1.27
"United Kingdom",1.66,180,0.33,0.02,2.46,4.89,7.97,0.02,0.28,1.56,-0.35,-2.26,0.33,0.52,0.03,0.03,0.01,0,2.14,3.26
"French Polynesia",1.65,147,-0.03,-0.1,-0.05,0,0,-0.09,-0.04,10.51,5.25,0,0.26,0.42,2.01,-0.07,-0.04,0,-0.18,11.26
"Croatia",1.64,187,0.23,0.03,0.01,0,,,-0.63,0,-0.05,-0.1,0.35,0.27,-0.08,0.01,13.4,26.79,-0.13,0
"Maldives",1.62,39,0.08,-0.06,-0.03,0,-0.14,-0.09,-0.57,1.43,0.72,0,0.54,0.54,,-0.05,-0.02,0,15.78,-0.08
"Georgia",1.55,74,0.28,0.21,0.11,0,,,0.23,10.62,5.31,0,0.52,0.52,,0.16,0.12,0.08,1.34,4.51
"Ascension",1.54,85,0.75,0.01,0,0,,,0.03,2.01,0.44,-1.14,0.01,0.01,,0,4.6,9.2,,4.96
"Wallis and Futuna",1.54,161,-0.03,-0.09,-0.05,0,0,,0.12,6.07,3.08,0.09,0,0,,-0.07,-0.04,0,,9.24
"Bulgaria",1.5,71,0.02,-0.09,-0.04,0,,,-0.4,0,-0.01,-0.04,0.26,-0.98,1.42,-0.07,-0.04,0,13.74,-0.29
"Qatar",1.4,190,0,0.05,0.02,0,0.01,-0.02,-0.92,12.65,6.4,0.14,-0.27,-0.27,0,0.02,0.01,0,,7.34
"Norfolk Island",1.36,3,0.56,0.26,0.13,0,,,-0.03,0.09,0.61,1.13,0.14,0.14,,0.17,10.81,21.45,,-2.69
"American Samoa",1.29,151,0.02,0,0,0,0.05,0.03,-0.05,6.05,3.02,-0.01,0.33,0.33,,0,-1.24,-2.48,,9.42
"Monaco",1.26,185,0.19,-0.01,-0.01,,,,-0.03,0.05,0.64,1.23,0.33,0.33,,-0.01,6.71,13.43,,1.01
"Panama",1.25,129,0.54,-0.02,-0.03,-0.03,-0.04,-0.02,-0.21,0.12,0.06,0,0.3,-0.54,0.35,-0.03,-0.03,-0.03,-1.2,13.94
"Madeira",1.21,57,-0.17,0.01,0.01,0,,,0.25,-0.04,0.16,0.36,-0.31,-0.31,,,-0.15,-0.15,,8.7
"Mauritania",1.2,64,0.09,0.03,0.01,0,,,0,0.04,-0.19,-0.43,-0.57,-0.57,,0,0,0,6.24,4.02
"Bangladesh",1.16,204,-0.09,-0.22,-0.11,0,0,0,-0.15,0,0,0,-0.01,0.15,0.4,-0.11,-0.1,-0.09,12.35,-0.42
"Sri Lanka",1.15,40,0.33,0.03,0.02,0,0,0,0.67,7.78,3.89,-0.01,0.02,0.01,0,0.01,0.01,0.01,3.05,3.5
"Niue",1.05,154,0.01,-0.03,-0.03,-0.03,-0.11,-0.01,-0.13,0.01,0.09,0.19,0.3,0.3,,-0.02,-0.01,0,,9.32
"Mauritius",1.01,37,0.3,0.02,0.01,0,-0.08,-0.02,0.08,1.08,0.97,0.84,0.34,0.49,-0.01,0.01,0.01,0.01,8.35,0
"Vietnam",1.01,207,0.08,-0.02,0.01,0.03,0,0.04,0.66,4.09,2.07,0.07,0,0.25,0.81,0.01,0.01,0,6.91,0.09
"Tonga",0.96,155,0.13,0.13,0.06,0,0.07,0.1,0.18,7.33,3.66,0,0.43,0.43,0,0.09,0.05,0,-3.98,8.97
