"region","Index","AO","SPP","BD","HAB","CP","CS","CW","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"Andaman and Nicobar",64,98,6,52,97,52,52,18,82,82,NA,NA,NA,7,NA,98
"Glorioso Islands",63,97,6,51,97,52,NA,18,NA,NA,NA,NA,NA,7,NA,98
"Juan de Nova Island",63,97,6,51,97,52,NA,18,NA,NA,NA,NA,NA,7,NA,98
"Bassas da India",63,97,6,51,97,52,NA,18,NA,NA,NA,NA,NA,7,NA,98
"Ile Europa",63,97,6,51,97,52,NA,18,NA,NA,NA,NA,NA,7,NA,98
"Line Group",63,97,6,51,97,52,NA,18,NA,NA,NA,NA,NA,7,NA,98
"Phoenix Group",63,97,6,51,97,52,NA,18,NA,NA,NA,NA,NA,7,NA,98
"Jersey",61,97,6,51,97,52,52,18,NA,NA,67,NA,NA,7,NA,98
"Guernsey",61,97,6,51,97,52,52,18,NA,NA,67,NA,NA,7,NA,98
"Oecussi Ambeno",61,97,6,51,97,52,51,18,NA,NA,NA,NA,NA,7,NA,98
"Madeira",60,97,6,51,97,NA,NA,18,34,34,NA,NA,NA,7,NA,98
"Azores",58,97,6,51,97,NA,NA,18,26,26,NA,NA,NA,7,NA,98
"Canary Islands",58,97,6,51,97,52,52,18,36,36,NA,NA,NA,7,NA,98
"Montserrat",58,97,6,51,97,52,52,18,94,94,NA,5,6,7,NA,98
"Tristan da Cunha",55,97,6,51,97,NA,NA,18,62,62,NA,5,6,7,NA,98
"Christmas Island",54,97,6,51,97,52,52,18,60,60,NA,5,6,7,NA,98
"Norfolk Island",54,97,6,51,97,NA,NA,18,53,53,NA,7,7,7,NA,98
"Macquarie Island",54,97,6,51,97,NA,NA,18,5,5,NA,NA,NA,7,NA,98
"Wake Island",54,97,6,51,97,52,NA,18,56,56,NA,5,6,7,NA,98
"Ile Tromelin",54,97,6,51,97,52,NA,18,8,8,NA,NA,NA,7,NA,98
"Cocos Islands",53,97,6,51,97,52,52,18,47,47,NA,5,6,7,NA,98
"Mayotte",53,97,6,51,97,52,52,18,50,50,75,5,6,7,NA,98
"Northern Saint-Martin",53,97,6,49,93,52,52,18,NA,NA,NA,5,6,7,NA,98
"Turks and Caicos Islands",52,97,6,49,93,52,52,18,90,90,52,5,6,7,5,98
"Palmyra Atoll",52,97,6,51,97,52,NA,18,42,42,NA,5,6,7,NA,98
"Ascension",51,97,6,51,97,NA,NA,18,34,34,NA,5,6,7,NA,98
"Johnston Atoll",51,97,6,51,97,52,NA,18,33,33,NA,5,6,7,NA,98
"Northern Mariana Islands and Guam",50,93,2,47,93,48,47,2,66,67,71,1,2,3,NA,94
"American Samoa",49,93,2,48,93,48,47,2,61,61,NA,1,2,3,NA,94
"Howland Island and Baker Island",48,98,6,52,97,52,NA,18,10,10,NA,6,6,7,NA,98
"British Virgin Islands",47,97,6,49,93,52,52,6,62,62,NA,5,6,7,NA,52
"Guadeloupe and Martinique",47,93,2,47,93,47,47,12,76,76,48,1,2,2,NA,48
"Pitcairn",47,96,6,51,97,51,NA,18,9,9,NA,5,6,6,NA,98
"Tokelau",47,97,6,51,97,52,52,6,17,17,NA,5,6,7,NA,98
"Wallis and Futuna",47,98,6,52,97,52,NA,18,8,8,NA,6,6,7,NA,98
"Curacao",47,93,2,43,84,47,39,14,NA,NA,94,1,2,2,NA,94
