"(Sub)Goal","Region_id","Region_label","Score"
"Index",0,"Fiji",71.9
"FIS",0,"Fiji",90
"FP",0,"Fiji",89.95
"MAR",0,"Fiji",0.08
"AO",0,"Fiji",92.5
"CS",0,"Fiji",56.48
"CP",0,"Fiji",76.26
"TR",0,"Fiji",96.62
"LIV",0,"Fiji",52.04
"LE",0,"Fiji",65.59
"ECO",0,"Fiji",79.13
"ICO",0,"Fiji",60.25
"SP",0,"Fiji",54.38
"LSP",0,"Fiji",48.5
"CW",0,"Fiji",73.67
"HAB",0,"Fiji",78.49
"BD",0,"Fiji",77.88
"SPP",0,"Fiji",77.27
"NP",0,"Fiji",35.67
