"(Sub)Goal","Region_id","Region_label","Score"
"Index",0,"Brazil",60
"Index",1,"Alagoas",55
"Index",2,"Amapa",62
"Index",3,"Bahia",66
"Index",4,"Ceara",56
"Index",5,"Espirito Santo",57
"Index",6,"Maranhao",57
"Index",7,"Para",55
"Index",8,"Paraiba",55
"Index",9,"Pernambuco",60
"Index",10,"Piaui",47
"Index",11,"Parana",60
"Index",12,"Rio de Janeiro",71
"Index",13,"Rio Grande Do Norte",50
"Index",14,"Rio Grande Do Sul",60
"Index",15,"Santa Catarina",62
"Index",16,"Sergipe",54
"Index",17,"Sao Paulo",66
"FIS",0,"Brazil",42
"FIS",1,"Alagoas",40
"FIS",2,"Amapa",42
"FIS",3,"Bahia",41
"FIS",4,"Ceara",41
"FIS",5,"Espirito Santo",42
"FIS",6,"Maranhao",40
"FIS",7,"Para",41
"FIS",8,"Paraiba",40
"FIS",9,"Pernambuco",41
"FIS",10,"Piaui",40
"FIS",11,"Parana",42
"FIS",12,"Rio de Janeiro",44
"FIS",13,"Rio Grande Do Norte",40
"FIS",14,"Rio Grande Do Sul",43
"FIS",15,"Santa Catarina",42
"FIS",16,"Sergipe",40
"FIS",17,"Sao Paulo",45
"FP",0,"Brazil",36
"FP",1,"Alagoas",33
"FP",2,"Amapa",42
"FP",3,"Bahia",34
"FP",4,"Ceara",36
"FP",5,"Espirito Santo",35
"FP",6,"Maranhao",34
"FP",7,"Para",34
"FP",8,"Paraiba",33
"FP",9,"Pernambuco",34
"FP",10,"Piaui",33
"FP",11,"Parana",40
"FP",12,"Rio de Janeiro",36
"FP",13,"Rio Grande Do Norte",34
"FP",14,"Rio Grande Do Sul",36
"FP",15,"Santa Catarina",46
"FP",16,"Sergipe",34
"FP",17,"Sao Paulo",37
"MAR",0,"Brazil",6
"MAR",1,"Alagoas",1
"MAR",2,"Amapa",NA
"MAR",3,"Bahia",1
"MAR",4,"Ceara",12
"MAR",5,"Espirito Santo",3
"MAR",6,"Maranhao",0
"MAR",7,"Para",0
"MAR",8,"Paraiba",1
"MAR",9,"Pernambuco",2
"MAR",10,"Piaui",1
"MAR",11,"Parana",27
"MAR",12,"Rio de Janeiro",0
"MAR",13,"Rio Grande Do Norte",5
"MAR",14,"Rio Grande Do Sul",0
"MAR",15,"Santa Catarina",66
"MAR",16,"Sergipe",2
"MAR",17,"Sao Paulo",1
"AO",0,"Brazil",62
"AO",1,"Alagoas",59
"AO",2,"Amapa",62
"AO",3,"Bahia",61
"AO",4,"Ceara",60
"AO",5,"Espirito Santo",61
"AO",6,"Maranhao",60
"AO",7,"Para",60
"AO",8,"Paraiba",59
"AO",9,"Pernambuco",60
"AO",10,"Piaui",59
"AO",11,"Parana",63
"AO",12,"Rio de Janeiro",65
"AO",13,"Rio Grande Do Norte",59
"AO",14,"Rio Grande Do Sul",63
"AO",15,"Santa Catarina",62
"AO",16,"Sergipe",60
"AO",17,"Sao Paulo",66
"NP",0,"Brazil",29
"NP",1,"Alagoas",28
"NP",2,"Amapa",28
"NP",3,"Bahia",29
"NP",4,"Ceara",29
"NP",5,"Espirito Santo",29
"NP",6,"Maranhao",28
"NP",7,"Para",28
"NP",8,"Paraiba",28
"NP",9,"Pernambuco",29
"NP",10,"Piaui",27
"NP",11,"Parana",29
"NP",12,"Rio de Janeiro",30
"NP",13,"Rio Grande Do Norte",28
"NP",14,"Rio Grande Do Sul",30
"NP",15,"Santa Catarina",29
"NP",16,"Sergipe",28
"NP",17,"Sao Paulo",30
"CS",0,"Brazil",89
"CS",1,"Alagoas",90
"CS",2,"Amapa",93
"CS",3,"Bahia",93
"CS",4,"Ceara",75
"CS",5,"Espirito Santo",95
"CS",6,"Maranhao",87
"CS",7,"Para",92
"CS",8,"Paraiba",87
"CS",9,"Pernambuco",85
"CS",10,"Piaui",81
"CS",11,"Parana",95
"CS",12,"Rio de Janeiro",99
"CS",13,"Rio Grande Do Norte",33
"CS",14,"Rio Grande Do Sul",100
"CS",15,"Santa Catarina",93
"CS",16,"Sergipe",89
"CS",17,"Sao Paulo",97
"CP",0,"Brazil",92
"CP",1,"Alagoas",89
"CP",2,"Amapa",94
"CP",3,"Bahia",93
"CP",4,"Ceara",76
"CP",5,"Espirito Santo",94
"CP",6,"Maranhao",88
"CP",7,"Para",93
"CP",8,"Paraiba",89
"CP",9,"Pernambuco",88
"CP",10,"Piaui",82
"CP",11,"Parana",96
"CP",12,"Rio de Janeiro",99
"CP",13,"Rio Grande Do Norte",74
"CP",14,"Rio Grande Do Sul",100
"CP",15,"Santa Catarina",94
"CP",16,"Sergipe",90
"CP",17,"Sao Paulo",97
"LIV",0,"Brazil",56
"LIV",1,"Alagoas",55
"LIV",2,"Amapa",54
"LIV",3,"Bahia",56
"LIV",4,"Ceara",55
"LIV",5,"Espirito Santo",56
"LIV",6,"Maranhao",55
"LIV",7,"Para",55
"LIV",8,"Paraiba",55
"LIV",9,"Pernambuco",56
"LIV",10,"Piaui",54
"LIV",11,"Parana",56
"LIV",12,"Rio de Janeiro",57
"LIV",13,"Rio Grande Do Norte",55
"LIV",14,"Rio Grande Do Sul",57
"LIV",15,"Santa Catarina",56
"LIV",16,"Sergipe",55
"LIV",17,"Sao Paulo",58
"LE",0,"Brazil",52
"LE",1,"Alagoas",51
"LE",2,"Amapa",50
"LE",3,"Bahia",52
"LE",4,"Ceara",51
"LE",5,"Espirito Santo",52
"LE",6,"Maranhao",50
"LE",7,"Para",50
"LE",8,"Paraiba",51
"LE",9,"Pernambuco",52
"LE",10,"Piaui",50
"LE",11,"Parana",53
"LE",12,"Rio de Janeiro",54
"LE",13,"Rio Grande Do Norte",50
"LE",14,"Rio Grande Do Sul",53
"LE",15,"Santa Catarina",52
"LE",16,"Sergipe",51
"LE",17,"Sao Paulo",54
"ECO",0,"Brazil",48
"ECO",1,"Alagoas",46
"ECO",2,"Amapa",46
"ECO",3,"Bahia",48
"ECO",4,"Ceara",47
"ECO",5,"Espirito Santo",48
"ECO",6,"Maranhao",46
"ECO",7,"Para",46
"ECO",8,"Paraiba",46
"ECO",9,"Pernambuco",48
"ECO",10,"Piaui",45
"ECO",11,"Parana",49
"ECO",12,"Rio de Janeiro",50
"ECO",13,"Rio Grande Do Norte",46
"ECO",14,"Rio Grande Do Sul",49
"ECO",15,"Santa Catarina",49
"ECO",16,"Sergipe",47
"ECO",17,"Sao Paulo",51
"TR",0,"Brazil",31
"TR",1,"Alagoas",22
"TR",2,"Amapa",3
"TR",3,"Bahia",88
"TR",4,"Ceara",34
"TR",5,"Espirito Santo",15
"TR",6,"Maranhao",9
"TR",7,"Para",1
"TR",8,"Paraiba",11
"TR",9,"Pernambuco",58
"TR",10,"Piaui",2
"TR",11,"Parana",3
"TR",12,"Rio de Janeiro",100
"TR",13,"Rio Grande Do Norte",33
"TR",14,"Rio Grande Do Sul",5
"TR",15,"Santa Catarina",37
"TR",16,"Sergipe",11
"TR",17,"Sao Paulo",29
"ICO",0,"Brazil",47
"ICO",1,"Alagoas",46
