"species_code","species"
310,"Blue shrimp"
625,"Pacific cupped oyster"
276,"Blue shrimp"
570,"Giant tiger prawn"
815,"Bear paw clam"
816,"Crocus giant clam"
817,"Elongate giant clam"
242,"Fluted giant clam"
626,"Giant clam"
243,"Milkfish"
818,"Smooth giant clam"
407,"Clams, etc. nei"
408,"Milkfish"
95,"Milkfish"
238,"Banana prawn"
874,"Milkfish"
417,"Mullets nei"
875,"Whiteleg shrimp"
266,"Abalones nei"
632,"Abalones nei"
455,"Amberjacks nei"
456,"Amberjacks nei"
633,"Barramundi"
634,"Barramundi"
635,"Blackhead seabream"
636,"Blackhead seabream"
171,"Blood cockle"
181,"Clams, etc. nei"
182,"Clams, etc. nei"
457,"Cobia"
964,"Cobia"
458,"Croakers, drums nei"
138,"Flathead grey mullet"
519,"Flathead grey mullet"
459,"Fourfinger threadfin"
172,"Giant tiger prawn"
178,"Greasyback shrimp"
946,"Greater amberjack"
460,"Groupers nei"
637,"Groupers nei"
139,"Indo-Pacific swamp crab"
191,"Japanese carpet shell"
638,"Japanese carpet shell"
179,"Japanese eel"
140,"Japanese hard clam"
193,"Japanese hard clam"
267,"Japanese spiny lobster"
461,"Japanese spiny lobster"
183,"Kuruma prawn"
639,"Kuruma prawn"
306,"Laver (Nori)"
280,"Marine crabs nei"
520,"Marine crabs nei"
141,"Marine fishes nei"
462,"Marine fishes nei"
184,"Marine molluscs nei"
268,"Marine molluscs nei"
142,"Milkfish"
143,"Natantian decapods nei"
144,"Pacific cupped oyster"
544,"Porgies, seabreams nei"
640,"Porgies, seabreams nei"
545,"Redtail prawn"
684,"Snappers, jobfishes nei"
685,"Snappers, jobfishes nei"
932,"Trumpet emperor"
174,"Warty gracilaria"
463,"Warty gracilaria"
786,"Whiteleg shrimp"
245,"Banana prawn"
655,"Barramundi"
105,"Caulerpa seaweeds"
246,"Flathead lobster"
192,"Giant tiger prawn"
757,"Giant tiger prawn"
106,"Green mussel"
656,"Groupers, seabasses nei"
657,"Groupers, seabasses nei"
107,"Indo-Pacific swamp crab"
419,"Indo-Pacific swamp crab"
420,"Jacks, crevalles nei"
723,"Marine fishes nei"
779,"Marine fishes nei"
108,"Metapenaeus shrimps nei"
680,"Metapenaeus shrimps nei"
109,"Milkfish"
745,"Milkfish"
681,"Scats"
110,"Slipper cupped oyster"
421,"Snappers nei"
422,"Tropical spiny lobsters nei"
1002,"Whiteleg shrimp"
322,"Abalones nei"
948,"Aquatic invertebrates nei"
523,"Atlantic salmon"
323,"Australian mussel"
581,"Barramundi"
667,"Brine shrimp"
485,"Brown tiger prawn"
645,"Brown tiger prawn"
668,"Chinook(=Spring=King)salmon"
582,"Cupped oysters nei"
834,"Cupped oysters nei"
486,"Eastern king prawn"
524,"Eastern king prawn"
487,"Eastern school shrimp"
1052,"Flat and cupped oysters nei"
525,"Giant tiger prawn"
526,"Giant tiger prawn"
324,"Indo-Pacific swamp crab"
583,"Kuruma prawn"
325,"Marine fishes nei"
1053,"Marine fishes nei"
1,"Pacific cupped oyster"
554,"Pacific cupped oyster"
835,"Penaeus shrimps nei"
527,"Rainbow trout"
669,"Southern Australia scallop"
689,"Southern bluefin tuna"
2,"Sydney cupped oyster"
180,"Sydney cupped oyster"
1000,"Giant tiger prawn"
627,"Mangrove cupped oyster"
819,"Pearl oyster shells nei"
774,"Anadara clams nei"
562,"Flathead grey mullet"
351,"Giant tiger prawn"
352,"Green mussel"
587,"Metapenaeus shrimps nei"
563,"Pearl oyster shells nei"
883,"Milkfish"
117,"Abalones nei"
258,"Aquatic invertebrates nei"
571,"Bastard halibut"
924,"Blackhead seabream"
118,"Blood cockle"
925,"Dotted gizzard shad"
259,"Filefishes, leatherjackets nei"
505,"Flathead grey mullet"
119,"Fleshy prawn"
260,"Globose clam"
120,"Green laver"
443,"Groupers nei"
444,"Horned turban"
121,"Inflated ark"
122,"Japanese amberjack"
186,"Japanese carpet shell"
187,"Japanese hard clam"
926,"Japanese jack mackerel"
283,"Japanese kelp"
445,"Japanese seabass"
123,"Korean mussel"
749,"Korean rockfish"
124,"Kuruma prawn"
125,"Laver (Nori)"
927,"Mackerels nei"
506,"Marine crustaceans nei"
507,"Marine fishes nei"
126,"Marine molluscs nei"
446,"Okhotsk atka mackerel"
127,"Pacific cupped oyster"
447,"Porgies, seabreams nei"
928,"Scorpionfishes nei"
448,"Sea squirts nei"
128,"Wakame"
261,"Whiteleg shrimp"
449,"Yesso scallop"
99,"Japanese kelp"
900,"Japanese sea cucumber"
100,"Laver (Nori)"
101,"Marine molluscs nei"
102,"Wakame"
998,"Yesso scallop"
966,"Barramundi"
967,"Blood cockle"
968,"Green mussel"
969,"Indo-Pacific swamp crab"
970,"Marine fishes nei"
332,"Marine molluscs nei"
971,"Orange-spotted grouper"
716,"Penaeus shrimps nei"
972,"Snappers nei"
934,"Abalones nei"
145,"Banana prawn"
146,"Barramundi"
758,"Barramundi"
147,"Blood cockle"
148,"Blood cockle"
149,"Cupped oysters nei"
686,"Cupped oysters nei"
710,"Fourfinger threadfin"
150,"Giant tiger prawn"
546,"Giant tiger prawn"
151,"Green mussel"
770,"Green mussel"
152,"Groupers nei"
759,"Groupers nei"
153,"Horse mussels nei"
154,"Indo-Pacific swamp crab"
830,"Marine fishes nei"
155,"Metapenaeus shrimps nei"
156,"Penaeus shrimps nei"
157,"Squaretail mullet"
831,"Whiteleg shrimp"
832,"Whiteleg shrimp"
917,"Cobia"
870,"Red drum"
629,"Giant tiger prawn"
963,"Ballan wrasse"
794,"Cobia"
302,"Drums nei"
430,"Green turtle"
502,"Marine fishes nei"
622,"Giant tiger prawn"
400,"Hooded oyster"
401,"Indo-Pacific swamp crab"
402,"Marine fishes nei"
899,"Red drum"
135,"Barramundi"
294,"Giant tiger prawn"
907,"Indian backwater oyster"
287,"Indo-Pacific swamp crab"
136,"Milkfish"
413,"Giant tiger prawn"
414,"Indian white prawn"
621,"Giant tiger prawn"
956,"Indo-Pacific swamp crab"
939,"Sea cucumbers nei"
228,"Penaeus shrimps nei"
781,"Penaeus shrimps nei"
170,"Indian white prawn"
766,"Gilthead seabream"
722,"Indian white prawn"
240,"Yellowfin tuna"
431,"Barramundi"
250,"Flathead grey mullet"
541,"Giant tiger prawn"
112,"Gilthead seabream"
660,"Goldlined seabream"
432,"Groupers nei"
735,"Indian white prawn"
542,"Metapenaeus shrimps nei"
1042,"Sea cucumbers nei"
1062,"Sobaity seabream"
775,"Gilthead seabream"
742,"Goldsilk seabream"
500,"Marine fishes nei"
776,"Orange-spotted grouper"
777,"Sobaity seabream"
4,"Gilthead seabream"
965,"Orange-spotted grouper"
327,"Sobaity seabream"
836,"White-spotted spinefoot"
241,"Penaeus shrimps nei"
884,"European seabass"
885,"Gilthead seabream"
271,"Goldlined seabream"
575,"Greasy grouper"
468,"Green tiger prawn"
