country,region_id,Index,AO,SPP,BD,HAB,CP,CS,CW,ECO,LE,LIV,FIS,FP,MAR,ICO,SP,LSP,NP,TR
eez_weighted_avg,0,-0.14,0.1,-0.23,-0.23,-0.23,0.14,0.01,0.21,0.23,0.13,0.02,0.02,-0.1,0.11,-0.36,0.17,0.7,-0.25,-2.36
Pitcairn,146,1.02,2.02,-0.18,-0.09,0,0,NA,-0.04,0.62,0.31,0.01,-0.13,-0.13,0,-0.83,5.08,10.99,NA,NA
Norfolk Island,3,1.01,3.16,-0.03,-0.02,-0,-0,NA,0.6,0.01,0.07,0.12,0,0,0,-0.49,4.59,9.67,-0.34,NA
Ecuador,137,0.87,-0.37,-0.34,-0.12,0.09,0.1,0.11,0.51,0.99,0.54,0.08,0.36,2.55,4.26,-0.17,-0.08,-0,4.6,NA
South Georgia and the South Sandwich Islands,89,0.74,0.99,0.16,0.44,0.73,NA,NA,0.01,NA,NA,NA,1.36,1.36,NA,0.57,1.94,3.3,-0.3,NA
Glorioso Islands,30,0.7,0.72,-0.19,-0.16,-0.14,0,NA,-0,0.02,-0.02,-0.07,0.01,0.01,NA,0.52,4.38,8.24,NA,NA
Djibouti,46,0.64,-0.19,-0.23,-0.15,-0.06,-0,-0.06,0.15,0.01,-0.03,-0.07,1.63,1.63,0,-0.79,-0.4,0,10.33,3.12
Bangladesh,204,0.63,3.07,-0.58,-0.38,-0.17,0.17,0.07,0.99,0.01,0.01,-0,-0.03,-0.1,0.34,-0.67,1.89,4.45,0.05,0.57
Albania,82,0.59,2.89,-0.55,-0.82,-1.08,0,0,0.69,-0,-0,-0,-0.05,1.09,1.95,-0.44,-0.43,-0.42,-1.84,4.35
Clipperton Island,107,0.56,NA,-0.4,-0.2,-0,-0,NA,0,NA,NA,NA,-2.16,-2.16,NA,-0.63,5.18,10.99,NA,NA
Johnston Atoll,159,0.52,3.89,-0.33,-0.14,0.04,-0,NA,-0.01,NA,NA,NA,0,0,NA,-1.26,-0.63,-0,NA,NA
Japan,210,0.52,3.05,-0.3,-0.34,-0.37,0.41,-0.01,-0.05,-0,0.18,0.36,0.56,0.35,-0.41,-0.23,-0.1,0.02,1.21,NA
Nicaragua,131,0.51,-2.18,-0.61,-0.33,-0.04,-0.04,-0.01,0.34,-0,-0.1,-0.2,-0.05,0.36,0.02,-0.64,-0.32,-0,9.59,-2.23
Palmyra Atoll,150,0.49,3.67,-0.36,-0.16,0.04,-0,NA,-0,NA,NA,NA,0.07,0.07,NA,-1.26,-0.63,-0,NA,NA
Howland Island and Baker Island,158,0.48,3.64,-0.36,-0.16,0.04,-0,NA,0,NA,NA,NA,0.01,0.01,NA,-1.26,-0.63,-0,NA,NA
Bosnia and Herzegovina,232,0.48,1.44,-0.56,-0.28,-0,NA,NA,0.16,-0,0,0.01,-0.08,0.4,0.01,-0.32,-0.16,-0,-0.34,2.6
