region_name,region_id,Index,AO,SPP,BD,HAB,CP,CS,CW,ECO,LE,LIV,FIS,FP,MAR,ICO,SP,LSP,NP,TR
Global average,0,73.25,74.91,78.88,77.76,76.64,82.44,81.04,69.8,86.33,80.79,75.25,54.23,50.36,5.82,66.96,62.06,57.15,77.06,79.77
Macquarie Island,4,93.04,NA,80.22,90.11,100,100,NA,97.54,NA,NA,NA,92.9,92.9,NA,69.34,84.67,100,NA,NA
Ile Europa,35,88.97,83.46,77.08,87.12,97.16,92.25,100,87.56,NA,NA,NA,96.35,96.35,NA,52.06,76.03,100,NA,NA
Howland Island and Baker Island,158,86.86,65.38,75.63,87.61,99.59,99.18,NA,95.86,NA,NA,NA,87.28,87.28,NA,71.69,85.85,100,NA,NA
Jarvis Island,149,86.7,65.45,74.07,85.89,97.72,95.45,NA,96.76,NA,NA,NA,90.8,90.8,NA,71.69,85.85,100,NA,NA
Seychelles,31,83.93,85.35,79.83,83.78,87.73,80.9,99.96,83.98,65.65,82.82,100,70.39,70.39,0,62.82,58.03,53.23,99.9,94.18
Mayotte,29,82.71,77.97,80.71,88.93,97.15,95.68,100,60.89,100,100,100,76.06,75.4,0.19,62.7,81.35,100,64.14,NA
New Zealand,162,82.71,77.93,77.73,78,78.27,99.93,96.1,70.58,100,100,100,60.23,49.64,2.26,61.62,60.66,59.69,94.23,100
United Arab Emirates,54,82.57,99.83,84.86,84.27,83.67,80.99,87.56,66.42,99,99.5,100,73.63,70.87,0.16,62.76,67.89,73.02,87.06,81.31
Greenland,145,82.55,88.68,81.1,69.56,58.03,86.55,74.92,87.79,99.67,99.83,100,53.86,53.86,0,64.68,81.73,98.77,100,NA
Oman,48,82.45,97.45,81.73,79.11,76.5,95.46,99.12,77.33,100,100,100,55.34,55.32,0.01,60.87,57.07,53.26,98.35,65.25
Northern Saint-Martin,221,82.37,74.97,88.1,90.83,93.56,92.18,100,63.58,80.34,88.35,96.36,45.47,45.47,0,71.98,85.99,100,100,NA
Tuvalu,19,82.2,81.33,75.06,87.53,100,100,100,69.25,100,100,100,86.68,86.67,0,62.69,33.15,3.62,64.1,99.97
Prince Edward Islands,90,81.37,86.04,78.53,80.16,81.79,63.68,NA,87.46,NA,NA,NA,90.98,90.98,NA,59.76,79.88,100,NA,NA
Palmyra Atoll,150,81.3,65.32,73.63,80.17,86.72,73.56,NA,92,NA,NA,NA,90.88,90.88,NA,71.69,85.85,100,NA,NA
Juan de Nova Island,33,80.18,83.46,79.34,86.78,94.22,88.22,NA,86.08,95.29,94.34,93.4,96.35,96.35,NA,52.06,26.03,0,NA,NA
