"sp_id","species_code","year","catch"
248100,"KRI","1973",0
248100,"TOA","1973",0
248100,"TOP","1973",0
248200,"KRI","1973",0
248200,"TOA","1973",0
248200,"TOP","1973",0
248300,"KRI","1973",0
248300,"TOA","1973",0
248300,"TOP","1973",0
248400,"KRI","1973",19
248500,"KRI","1973",0
248500,"TOA","1973",0
248600,"KRI","1973",40
248600,"TOA","1973",0
248600,"TOP","1973",0
258410,"KRI","1973",0
258410,"TOA","1973",0
258410,"TOP","1973",0
258420,"KRI","1973",0
258420,"TOA","1973",0
258420,"TOP","1973",0
258431,"TOA","1973",0
258431,"TOP","1973",0
258432,"TOA","1973",0
258432,"TOP","1973",0
258441,"KRI","1973",0
258441,"TOP","1973",0
258442,"TOA","1973",0
258442,"TOP","1973",0
288100,"KRI","1973",0
288100,"TOA","1973",0
288100,"TOP","1973",0
288200,"KRI","1973",0
288200,"TOA","1973",0
288200,"TOP","1973",0
288300,"KRI","1973",0
288300,"TOA","1973",0
288300,"TOP","1973",0
248100,"KRI","1974",0
248100,"TOA","1974",0
248100,"TOP","1974",0
248200,"KRI","1974",0
248200,"TOA","1974",0
248200,"TOP","1974",0
248300,"KRI","1974",0
248300,"TOA","1974",0
248300,"TOP","1974",0
248400,"KRI","1974",0
248500,"KRI","1974",0
248500,"TOA","1974",0
248600,"KRI","1974",200
248600,"TOA","1974",0
248600,"TOP","1974",0
258410,"KRI","1974",0
258410,"TOA","1974",0
258410,"TOP","1974",0
258420,"KRI","1974",283
258420,"TOA","1974",0
258420,"TOP","1974",0
258431,"TOA","1974",0
258431,"TOP","1974",0
258432,"TOA","1974",0
258432,"TOP","1974",0
258441,"KRI","1974",0
258441,"TOP","1974",0
258442,"TOA","1974",0
258442,"TOP","1974",0
288100,"KRI","1974",0
288100,"TOA","1974",0
288100,"TOP","1974",0
288200,"KRI","1974",0
288200,"TOA","1974",0
288200,"TOP","1974",0
288300,"KRI","1974",0
288300,"TOA","1974",0
288300,"TOP","1974",0
248100,"KRI","1975",0
248100,"TOA","1975",0
248100,"TOP","1975",0
248200,"KRI","1975",0
248200,"TOA","1975",0
248200,"TOP","1975",0
248300,"KRI","1975",0
248300,"TOA","1975",0
248300,"TOP","1975",0
248400,"KRI","1975",0
248500,"KRI","1975",0
248500,"TOA","1975",0
248600,"KRI","1975",0
248600,"TOA","1975",0
248600,"TOP","1975",0
258410,"KRI","1975",0
258410,"TOA","1975",0
258410,"TOP","1975",0
258420,"KRI","1975",2642
258420,"TOA","1975",0
258420,"TOP","1975",0
258431,"TOA","1975",0
258431,"TOP","1975",0
258432,"TOA","1975",0
258432,"TOP","1975",0
258441,"KRI","1975",0
258441,"TOP","1975",0
258442,"TOA","1975",0
258442,"TOP","1975",0
288100,"KRI","1975",0
288100,"TOA","1975",0
288100,"TOP","1975",0
288200,"KRI","1975",0
288200,"TOA","1975",0
288200,"TOP","1975",0
288300,"KRI","1975",0
288300,"TOA","1975",0
288300,"TOP","1975",0
248100,"KRI","1976",389
248100,"TOA","1976",0
248100,"TOP","1976",0
