"sp_id","sector","year","crew"
248100,"cf",2006,689
248100,"cf",2007,497
248100,"cf",2008,149
248100,"cf",2009,465
248100,"cf",2010,771
248100,"cf",2011,816
248100,"cf",2012,1053
248100,"cf",2013,906
248100,"cf",2014,1381
248100,"cf",2015,1338
248200,"cf",2006,369
248200,"cf",2007,398
248200,"cf",2008,439
248200,"cf",2009,534
248200,"cf",2010,775
248200,"cf",2011,1037
248200,"cf",2012,354
248200,"cf",2013,661
248200,"cf",2014,1381
248200,"cf",2015,1378
248300,"cf",2006,885
248300,"cf",2007,886
248300,"cf",2008,1108
248300,"cf",2009,850
248300,"cf",2010,600
248300,"cf",2011,685
248300,"cf",2012,649
248300,"cf",2013,846
248300,"cf",2014,1781
248300,"cf",2015,1653
248400,"cf",2006,48
248400,"cf",2007,48
248400,"cf",2008,48
248400,"cf",2009,48
248400,"cf",2010,48
248400,"cf",2011,48
248400,"cf",2012,48
248400,"cf",2013,48
248400,"cf",2014,841
248400,"cf",2015,480
248500,"cf",2006,0
248500,"cf",2007,0
248500,"cf",2008,0
248500,"cf",2009,0
248500,"cf",2010,0
248500,"cf",2011,0
248500,"cf",2012,0
248500,"cf",2013,31
248500,"cf",2014,0
248500,"cf",2015,0
248600,"cf",2006,33
248600,"cf",2007,91
248600,"cf",2008,33
248600,"cf",2009,70
248600,"cf",2010,118
248600,"cf",2011,160
248600,"cf",2012,72
248600,"cf",2013,72
248600,"cf",2014,122
248600,"cf",2015,125
258410,"cf",2006,224
258410,"cf",2007,156
258410,"cf",2008,241
258410,"cf",2009,119
258410,"cf",2010,75
258410,"cf",2011,128
258410,"cf",2012,44
258410,"cf",2013,82
258410,"cf",2014,247
258410,"cf",2015,197
258420,"cf",2006,124
258420,"cf",2007,121
258420,"cf",2008,120
258420,"cf",2009,70
258420,"cf",2010,42
258420,"cf",2011,44
258420,"cf",2012,83
258420,"cf",2013,33
258420,"cf",2014,148
258420,"cf",2015,165
258431,"cf",2006,40
258431,"cf",2007,73
258431,"cf",2008,39
258431,"cf",2009,33
258431,"cf",2010,0
258431,"cf",2011,33
258431,"cf",2012,28
258431,"cf",2013,61
258431,"cf",2014,67
258431,"cf",2015,67
258432,"cf",2006,157
258432,"cf",2007,146
258432,"cf",2008,110
258432,"cf",2009,72
258432,"cf",2010,33
258432,"cf",2011,0
258432,"cf",2012,0
258432,"cf",2013,0
258432,"cf",2014,67
258432,"cf",2015,67
258441,"cf",2006,0
258441,"cf",2007,0
258441,"cf",2008,0
258441,"cf",2009,0
258441,"cf",2010,0
