"rgn_id","product","sum_tonnes"
6,"corals",424
8,"corals",306
9,"corals",764
11,"corals",226
18,"corals",25740
49,"corals",5121
51,"corals",249
68,"corals",27
82,"corals",1509
114,"corals",2231
115,"corals",144
133,"corals",2136
139,"corals",4738
145,"corals",598
152,"corals",185
166,"corals",184
186,"corals",650
195,"corals",2570
197,"corals",19
25,"fish_oil",49048
31,"fish_oil",8881
32,"fish_oil",1
37,"fish_oil",10379
47,"fish_oil",3540
48,"fish_oil",13197
52,"fish_oil",285
54,"fish_oil",2499
62,"fish_oil",588872
64,"fish_oil",121407
65,"fish_oil",2248
66,"fish_oil",10779
67,"fish_oil",244
69,"fish_oil",29109
72,"fish_oil",3520
73,"fish_oil",165852
74,"fish_oil",23549
76,"fish_oil",149991
86,"fish_oil",47
96,"fish_oil",147
98,"fish_oil",405
100,"fish_oil",33
101,"fish_oil",48957
102,"fish_oil",153506
103,"fish_oil",108
104,"fish_oil",0
106,"fish_oil",768
108,"fish_oil",80
120,"fish_oil",0
127,"fish_oil",16
129,"fish_oil",309044
130,"fish_oil",4311
134,"fish_oil",2807
136,"fish_oil",246
137,"fish_oil",198614
138,"fish_oil",6110242
141,"fish_oil",210473
143,"fish_oil",3053430
162,"fish_oil",78000
163,"fish_oil",3669318
172,"fish_oil",20866
173,"fish_oil",3592
174,"fish_oil",4155
175,"fish_oil",4126408
176,"fish_oil",299346
177,"fish_oil",682865
178,"fish_oil",13552
179,"fish_oil",621334
180,"fish_oil",212443
182,"fish_oil",195024
183,"fish_oil",94492
187,"fish_oil",555
189,"fish_oil",6126
199,"fish_oil",0
200,"fish_oil",21691
203,"fish_oil",192982
207,"fish_oil",345928
210,"fish_oil",3254306
218,"fish_oil",263711
220,"fish_oil",113.75
222,"fish_oil",174155
223,"fish_oil",3063579
224,"fish_oil",2906372
244,"fish_oil",163
245,"fish_oil",113.75
248,"fish_oil",113.75
249,"fish_oil",113.75
19,"ornamentals",0
29,"ornamentals",56
39,"ornamentals",2467
40,"ornamentals",14757
50,"ornamentals",1122
77,"ornamentals",192
81,"ornamentals",79
97,"ornamentals",2
104,"ornamentals",0
120,"ornamentals",0
124,"ornamentals",24
126,"ornamentals",1848
131,"ornamentals",201
132,"ornamentals",9378
140,"ornamentals",46
167,"ornamentals",941
168,"ornamentals",3
169,"ornamentals",1
171,"ornamentals",10308
191,"ornamentals",559
193,"ornamentals",0
196,"ornamentals",181
198,"ornamentals",1
199,"ornamentals",0
215,"ornamentals",0
250,"ornamentals",22
7,"seaweeds",5000
14,"seaweeds",13894.2
15,"seaweeds",652621
16,"seaweeds",76343
20,"seaweeds",105012
21,"seaweeds",12322
24,"seaweeds",4462
42,"seaweeds",18246
61,"seaweeds",1323
70,"seaweeds",2427
75,"seaweeds",149
78,"seaweeds",7
79,"seaweeds",29503
84,"seaweeds",36
99,"seaweeds",39
113,"seaweeds",42
119,"seaweeds",0
122,"seaweeds",23
125,"seaweeds",1
135,"seaweeds",415602
155,"seaweeds",3397
181,"seaweeds",445231
199,"seaweeds",0
202,"seaweeds",190857
206,"seaweeds",21758
208,"seaweeds",13153
209,"seaweeds",541679
212,"seaweeds",5467
214,"seaweeds",882
216,"seaweeds",1890915
219,"seaweeds",1
231,"seaweeds",249
5,"shells",2980
17,"shells",7616
28,"shells",1
41,"shells",5137
43,"shells",7643
44,"shells",169
45,"shells",290
46,"shells",2
53,"shells",1180
56,"shells",78
59,"shells",244465
71,"shells",2196
80,"shells",14324
110,"shells",945
111,"shells",198
123,"shells",5
147,"shells",37948
153,"shells",185
164,"shells",556
184,"shells",75320
188,"shells",183
190,"shells",119
194,"shells",45
204,"shells",8515
205,"shells",2626
232,"shells",812
247,"shells",36
112,"sponges",497
