"goal","dimension","region_id","score","year","rgn_name"
"AO","score",5,66,2017,"New Caledonia"
"AO","score",6,47,2017,"Vanuatu"
"AO","score",7,46,2017,"Solomon Islands"
"AO","score",8,61,2017,"Palau"
"AO","score",9,47,2017,"Micronesia"
"AO","score",10,61,2017,"Nauru"
"AO","score",11,55,2017,"Marshall Islands"
"AO","score",13,86,2017,"Northern Mariana Islands and Guam"
"AO","score",17,52,2017,"Papua New Guinea"
"AO","score",18,55,2017,"Fiji"
"AO","score",19,48,2017,"Tuvalu"
"AO","score",147,66,2017,"French Polynesia"
"AO","score",148,61,2017,"Line Islands (Kiribati)"
"AO","score",151,86,2017,"American Samoa"
"AO","score",152,74,2017,"Samoa"
"AO","score",153,78,2017,"Cook Islands"
"AO","score",154,78,2017,"Niue"
"AO","score",155,71,2017,"Tonga"
"AO","score",156,79,2017,"Tokelau"
"AO","score",157,62,2017,"Phoenix Islands (Kiribati)"
"AO","score",161,64,2017,"Wallis and Futuna"
"AO","score",212,55,2017,"Gilbert Islands (Kiribati)"
"BD","score",5,89,2017,"New Caledonia"
"BD","score",6,90,2017,"Vanuatu"
"BD","score",7,85,2017,"Solomon Islands"
"BD","score",8,88,2017,"Palau"
"BD","score",9,91,2017,"Micronesia"
"BD","score",10,80,2017,"Nauru"
"BD","score",11,90,2017,"Marshall Islands"
"BD","score",13,92,2017,"Northern Mariana Islands and Guam"
"BD","score",17,86,2017,"Papua New Guinea"
"BD","score",18,86,2017,"Fiji"
"BD","score",19,92,2017,"Tuvalu"
"BD","score",147,95,2017,"French Polynesia"
"BD","score",148,92,2017,"Line Islands (Kiribati)"
"BD","score",151,93,2017,"American Samoa"
"BD","score",152,93,2017,"Samoa"
"BD","score",153,84,2017,"Cook Islands"
"BD","score",154,82,2017,"Niue"
"BD","score",155,92,2017,"Tonga"
"BD","score",156,83,2017,"Tokelau"
"BD","score",157,91,2017,"Phoenix Islands (Kiribati)"
"BD","score",161,94,2017,"Wallis and Futuna"
"BD","score",212,90,2017,"Gilbert Islands (Kiribati)"
"CP","score",5,76,2017,"New Caledonia"
"CP","score",6,94,2017,"Vanuatu"
"CP","score",7,81,2017,"Solomon Islands"
"CP","score",8,92,2017,"Palau"
"CP","score",9,98,2017,"Micronesia"
"CP","score",10,98,2017,"Nauru"
"CP","score",11,98,2017,"Marshall Islands"
"CP","score",13,98,2017,"Northern Mariana Islands and Guam"
"CP","score",17,89,2017,"Papua New Guinea"
"CP","score",18,99,2017,"Fiji"
"CP","score",19,100,2017,"Tuvalu"
"CP","score",147,100,2017,"French Polynesia"
"CP","score",148,100,2017,"Line Islands (Kiribati)"
"CP","score",151,96,2017,"American Samoa"
"CP","score",152,95,2017,"Samoa"
"CP","score",153,90,2017,"Cook Islands"
"CP","score",154,85,2017,"Niue"
"CP","score",155,94,2017,"Tonga"
"CP","score",156,93,2017,"Tokelau"
"CP","score",157,100,2017,"Phoenix Islands (Kiribati)"
