"country","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"eez_weighted_avg",0,71.1,77.39,91.84,91.22,90.57,87.62,79.24,73.51,87.79,82.33,76.86,53.22,53.2,32.8,67.8,63.15,58.51,53.25,48.12
"Jarvis Island",149,90.82,93.5,93.12,91.09,89.05,,,97.85,,,,92.95,92.95,,57.45,78.72,100,,
"Howland Island and Baker Island",158,90.38,85.87,92.75,94.78,96.8,100,,96.41,,,,86.67,86.67,,57.17,78.59,100,,
"South Georgia and the South Sandwich Islands",89,86.94,90.59,95.21,96.45,97.7,,,98.89,,,,64.76,64.76,,67.97,83.99,100,,
"Palmyra Atoll",150,86.62,93.5,93.13,93.3,93.47,77.46,,90.2,,,,86.7,86.7,,57.16,78.58,100,,
"Germany",176,85.15,97.19,94.51,92.96,91.41,93.59,100,50.16,100,91.81,83.62,42.43,41.07,4.43,91.97,95.98,100,95.78,92.99
"Northern Saint-Martin",221,84.03,88.48,97.97,97.31,96.65,95.26,100,52.97,86.22,91.31,96.41,42.78,42.78,,77.98,88.99,100,,99.21
"Christmas Island",2,83.73,96.72,97.28,96.96,96.64,93.12,92.76,81.27,100,96.35,92.69,67.37,67.37,,58.67,58.07,57.48,,70.98
"New Caledonia",5,83.18,65.17,92.65,90.08,87.5,75.98,78.05,85.68,92.3,96.15,100,69.51,63.22,17.36,69.18,78.78,88.38,99.98,98.75
"Seychelles",31,82.96,77.99,90.77,94.18,97.6,86.57,100,74.35,68.9,84.45,100,67.06,67.06,0,64.47,62.07,59.68,,100
"Macquarie Island",4,82.69,96.72,95.23,97.62,100,,,97.45,,,,34.26,34.26,,74.83,87.41,100,,
"Heard and McDonald Islands",94,82.09,90.59,95.78,97.89,100,,,99.71,,,,49.89,49.89,,44.68,72.34,100,,
