"region_id","region_name","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
94,"Heard and McDonald Islands",93.97625,NA,91.14875,95.5725,100,NA,NA,99.71,NA,NA,NA,88.9825,88.9825,NA,83.28,91.64125,100,NA,NA
158,"Howland Island and Baker Island",92.1725,NA,79.54,89.04875,98.555,100,NA,97.8625,NA,NA,NA,89.7,89.7,NA,68.525,84.2625,100,NA,NA
93,"Kerguelen Islands",87.8475,NA,88.49375,94.24625,100,NA,NA,98.78,NA,NA,NA,82.6525,82.6525,NA,51.41625,75.7075,100,NA,NA
176,"Germany",84.37875,96.06,85.22625,88.60125,91.98,100,100,50.22875,100,91.47875,82.9575,58.3225,56.555,11.27125,92.64625,96.3225,100,73.16375,91.37
2,"Christmas Island",84.0775,96.0775,84.3125,89.95125,95.59125,93.12,92.76,81.55875,99.965,96.09625,92.22875,61.3275,61.3275,0,68.985,62.25875,55.535,NA,83.55125
3,"Norfolk Island",83.085,96.0775,86.21375,93.10625,100,NA,NA,77.985,99.965,96.09625,92.22875,45.115,45.115,0,79.51,89.755,100,NA,83.4525
250,"Aruba",82.70125,89.6325,90.245,94.09875,97.95,99.99,99.95,59.63625,100,100,100,54.32625,54.32625,0,81.53875,46.68625,11.83125,NA,100
89,"South Georgia and the South Sandwich Islands",82.255,NA,90.49375,93.0675,95.6375,NA,NA,98.89,NA,NA,NA,52.7775,52.7775,NA,68.58125,84.29125,100,NA,NA
157,"Phoenix Islands (Kiribati)",81.93875,61.53,78.665,87.74,96.8125,100,NA,97.90875,67.53875,73.77,80.0025,77.4425,77.4425,0,65.7275,82.8625,100,NA,74.2675
146,"Pitcairn",81.74,72.72375,82.1575,91.08,100,100,NA,85.5475,70.5675,79.90625,89.2425,88.26125,88.26125,0,80.61875,58.11,35.6025,NA,78.3025
5,"New Caledonia",81.60375,65.52625,88.72625,88.285,87.84125,76.8125,78.5425,84.6175,92.35875,96.175,100,76.5275,64.66875,8.29,67.39,73.9275,80.4625,98.71,88.77375
35,"Ile Europa",81.565,NA,84.805,88.79625,92.79,92.79,NA,93.78,NA,NA,NA,56.9525,56.9525,NA,51.0025,75.5025,100,NA,NA
30,"Glorioso Islands",81.125,NA,88.81375,90.36125,91.9075,92.79,NA,92.1575,96.69625,95.175,93.6525,40.57375,40.57375,NA,51.38375,75.69125,100,NA,NA
1,"Cocos Islands",80.8475,96.0775,83.9825,90.77,97.56125,97.62,92.76,88.82625,99.965,96.09625,92.22875,45.49625,45.49625,0,70.9775,35.49,0,NA,84.4975
