"country","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"eez_weighted_avg",0,0.07,0.19,-0.08,0,0.09,-0.34,0.01,0.15,0.54,0.3,0.06,-0.27,-0.32,0.04,0.01,0.36,0.71,-0.19,0.41
"Georgia",74,2.21,0.36,-0.04,-0.02,0,,,-0.49,2.88,1.44,0,-0.7,-0.7,0.01,0.09,0.06,0.03,10.88,6.17
"Clipperton Island",107,1.68,,-0.14,-0.07,0,,,0.03,,,,0.22,0.22,,-0.25,6.55,13.35,,
"Nigeria",196,1.59,-0.05,-0.01,-1.03,-2.05,-0.05,-0.02,-0.73,0.97,0.49,0,0.07,0.07,0,-0.57,-0.32,-0.07,18.28,-0.72
"Samoa",152,1.51,0.15,-0.1,-0.05,0,0,0.03,0.37,1.08,0.55,0.02,-0.24,-0.24,0,-0.45,-0.06,0.33,10.22,4.16
"Portugal",183,1.35,0.59,-0.09,0.18,0.45,,,-0.11,0,0.03,0.07,-0.2,-0.23,1.19,0.37,0.19,0,7.01,3.14
"Pitcairn",146,1.32,0.3,0.09,0.05,0,0,,-0.11,1.65,0.84,0.02,-0.97,-0.97,0,-0.63,6.43,13.5,,4.05
"Vanuatu",6,1.31,-0.02,-0.18,0.1,0.37,-0.02,0,-0.35,0,0,0,-0.04,-0.03,0,-0.66,-0.33,0,13.78,-0.02
"Mauritius",37,1.25,0.82,-0.03,-0.01,0,-0.26,-0.08,0.03,0.29,0.25,0.22,0.37,0.24,0.01,0.46,0.17,-0.11,8.93,2.35
"Turks and Caicos Islands",111,1.25,0.39,-0.12,0.06,0.24,-0.25,-0.17,0.01,0.2,0.14,0.09,0.69,0.69,0,-0.29,-0.16,-0.03,11.8,0
"Latvia",69,1.19,1.11,-0.31,-1.06,-1.81,-0.18,0.02,-0.23,0,1.02,2.03,-0.28,-0.28,0,0,0,0,11.88,-0.35
"Oman",48,1.06,-0.99,-0.13,-0.1,-0.07,0,0.01,-0.75,0,0,0,0.98,0.99,0,-0.46,-0.23,0,8.49,3.14
"Libya",67,1.05,0.43,-0.44,-0.22,0,,,-0.52,0.52,0.19,-0.13,-0.08,-0.08,0,0.14,0.07,0,-4.21,0
"Solomon Islands",7,1.04,0.01,-0.12,-0.1,-0.08,0.06,0.05,2.3,0,0,0,-0.38,-0.38,0,-0.25,-0.12,0.01,5.59,2.95
