"code","Country/EEZ","Index","FIS","FP","MAR","AO","NP","CS","CP","LIV","LE","ECO","TR","ICO","SP","LSP","CW","HAB","BD","SPP"
,"Global (area-weighted average)",0.899999999999991,0.299999999999997,0.600000000000001,0.200000000000003,0.400000000000006,-1.2,0,-0.0999999999999943,2.10000000000001,4.3,6.5,0,0,0.400000000000006,0.799999999999997,4,0.0999999999999943,0,-0.0999999999999943
1,"Cocos Islands",0,0,0,,0.5,,0,0,3.8,2,0.299999999999997,-0.200000000000003,0,0,0,-2.09999999999999,0,-0.199999999999989,-0.399999999999991
2,"Christmas Island",0,0,0,,0.5,,0,0,3.8,2,0.299999999999997,-0.299999999999997,-0.0999999999999943,-0.199999999999996,-0.200000000000003,-2,0,-0.200000000000003,-0.400000000000006
3,"Norfolk Island",0.200000000000003,0.600000000000001,0.600000000000001,,1.7,,,,3.8,2,0.299999999999997,-0.299999999999997,0.700000000000003,0.300000000000011,-0.100000000000001,-3.39999999999999,0,0.399999999999991,0.700000000000003
4,"Macquarie Island",1,4.5,4.5,,0.5,,,,,,,,,0,0,0,0,0,0.0999999999999943
5,"New Caledonia",-0.199999999999989,1,2.60000000000001,-2.3,0.100000000000001,0.299999999999997,0,-0.100000000000001,0,1.40000000000001,2.8,-0.400000000000006,-0.0999999999999943,-0.100000000000001,0,-6.2,0,-0.100000000000009,-0.199999999999989
6,"Vanuatu",0.5,0,0,0.1,0,12.4,-0.100000000000001,0,0,0,0,-0.700000000000003,-0.100000000000001,0,0,-5.60000000000001,-0.100000000000009,-0.200000000000003,-0.400000000000006
7,"Solomon Islands",0.699999999999996,0.5,0.5,0,0.200000000000003,12.2,0.100000000000001,0.100000000000001,0,0,0,-0.0999999999999979,0,-0.200000000000003,-0.5,-5.3,0.0999999999999943,0,0
8,"Palau",-4.60000000000001,0.5,1,-1,0.800000000000004,-55,-0.100000000000001,0,9.5,8.7,7.90000000000001,0,0,0,0,-0.700000000000003,0,-0.200000000000003,-0.299999999999997
9,"Micronesia",3.9,1,1,0,0,35.3,0,0,3.7,3.09999999999999,2.5,-0.0999999999999943,-0.100000000000001,0,0,-0.200000000000003,0,-0.200000000000003,-0.5
10,"Nauru",0.899999999999991,0.5,0.5,0,0.200000000000003,,,0,1.7,7.30000000000001,13,-0.100000000000009,-0.200000000000003,-0.100000000000001,0,-0.5,0,-0.199999999999989,-0.5
11,"Marshall Islands",-0.5,0.5,0.5,,0.199999999999996,-8.9,0,0.100000000000009,3.2,2.8,2.59999999999999,0,0,0.0999999999999979,0,-0.299999999999997,0,-0.0999999999999943,-0.200000000000003
12,"Wake Island",0.599999999999994,0,0,,0,,,0,2.5,6,9.5,0,0,0,0,-0.700000000000003,0,-0.200000000000003,-0.400000000000006
13,"Northern Mariana Islands and Guam",1,0,0,-0.1,0.200000000000003,,0.0999999999999943,0,-5.39999999999999,9.1,23.7,0.199999999999989,0.100000000000001,-0.0999999999999943,-0.299999999999997,-0.299999999999997,0,-0.200000000000003,-0.300000000000011
14,"Taiwan",-0.600000000000001,0.100000000000001,0.200000000000003,1.2,0.700000000000003,-4.9,0,-0.100000000000001,0,2.19999999999999,4.3,0,0,0,0,-4.8,0,-0.100000000000009,-0.100000000000009
15,"Philippines",3.4,-2.8,-3.40000000000001,0,0.299999999999997,11.4,0.200000000000003,0.0999999999999943,-8.5,-1.6,5.2,0.0999999999999979,0.200000000000003,0.199999999999996,0.199999999999996,27,0.200000000000003,0.100000000000009,0.100000000000009
16,"Australia",1,0.100000000000001,1.2,0.200000000000001,0.5,6.3,0,0,4.5,2.3,0,0.100000000000001,0.100000000000009,0.0999999999999943,0,0.100000000000009,0,0,-0.100000000000009
17,"Papua New Guinea",-1.1,1,1,0,0.100000000000001,-8.1,0,0,0,2.7,5.40000000000001,-0.0999999999999996,0,0,0,-6.5,0,-0.100000000000009,-0.200000000000003
18,"Fiji",-0.200000000000003,-1.90000000000001,-1.8,0,0.399999999999999,-2.59999999999999,0.299999999999997,0.299999999999997,0.5,6.09999999999999,11.5,-0.200000000000003,0.199999999999996,-0.200000000000003,-0.5,-4.59999999999999,0.299999999999997,0.299999999999997,0.0999999999999943
19,"Tuvalu",3.19999999999999,0.5,0.599999999999994,-0.1,-0.199999999999996,,,0,0,35.3,70.6,-0.400000000000002,-0.600000000000001,-0.5,-0.300000000000001,-8.9,0,-0.5,-1.09999999999999
20,"South Korea",2.3,0,0.899999999999999,0.799999999999997,0.5,13.1,,,2.19999999999999,1.09999999999999,0,0,0,0,0.100000000000001,2.7,0,0,0.100000000000009
21,"North Korea",-1.3,1,1,-0.0999999999999996,0.699999999999996,-9.5,,-0.599999999999994,2.40000000000001,-2.39999999999999,-7.2,0,0,0,0,-0.399999999999999,0,0,0
24,"Cambodia",0.5,0.100000000000001,0.3,0.199999999999999,0.400000000000006,11.7,0.100000000000001,0.100000000000001,-0.600000000000001,0.799999999999997,2.2,0.0999999999999943,0,-0.200000000000003,-0.299999999999997,-8.6,0.100000000000009,0.200000000000003,0.299999999999997
25,"Thailand",0.699999999999989,-1.8,-5.5,-7.80000000000001,0.800000000000011,-1.3,0.0999999999999943,0.100000000000001,25.3,12.7,0,0.100000000000001,0.200000000000003,0,0,-0.599999999999994,0.200000000000003,0.300000000000011,0.299999999999997
26,"Andaman and Nicobar",1.6,0,0,,0.600000000000001,,-0.200000000000003,-0.200000000000003,-2.40000000000001,6.09999999999999,14.6,-0.0999999999999943,,0.100000000000001,0.100000000000001,8.5,-0.200000000000003,-0.200000000000003,-0.299999999999997
28,"Comoro Islands",-0.5,1.09999999999999,1.09999999999999,,0.100000000000001,,0.0999999999999943,0,-3.5,0.5,4.39999999999999,0,-0.100000000000001,-0.100000000000001,0,-6,0.100000000000009,-0.100000000000009,-0.299999999999997
29,"Mayotte",-0.899999999999991,1,1.3,-0.0999999999999999,0.199999999999996,,0,-0.100000000000001,0,0,0,-0.100000000000001,-0.200000000000003,-0.200000000000003,0,-8.5,0,-0.299999999999997,-0.599999999999994
