"rgn_id","gapfill"
1,1
2,1
3,1
4,1
5,0.2
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,0
19,1
20,0
21,1
24,1
25,0
26,1
28,0.6
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,0
38,1
39,1
40,0
41,0.2
42,0
43,1
44,1
45,1
46,1
47,0.2
48,0.4
49,0.6
50,0.8
51,1
52,0.2
53,1
54,1
55,1
56,1
57,1
58,1
59,0
60,1
61,0.8
62,1
63,1
64,0
65,1
66,0.8
67,0.4
68,1
69,0
70,0
71,0.6
72,0
73,1
74,1
75,0
76,0
77,1
78,1
79,0.4
80,0.4
81,0
82,1
84,0
85,1
86,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,0.2
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,0.6
107,1
108,1
110,1
111,1
112,1
113,1
114,1
115,0.4
116,1
117,1
118,1
119,0
120,0.4
121,1
122,1
123,1
124,1
125,1
126,1
127,1
129,0.6
130,0.2
131,0.4
132,0
133,0.2
134,0
135,0
136,0
137,0
138,0
139,1
140,1
141,1
143,0
144,1
145,1
146,1
147,0
148,1
149,1
150,1
151,1
152,1
153,0.6
154,1
155,1
156,1
157,1
158,1
159,1
161,1
162,0.6
163,1
164,0
166,1
167,0
168,0
169,1
171,0
172,0.2
173,0
174,0
175,0
176,0
177,0
178,0
179,0.4
180,0
181,0
182,0.2
183,0.2
184,0
185,1
186,0
187,0.4
188,0
189,0
190,1
191,0.2
192,1
193,1
194,0.8
195,1
196,1
197,0.2
198,1
199,1
200,1
202,1
203,0.4
204,0.4
205,0
206,0
207,1
208,1
209,1
210,0
212,1
213,1
214,0
215,0.2
216,1
218,0.6
219,1
220,1
221,1
222,0
223,0
224,0
227,1
228,1
231,0.6
232,1
237,1
244,1
245,1
247,0
248,1
249,1
250,1
255,0.2
