"rgn_id","whencev01"
1,"OD"
2,"OD"
3,"OD"
4,"OD"
5,"OD"
6,"OD"
7,"OD"
8,"OD"
9,"OD"
10,"OD"
11,"OD"
12,"OD"
13,"OD"
14,"OD"
15,"OD"
16,"OD"
17,"OD"
18,"OD"
19,"OD"
20,"OD"
21,"OD"
24,"OD"
25,"OD"
26,"OD"
28,"OD"
29,"OD"
30,"OD"
31,"OD"
32,"OD"
33,"OD"
34,"OD"
35,"OD"
36,"OD"
37,"OD"
38,"OD"
39,"OD"
40,"OD"
41,"OD"
42,"OD"
43,"OD"
44,"OD"
45,"OD"
46,"SG"
47,"OD"
48,"OD"
49,"OD"
50,"OD"
51,"OD"
52,"SG"
53,"OD"
54,"OD"
55,"OD"
56,"OD"
57,"OD"
58,"OD"
59,"OD"
60,"SG"
61,"OD"
62,"OD"
63,"OD"
64,"OD"
65,"OD"
66,"OD"
67,"OD"
68,"OD"
69,"OD"
70,"OD"
71,"OD"
72,"OD"
73,"OD"
74,"OD"
75,"OD"
76,"OD"
77,"OD"
78,"OD"
79,"OD"
80,"OD"
81,"OD"
82,"OD"
84,"OD"
85,"SG"
86,"SG"
88,"SG"
89,"SG"
90,"OD"
91,"OD"
92,"OD"
93,"OD"
94,"OD"
95,"OD"
96,"OD"
97,"OD"
98,"OD"
99,"OD"
100,"SG"
101,"OD"
102,"OD"
103,"OD"
104,"OD"
105,"OD"
106,"OD"
107,"SG"
108,"OD"
110,"OD"
111,"OD"
112,"OD"
113,"OD"
114,"OD"
115,"OD"
116,"OD"
117,"OD"
118,"OD"
119,"OD"
120,"OD"
121,"OD"
122,"OD"
123,"OD"
124,"OD"
125,"OD"
126,"OD"
127,"OD"
129,"OD"
130,"OD"
131,"OD"
132,"OD"
133,"OD"
134,"OD"
135,"OD"
136,"OD"
137,"OD"
138,"OD"
139,"OD"
140,"OD"
141,"OD"
143,"OD"
144,"OD"
145,"OD"
146,"SG"
147,"OD"
148,"OD"
149,"OD"
150,"OD"
151,"OD"
152,"OD"
153,"OD"
154,"OD"
155,"OD"
156,"OD"
157,"OD"
158,"OD"
159,"SG"
161,"SG"
162,"OD"
163,"OD"
164,"OD"
166,"OD"
167,"OD"
168,"OD"
169,"OD"
171,"OD"
172,"OD"
173,"OD"
174,"OD"
175,"OD"
176,"OD"
177,"OD"
178,"OD"
179,"OD"
180,"OD"
181,"OD"
182,"OD"
183,"OD"
184,"OD"
185,"SG"
186,"OD"
187,"OD"
188,"SG"
189,"OD"
190,"OD"
191,"OD"
192,"SG"
193,"OD"
194,"OD"
195,"OD"
196,"OD"
197,"OD"
198,"OD"
199,"OD"
200,"OD"
202,"OD"
203,"OD"
204,"OD"
205,"OD"
206,"OD"
207,"SG"
208,"SG"
209,"OD"
210,"OD"
212,"OD"
214,"OD"
215,"SG"
216,"OD"
218,"OD"
219,"OD"
220,"OD"
221,"OD"
222,"OD"
223,"OD"
224,"OD"
227,"SG"
228,"SG"
231,"SG"
232,"SG"
237,"SG"
244,"OD"
245,"OD"
247,"OD"
248,"OD"
249,"OD"
250,"OD"
