"rgn_id","gapfill"
82,1
84,0
200,1
120,0
172,1
16,1
255,1
110,1
52,1
204,1
124,1
59,0
164,0
99,1
232,1
171,0
247,0
71,1
56,1
24,1
197,1
218,1
224,0
209,1
132,0
28,1
100,1
153,1
130,1
187,1
112,1
81,0
199,1
175,0
123,1
115,1
137,0
214,0
134,0
45,1
70,0
18,0
174,0
179,1
147,0
198,1
65,1
74,1
176,0
106,1
80,1
125,1
136,0
194,1
193,1
167,0
133,1
143,0
203,1
216,1
191,0
192,1
181,0
79,1
184,0
195,1
166,1
210,0
215,1
43,1
51,1
69,0
78,1
97,1
67,1
189,0
42,0
206,0
39,1
68,1
64,0
37,0
135,0
186,0
62,1
41,1
205,0
101,1
177,0
5,0
162,1
131,1
196,1
223,0
48,0
53,1
8,1
129,0
17,1
138,0
15,1
178,0
183,1
190,1
20,0
72,0
73,1
119,0
122,1
127,1
152,1
50,0
66,0
31,1
96,1
208,1
188,0
102,1
182,1
40,0
168,0
222,0
77,1
25,0
231,1
98,1
155,1
126,1
61,1
76,0
19,1
75,0
54,1
180,0
202,1
163,1
173,0
6,1
139,1
207,1
47,1
49,1
1,NA
2,NA
3,NA
4,NA
7,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
21,NA
26,NA
29,NA
30,NA
32,NA
33,NA
34,NA
35,NA
36,NA
38,NA
44,NA
46,NA
55,NA
57,NA
58,NA
60,NA
63,NA
85,NA
86,NA
88,NA
89,NA
90,NA
91,NA
92,NA
93,NA
94,NA
95,NA
103,NA
104,NA
105,NA
107,NA
108,NA
111,NA
113,NA
114,NA
116,NA
117,NA
118,NA
121,NA
140,NA
141,NA
144,NA
145,NA
146,NA
148,NA
149,NA
150,NA
151,NA
154,NA
156,NA
157,NA
158,NA
159,NA
161,NA
169,NA
185,NA
212,NA
213,NA
219,NA
220,NA
221,NA
227,NA
228,NA
237,NA
244,NA
245,NA
248,NA
249,NA
250,NA
