"rgn_id","score","gapfill_type"
1,1,"r2"
2,1,"r2"
3,1,"r2"
4,1,"r2"
5,1,"r1"
6,1,"r1"
7,1,"r1"
8,1,"r1"
9,1,"r1"
10,1,"r1"
11,1,"r1"
12,1,"r1"
13,1,"r1"
14,0,"v"
15,0,"v"
16,0,"v"
17,1,"r1"
18,1,"r1"
19,1,"r1"
20,0,"v"
24,0,"v"
25,0,"v"
26,1,"r2"
28,1,"r2"
29,1,"r2"
30,1,"r2"
31,0,"v"
32,1,"r2"
33,1,"r2"
34,1,"r2"
35,1,"r2"
36,1,"r2"
37,0,"v"
38,1,"r2"
39,1,"r2"
40,0,"v"
41,0,"v"
42,0,"v"
43,0,"v"
44,1,"r2"
45,1,"r2"
46,1,"r2"
47,0,"v"
48,0,"v"
49,1,"r2"
50,0,"v"
51,0,"v"
52,0,"v"
53,0,"v"
54,0,"v"
55,1,"r2"
56,0,"v"
57,1,"r2"
58,1,"r2"
59,0,"v"
60,1,"r2"
61,0,"v"
62,0,"v"
63,1,"r2"
64,0,"v"
65,0,"v"
66,0,"v"
67,0,"v"
68,0,"v"
69,0,"v"
70,0,"v"
71,0,"v"
72,0,"v"
73,0,"v"
74,0,"v"
75,0,"v"
76,0,"v"
77,1,"r2"
78,0,"v"
79,0,"v"
80,0,"v"
81,0,"v"
82,0,"v"
84,0,"v"
85,1,"r2"
86,1,"r2"
88,1,"r2"
89,1,"r0"
90,1,"r0"
91,1,"r0"
92,1,"r0"
93,1,"r0"
94,1,"r0"
95,1,"r2"
96,0,"v"
97,1,"r2"
98,1,"r2"
99,1,"r2"
100,1,"r2"
101,0,"v"
102,0,"v"
103,1,"r2"
104,1,"r2"
105,1,"r0"
106,0,"v"
107,1,"r2"
108,1,"r2"
110,1,"r2"
111,1,"r2"
112,1,"r2"
113,1,"r2"
114,0,"v"
115,0,"v"
116,0,"v"
117,1,"r2"
118,1,"r2"
119,1,"r2"
120,1,"r2"
121,1,"r2"
122,1,"r2"
123,1,"r2"
124,0,"v"
125,1,"r2"
126,0,"v"
127,1,"r2"
129,0,"v"
130,0,"v"
131,0,"v"
132,0,"v"
133,0,"v"
134,0,"v"
135,0,"v"
136,0,"v"
137,1,"r2"
138,0,"v"
139,0,"v"
140,1,"r2"
141,1,"r2"
143,0,"v"
144,1,"r2"
145,1,"r2"
146,1,"r1"
147,1,"r1"
148,1,"r1"
149,1,"r1"
150,1,"r1"
151,1,"r1"
152,1,"r1"
153,1,"r1"
154,1,"r1"
155,1,"r1"
156,1,"r1"
157,1,"r1"
158,1,"r1"
159,1,"r1"
161,1,"r1"
162,0,"v"
163,0,"v"
164,1,"r2"
166,0,"v"
167,0,"v"
168,0,"v"
169,1,"r2"
171,0,"v"
172,0,"v"
173,0,"v"
174,0,"v"
175,0,"v"
176,0,"v"
177,0,"v"
178,0,"v"
179,0,"v"
180,0,"v"
181,0,"v"
182,0,"v"
183,0,"v"
184,0,"v"
185,1,"r2"
186,0,"v"
187,0,"v"
188,0,"v"
189,0,"v"
190,0,"v"
191,0,"v"
192,1,"r2"
193,1,"r2"
194,0,"v"
195,0,"v"
196,0,"v"
197,0,"v"
198,0,"v"
199,1,"r2"
200,0,"v"
202,0,"v"
203,0,"v"
204,0,"v"
205,0,"v"
206,0,"v"
207,0,"v"
208,0,"v"
209,0,"v"
210,0,"v"
212,1,"r1"
214,0,"v"
215,0,"v"
216,0,"v"
218,0,"v"
219,1,"r2"
220,1,"r2"
221,1,"r2"
222,0,"v"
223,0,"v"
224,0,"v"
227,1,"r2"
228,1,"r2"
231,0,"v"
232,1,"r2"
237,1,"r2"
244,1,"r2"
245,1,"r2"
247,1,"r2"
248,1,"r2"
249,1,"r2"
250,1,"r2"
