"targets","layer","layer_old","name","description","fld_value","units","filename"
"AO","ao_access","rn_ao_access","Fisheries management effectiveness and opportunity","The opportunity for artisanal and recreational fishing based on the quality of management of the small- scale fishing sector (Mora et al 2009)","value","value","ao_access.csv"
"AO","ao_need","rny_ao_need","Purchasing power parity as a proxy for subsistence fishing need, by region","The per capita purchasing power parity (PPP) adjusted gross domestic product (GDP): GDPpcPPP","value","value","ao_need.csv"
"CW","cw_coastalpopn_trend","rn_cw_coastalpopn_trend","Coastal human population as a proxy for trend in trash","Coastal population, defined as the total population inland of 25 miles ","trend","trend score","cw_coastalpopn_trend.csv"
"CW","cw_fertilizer_trend","rn_cw_fertilizer_trend","Fertilizer consumption as a proxy for trend in nutrient pollution","Statistics on fertilizer consumption from the Food and Agricultural Organization (FAO) ","trend.score","trend score","cw_fertilizer_trend.csv"
"CW","cw_pathogen_trend","rn_cw_pathogen_trend","Trends in access to improved sanitation as a proxy for pathogen pollution trend","Trends in percent of population with access to improved sanitation facilities","trend","trend score","cw_pathogen_trend.csv"
"CW","cw_pesticide_trend","rn_cw_pesticide_trend","Pesticide consumption as a proxy for trend in chemical pollution","Statistics on pesticides consumption from the Food and Agricultural Organization (FAO) ","trend.score","trend score","cw_pesticide_trend.csv"
"FIS","fis_b_bmsy","fnk_fis_b_bmsy","B/Bmsy estimates obtained using the catch-MSY method",,"b_bmsy","B / B_msy","fis_b_bmsy.csv"
"FIS","fis_meancatch","snk_fis_meancatch","Catch data for each Taxon/FAO/SAUP region averaged across years (1980-2011)","Reported data includes years 2006-2011","mean_catch","metric tons","fis_meancatch.csv"
"FIS","fis_proparea_saup2rgn","snk_fis_proparea_saup2rgn","area of each saup/total OHI reporting region","For converting saup regions to OHI reporting regions","prop_area","proportion of area","fis_proparea_saup2rgn.csv"
"FP","fp_wildcaught_weight","rn_fp_wildcaught_weight","Fisheries weighting factor","Proportional yield of wild caught fisheries","w_fis","value","fp_wildcaught_weight.csv"
"HAB CS CP","hab_extent","rnk_hab_extent","Habitat extent","Modeled combined habitat extent","km2","km^2","hab_extent.csv"
