"","rgn_id","product","km2"
"1",20,"seaweeds",NA
"2",21,"corals",NA
"3",21,"seaweeds",NA
"4",24,"seaweeds",NA
"5",53,"seaweeds",NA
"6",59,"seaweeds",NA
"7",61,"corals",NA
"8",62,"corals",NA
"9",66,"corals",NA
"10",66,"seaweeds",NA
"11",69,"seaweeds",NA
"12",70,"seaweeds",NA
"13",72,"corals",NA
"14",72,"seaweeds",NA
"15",73,"corals",NA
"16",75,"seaweeds",NA
"17",76,"corals",NA
"18",77,"corals",NA
"19",82,"corals",NA
"20",101,"seaweeds",NA
"21",122,"seaweeds",NA
"22",138,"corals",NA
"23",138,"seaweeds",NA
"24",143,"corals",NA
"25",162,"seaweeds",NA
"26",172,"seaweeds",NA
"27",174,"seaweeds",NA
"28",176,"seaweeds",NA
"29",177,"seaweeds",NA
"30",179,"corals",NA
"31",186,"corals",NA
"32",187,"corals",NA
"33",188,"seaweeds",NA
"34",189,"seaweeds",NA
"35",218,"corals",NA
"36",223,"corals",NA
"37",224,"corals",NA
