goal_name,layer_name,scenario_year,data_year
AO,ao_access,2008,2013
AO,ao_access,2009,2013
AO,ao_access,2010,2013
AO,ao_access,2011,2013
AO,ao_access,2012,2013
AO,ao_access,2013,2013
AO,ao_access,2014,2013
AO,ao_access,2015,2013
AO,ao_access,2016,2013
AO,ao_access,2017,2013
AO,ao_need,2008,2007
AO,ao_need,2009,2008
AO,ao_need,2010,2009
AO,ao_need,2011,2010
AO,ao_need,2012,2011
AO,ao_need,2013,2012
AO,ao_need,2014,2013
AO,ao_need,2015,2014
AO,ao_need,2016,2015
AO,ao_need,2017,2015
CW,cw_chemical_trend,2012,2012
CW,cw_chemical_trend,2013,2013
CW,cw_chemical_trend,2014,2014
CW,cw_chemical_trend,2015,2015
CW,cw_chemical_trend,2016,2016
CW,cw_chemical_trend,2017,2016
CW,cw_nutrient_trend,2012,2012
CW,cw_nutrient_trend,2013,2013
CW,cw_nutrient_trend,2014,2014
CW,cw_nutrient_trend,2015,2015
CW,cw_nutrient_trend,2016,2016
CW,cw_nutrient_trend,2017,2016
CW,cw_pathogen_trend,2012,2012
CW,cw_pathogen_trend,2013,2013
CW,cw_pathogen_trend,2014,2014
CW,cw_pathogen_trend,2015,2015
CW,cw_pathogen_trend,2016,2015
CW,cw_pathogen_trend,2017,2015
CW,cw_trash_trend,2012,2016
CW,cw_trash_trend,2013,2016
CW,cw_trash_trend,2014,2016
CW,cw_trash_trend,2015,2016
CW,cw_trash_trend,2016,2016
CW,cw_trash_trend,2017,2016
