layer,gf_file
cntry_rgn,NA
element_wts_cp_km2_x_protection,NA
element_wts_cs_km2_x_storage,NA
element_wts_hab_pres_abs,NA
fis_meancatch,NA
le_gdp,NA
le_gdp_pc_ppp,NA
le_jobs_cur_adj_value,NA
le_jobs_cur_base_value,NA
le_jobs_ref_adj_value,NA
le_jobs_ref_base_value,NA
le_jobs_sector_year,NA
le_popn,NA
le_rev_cur_adj_value,NA
le_rev_cur_base_value,NA
le_rev_ref_adj_value,NA
le_rev_ref_base_value,NA
le_rev_sector_year,NA
le_revenue_adj,NA
le_sector_weight,NA
le_unemployment,NA
le_wage_cur_adj_value,NA
le_wage_cur_base_value,NA
le_wage_ref_adj_value,NA
le_wage_ref_base_value,NA
le_wage_sector_year,NA
le_workforcesize_adj,NA
np_harvest_product_weight,NA
np_harvest_tonnes_relative,NA
rgn_area,NA
rgn_georegions,NA
rgn_global,NA
rgn_labels,NA
fis_b_bmsy,ohi-global:eez/temp/FIS_summary_gf.csv
ico_spp_iucn_status,ohi-global:eez/temp/ICO_status_trend_gf.csv
NP_exposure_gf,ohi-global:eez/temp/NP_exposure_gf.csv
ao_need,ohiprep:globalprep/ao/v2018/output/wb_gdppcppp_rescaled_gf.csv
po_trash,ohiprep:globalprep/cw_pressure_trash/v2015/output/trash_eez_2015_gf.csv
cw_trash_trend,ohiprep:globalprep/cw_trend_trash/v2016/output/cw_trash_trend_gf.csv
fp_wildcaught_weight,ohiprep:globalprep/fp/v2018/output/wildcaught_weight_gf.csv
hab_coral_extent,ohiprep:globalprep/hab_coral/v2012/data/extent_coral_gf.csv
hab_coral_health,ohiprep:globalprep/hab_coral/v2012/data/health_coral_gf.csv
hab_coral_trend,ohiprep:globalprep/hab_coral/v2012/data/trend_coral_gf.csv
hab_mangrove_extent,ohiprep:globalprep/hab_mangrove/v2015/data/extent_mangrove_gf.csv
hab_mangrove_health,ohiprep:globalprep/hab_mangrove/v2015/data/health_mangrove_gf.csv
hab_mangrove_trend,ohiprep:globalprep/hab_mangrove/v2015/data/trend_mangrove_gf.csv
hab_softbottom_health,ohiprep:globalprep/hab_prs_hd_subtidal_soft_bottom/v2018/output/habitat_health_softbottom_gf.csv
hab_softbottom_trend,ohiprep:globalprep/hab_prs_hd_subtidal_soft_bottom/v2018/output/habitat_trend_softbottom_gf.csv
hd_subtidal_sb,ohiprep:globalprep/hab_prs_hd_subtidal_soft_bottom/v2018/output/hd_sb_subtidal_gf.csv
hab_rockyreef_extent,ohiprep:globalprep/hab_rockyreef/v2012/data/extent_rr_gf.csv
hab_saltmarsh_extent,ohiprep:globalprep/hab_saltmarsh/v2012/data/extent_saltmarsh_gf.csv
hab_saltmarsh_health,ohiprep:globalprep/hab_saltmarsh/v2012/data/health_saltmarsh_gf.csv
hab_saltmarsh_trend,ohiprep:globalprep/hab_saltmarsh/v2012/data/trend_saltmarsh_gf.csv
